,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,DE,AU,JP,AT,BE,CA,CH,ES,FR,ID,IN,IT,MX,NL,RU,TH,TR,ZA,AE,BR,CO,DK,HK,IE,LU,MY,NO,NZ,PH,PL,SE,SG,TW,AR,CL,CR,CZ,EC,EE,EG,FI,GR,GT,HU,IL,KE,KZ,LB,LT,NG,PE,PT,RO,SA,SI,SK,UA,VN,DATE
10,11,+3,Billie Eilish - BIRDS OF A FEATHER,45,6,,9623,1997,0.361,21.0,17.0,40.0,13.0,,,,36.0,,,51.0,5.0,,,13.0,42.0,,24.0,,5.0,,20.0,,64.0,,24.0,,10.0,,5.0,12.0,,,6.0,,,,2.0,,,,,,9.0,,,,,,,,,,,,,,,,,2024-06-30
11,12,+1,David Guetta & OneRepublic - I Don't Wanna Wait,87,3,(x1),9013,880,0.703,140.0,20.0,19.0,16.0,,7.0,47.0,38.0,5.0,,7.0,,,124.0,,26.0,,,,19.0,,,,10.0,,3.0,5.0,,27.0,19.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
12,13,-2,Sabrina Carpenter - Please Please Please,24,9,,8915,273,0.207,13.0,15.0,65.0,15.0,,,71.0,17.0,,76.0,,11.0,111.0,,7.0,85.0,,33.0,,22.0,,,,31.0,,22.0,,24.0,,21.0,,,35.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
13,14,-2,Cyril - Stumblin' In,227,5,,8747,410,1.606,,,5.0,12.0,,5.0,4.0,26.0,4.0,9.0,2.0,,,192.0,74.0,4.0,,,,47.0,,,,28.0,,63.0,,,,,,75.0,,,,,,,4.0,,,,20.0,,,,,,,,,,,,,,,,,,2024-06-30
14,15,+1,Myles Smith - Stargazing,52,11,,7606,386,0.363,35.0,3.0,43.0,7.0,,34.0,33.0,16.0,50.0,86.0,,140.0,,96.0,,,,,,1.0,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
15,16,+1,Dasha - Austin,118,10,,7331,474,0.732,34.0,23.0,34.0,9.0,,21.0,49.0,20.0,22.0,,123.0,,,,,109.0,,,,38.0,,,,54.0,,16.0,,,26.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
16,17,-2,"Jaxomy, Agatino Romero & Raffaella CarrÃ - Pedro",87,7,,6848,-675,0.673,,,11.0,,,3.0,2.0,,13.0,11.0,115.0,,,34.0,,5.0,14.0,,,,,,,40.0,,,,,,,,4.0,10.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,2.0,,,2024-06-30
17,18,+20,Coldplay - A Sky Full of Stars,2264,1,(x10),6366,3196,10.134,183.0,4.0,,45.0,,,97.0,,61.0,35.0,44.0,60.0,,83.0,23.0,,,,,140.0,38.0,67.0,27.0,,,26.0,,69.0,,,18.0,82.0,,62.0,,7.0,12.0,9.0,39.0,21.0,37.0,15.0,,39.0,9.0,42.0,18.0,29.0,,4.0,16.0,,16.0,36.0,26.0,35.0,18.0,,,,2024-06-30
18,19,+1,Artemas - i like the way you kiss me,97,3,(x1),6270,152,0.902,,183.0,8.0,70.0,,50.0,12.0,,77.0,27.0,15.0,,,19.0,,,,,23.0,46.0,,,,,,31.0,2.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
19,20,-1,BeyoncÃ© - TEXAS HOLD 'EM,140,1,(x32),5959,-194,1.748,163.0,83.0,16.0,34.0,,8.0,30.0,73.0,15.0,,9.0,,,90.0,,45.0,,,,,,,,19.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
20,21,+3,Teddy Swims - The Door,163,17,,5741,513,0.558,38.0,13.0,,19.0,,,,25.0,16.0,66.0,23.0,,,,,40.0,,,,,,35.0,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
21,22,-4,Kendrick Lamar - Not Like Us,57,5,,5139,-1235,0.303,5.0,85.0,,107.0,,,78.0,22.0,,,91.0,107.0,25.0,,,71.0,,115.0,,2.0,,33.0,,,,,,,,,,,13.0,,90.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,46.0,2024-06-30
22,23,+4,Taylor Swift - Fortnight,73,1,(x6),5099,1154,0.631,44.0,89.0,26.0,26.0,,,127.0,35.0,51.0,78.0,50.0,,,,39.0,,,116.0,,,,,,,,14.0,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
23,24,-2,"Chappell Roan - Good Luck, Babe",58,21,,5013,-483,0.154,20.0,41.0,112.0,35.0,,,,24.0,92.0,,,,,,18.0,,,,,,,,,,,4.0,,,3.0,23.0,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
24,25,+1,Post Malone - I Had Some Help,53,5,,4873,-52,0.38,2.0,42.0,180.0,10.0,,,,6.0,,,,,,,,,,,,,,,,,,17.0,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
25,26,+19,Jax - too young to be old,2,26,,4863,2078,0.008,22.0,61.0,50.0,37.0,,,95.0,43.0,99.0,,60.0,25.0,,,127.0,,,,,,,45.0,,74.0,48.0,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,13.0,,,,,,,2024-06-30
26,27,-6,Post Malone - Pour Me A Drink,10,10,,4779,-1117,0.07,3.0,63.0,,11.0,,,,3.0,,,,,,,,,,30.0,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
27,28,NEW,BABYMONSTER - FOREVER,1,28,,4645,4645,0.005,,,,,171.0,,,,,96.0,43.0,2.0,,,15.0,183.0,32.0,8.0,,,,5.0,,,5.0,,,4.0,,,7.0,,,,19.0,,,,,,,,,,,7.0,,,,,,,6.0,,,,,,,3.0,2024-06-30
28,29,-6,Mark Ambor - Belong Together,102,11,,4641,-806,0.568,160.0,39.0,29.0,110.0,,4.0,117.0,27.0,73.0,70.0,,,,,,51.0,,,,45.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
29,30,+1,Taylor Swift - Cruel Summer,416,1,(x6),4349,587,2.774,61.0,34.0,160.0,49.0,,31.0,,78.0,,,40.0,40.0,,,,,,46.0,,,,,,,,12.0,,,,,13.0,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,110.0,2024-06-30
30,31,+3,Miley Cyrus - Flowers,535,1,(x119),4234,776,6.395,70.0,90.0,57.0,40.0,,,66.0,61.0,44.0,47.0,38.0,,,,16.0,,,,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,2024-06-30
31,32,+1,Wyn Starks - Who I Am,6,31,,4092,562,0.021,87.0,60.0,74.0,29.0,,,161.0,8.0,,,20.0,,,,,,,,,23.0,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
32,33,-1,Tommy Richman - MILLION DOLLAR BABY,65,13,,3911,197,0.323,12.0,97.0,107.0,20.0,,,,33.0,,,,,,,,87.0,,,,,,,,,,,,,,6.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
33,34,+10,Christine and the Queens - Full of life,27,28,,3877,979,0.095,,28.0,36.0,,,10.0,,,,60.0,29.0,,,25.0,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
34,35,+79,Coldplay - Viva la Vida,1506,7,,3740,2333,6.009,192.0,8.0,99.0,85.0,,53.0,,,42.0,,54.0,28.0,,109.0,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
35,36,-11,"Jax Jones, Joel Corry & Jason Derulo - Tonight",3,22,,3639,-1485,0.014,,29.0,31.0,150.0,,93.0,83.0,110.0,12.0,,,,,102.0,,54.0,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
36,37,-8,KAROL G - Si Antes Te Hubiera Conocido,10,28,,3638,-231,0.038,62.0,,175.0,,,,152.0,177.0,23.0,1.0,,,,42.0,3.0,115.0,,,,,,,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,4.0,,,,,,,,2024-06-30
37,38,-8,Jelly Roll - I Am Not Okay,19,21,,3582,-237,0.09,4.0,117.0,,18.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
38,39,-2,ILLIT - Magnetic,98,17,,3447,207,0.385,,,,,35.0,,,,,,,19.0,,,,,105.0,19.0,40.0,,,,,,31.0,,,19.0,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,18.0,2024-06-30
39,40,-12,Snollebollekes - Links Rechts,14,28,,3186,-747,0.301,,,4.0,,,28.0,72.0,,47.0,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
40,41,-6,Dua Lipa - Training Season,136,1,(x2),3172,-179,0.917,,44.0,88.0,68.0,,,63.0,,18.0,,27.0,,,74.0,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
41,42,-1,DJ Tons - Always Remember Us This Way,161,13,,3130,102,0.454,,105.0,38.0,62.0,,83.0,,107.0,55.0,29.0,72.0,,,98.0,,,107.0,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,,,,,,2024-06-30
42,43,NEW,Coldplay - Fix You,199,26,,3128,3047,2.642,117.0,5.0,195.0,84.0,,,,65.0,,,107.0,68.0,,,,,,,,,,,,,,8.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
43,44,-4,Zach Bryan - Pink Skies,38,26,,3049,-5,0.132,8.0,,,24.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
44,45,NEW,BE:FIRST X ATEEZ - Hush-Hush,1,45,,3038,3038,0.003,,,,,1.0,,,,,104.0,,,,,,,36.0,,,,,,4.0,,,,,,,,8.0,,47.0,27.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
45,46,+2,Ella Langley & Riley Green - you look like you love me,10,44,,3031,440,0.029,15.0,139.0,,31.0,,,,14.0,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
46,47,+45,Ed Sheeran - Perfect,2676,1,(x62),3026,1422,14.856,147.0,,130.0,80.0,,,98.0,186.0,,23.0,149.0,178.0,,141.0,,,,,,137.0,44.0,,90.0,,50.0,,,50.0,,,47.0,64.0,19.0,60.0,,62.0,69.0,,33.0,,36.0,22.0,,,,14.0,,9.0,,,,26.0,37.0,,13.0,38.0,20.0,14.0,,106.0,2024-06-30
47,48,+31,Journey - Don't Stop Believin',196,20,,2949,1155,2.492,126.0,,151.0,27.0,,23.0,45.0,112.0,,,,,,198.0,47.0,,,,,,,,,,,108.0,,,,8.0,,,81.0,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,2024-06-30
48,49,+172,Coldplay - Yellow,163,34,,2947,2010,1.598,152.0,10.0,,129.0,,,,,144.0,,66.0,70.0,,,,,,,,31.0,,,,,,40.0,,,,15.0,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
49,50,-14,"Meduza, OneRepublic & Leony - Fire",52,28,,2912,-340,0.126,,,14.0,,,19.0,70.0,,17.0,,,,,,,75.0,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,56.0,,,,,,,,,,2024-06-30
50,51,-8,Kabin Crew - The Spark,18,24,,2751,-173,0.06,181.0,100.0,68.0,41.0,,76.0,7.0,176.0,,,,,,,,130.0,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,2024-06-30
51,52,+30,Peter Schilling - Major Tom,36,48,,2554,848,0.148,,,1.0,,,27.0,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
52,53,+14,Lady Gaga - Always Remember Us This Way,1754,2,(x18),2529,580,7.128,,,,83.0,,,100.0,115.0,62.0,40.0,80.0,69.0,,108.0,,,121.0,,,,,,,100.0,,,,142.0,,,116.0,10.0,22.0,,65.0,,,,40.0,,,,,,,,,,,,,,,,62.0,,,16.0,,108.0,2024-06-30
53,54,NEW,Coldplay - Adventure of a Lifetime,341,2,(x2),2415,2046,4.19,,25.0,,,,41.0,,,,36.0,151.0,63.0,,,,,,,,181.0,,,,,,,,,,,,115.0,,,,52.0,49.0,,,,,45.0,,,,,24.0,,,,37.0,,36.0,,40.0,,34.0,,,,2024-06-30
54,55,+52,Ricchi & Poveri - SarÃ perchÃ© ti amo,356,28,,2363,896,0.84,,,53.0,,,14.0,18.0,,38.0,,,,,114.0,,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
55,56,+2,Imagine Dragons - Wake Up,3,56,,2345,228,0.006,93.0,,61.0,79.0,,,,64.0,57.0,,79.0,,,105.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,2024-06-30
56,57,-7,"Sevdaliza, Pabllo Vittar & Yseult - Alibi",4,39,,2296,-228,0.01,,,,,,,,,,,,3.0,,,12.0,,,,,,,4.0,,,,,,2.0,,,,,,11.0,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,2024-06-30
57,58,+105,Adele - Hello,2726,1,(x111),2286,1146,10.493,,,,,,188.0,,,,137.0,,172.0,,,,,44.0,,,131.0,,,,126.0,,117.0,22.0,,85.0,59.0,52.0,55.0,95.0,57.0,,,,,31.0,,8.0,5.0,70.0,31.0,,16.0,16.0,4.0,61.0,2.0,8.0,5.0,,37.0,14.0,14.0,3.0,9.0,35.0,103.0,2024-06-30
58,59,-7,floyymenor & Cris Mj - Gata Only,81,36,,2279,3,0.192,,,95.0,,,77.0,133.0,,179.0,31.0,17.0,,,39.0,77.0,155.0,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
59,60,-18,NewJeans - Supernatural,10,19,,2272,-737,0.041,,,,,22.0,,,,,,,86.0,,,,,,25.0,,,,,,,12.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,28.0,2024-06-30
60,61,-22,Kelsea Ballerini & Noah Kahan - Cowboys Cry Too,3,34,,2272,-827,0.009,16.0,,,63.0,,,,21.0,,,,,,,,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
61,62,-7,Taylor Swift - Shake It Off,904,1,(x47),2264,122,8.223,173.0,57.0,120.0,172.0,,,60.0,120.0,150.0,,89.0,,,122.0,31.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
62,63,+119,P!nk - Just Give Me a Reason,1714,1,(x23),2240,1171,9.829,,,,,,181.0,,,,156.0,,,,,148.0,,,,,154.0,,72.0,16.0,114.0,180.0,35.0,30.0,53.0,74.0,56.0,41.0,74.0,92.0,59.0,,11.0,17.0,,35.0,,44.0,,90.0,,5.0,17.0,30.0,20.0,73.0,38.0,24.0,,14.0,47.0,27.0,,13.0,26.0,,,2024-06-30
63,64,NEW,Coldplay - The Scientist,46,50,,2234,2234,1.7,,9.0,,,,,,,,,,71.0,,,25.0,,,,,,,,,,,43.0,,,,,143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
64,65,-9,"$OHO BANI, Herbert Groenemeyer & Ericson - ZEIT, DASS SICH WAS DREHT",68,56,,2148,22,0.124,,,7.0,,,32.0,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
65,66,+4,Marshmello & Kane Brown - Miles on It,59,19,,2107,251,0.187,18.0,187.0,,111.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
66,67,+74,Imagine Dragons - Believer,2238,8,,2103,880,8.229,171.0,150.0,,126.0,,58.0,,133.0,39.0,,104.0,,69.0,,52.0,102.0,,,,,,16.0,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,50.0,180.0,2024-06-30
67,68,-14,Nickelback - Rockstar,54,54,,2087,-119,0.31,42.0,179.0,,65.0,,,,18.0,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
68,69,-6,Noah Kahan - Stick Season,236,10,,2077,32,0.911,118.0,68.0,,28.0,,,,41.0,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
69,70,-2,Billie Eilish - What Was I Made For,354,2,(x1),2042,173,1.92,194.0,,,67.0,,,,139.0,,,114.0,12.0,,,,,,69.0,,,,,,,,,,16.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
70,71,-7,Benson Boone - Slow It Down,100,17,,2011,-25,0.25,53.0,94.0,,52.0,,,,46.0,,,132.0,,,,,159.0,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
71,72,-15,Luke Combs - Ain't No Love In Oklahoma,46,25,,2000,-120,0.141,23.0,,,74.0,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
72,73,=,Cher - Believe,5,73,,1952,114,0.313,169.0,,,48.0,,,,116.0,,41.0,62.0,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
73,74,-27,Elton John & Dua Lipa - Cold Heart,982,1,(x91),1940,-713,7.45,,45.0,191.0,95.0,,,104.0,192.0,120.0,,158.0,,,,,,33.0,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,33.0,,9.0,,,,,,,38.0,,,2024-06-30
74,75,-6,BENNETT - Vois sur ton chemin,328,15,,1923,57,1.062,,,37.0,,,60.0,41.0,,46.0,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,2024-06-30
75,76,NEW,Coldplay - Hymn for the Weekend,509,6,,1920,1518,4.763,,27.0,,,,,,,,,101.0,61.0,,,,,,,,,48.0,,,,,36.0,,74.0,,,,,,,,,,,56.0,,,38.0,,,,,22.0,,,13.0,,,,,44.0,,,24.0,,,2024-06-30
76,77,-5,Ac/Dc - Thunderstruck,429,21,,1903,63,2.656,85.0,149.0,,81.0,,,,81.0,37.0,,,,,146.0,,,176.0,,,,,,,,,,,,,9.0,,83.0,,,,,47.0,,,,,,,,,47.0,,,,,,,,,32.0,,43.0,,,,2024-06-30
77,78,-17,Dua Lipa - Houdini,232,1,(x14),1893,-184,1.808,,40.0,119.0,,,,62.0,140.0,149.0,57.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
78,79,+146,The Weeknd - Blinding Lights,1404,1,(x57),1879,954,9.685,,99.0,,124.0,,,37.0,,27.0,,61.0,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,2024-06-30
79,80,+120,Ed Sheeran - Thinking Out Loud,2713,2,(x14),1861,851,11.396,,,,,,,,,,145.0,,,,,156.0,,,,,168.0,39.0,64.0,28.0,,,,,54.0,,57.0,40.0,78.0,,58.0,,24.0,13.0,6.0,50.0,16.0,25.0,90.0,,,10.0,,,14.0,,19.0,42.0,23.0,10.0,43.0,22.0,,14.0,22.0,,,2024-06-30
80,81,+117,Mark Ronson - Uptown Funk,2332,1,(x20),1858,844,10.987,,,,,,,96.0,,107.0,138.0,,191.0,,,151.0,,,,,,45.0,89.0,26.0,,173.0,123.0,,94.0,,55.0,54.0,81.0,,63.0,,8.0,9.0,5.0,49.0,,41.0,64.0,143.0,,7.0,32.0,,28.0,,16.0,,,12.0,,80.0,,24.0,31.0,,,2024-06-30
81,82,+145,Ed Sheeran - Shape of You,2534,1,(x110),1833,910,12.497,,,,,,,,,,147.0,,174.0,,,,,,,,135.0,32.0,113.0,55.0,,171.0,,35.0,58.0,,,53.0,59.0,,,,49.0,55.0,28.0,30.0,,23.0,9.0,,32.0,,13.0,25.0,5.0,25.0,8.0,23.0,,,40.0,18.0,23.0,16.0,10.0,41.0,82.0,2024-06-30
82,83,+11,Wiz Khalifa - See You Again,2277,1,(x95),1816,227,9.527,,,,,,193.0,,,106.0,,,170.0,,,160.0,,,121.0,,132.0,35.0,84.0,42.0,,148.0,132.0,,49.0,,75.0,,87.0,,56.0,,44.0,48.0,,51.0,24.0,,41.0,,,18.0,30.0,35.0,7.0,66.0,10.0,,8.0,,,33.0,27.0,22.0,28.0,,126.0,2024-06-30
83,84,NEW,YOASOBI - UNDEAD,1,84,,1806,1806,0.002,,,,,7.0,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
84,85,-36,"Adam Port, Stryv, Keinemusik, Orso & Malachiii - Move",16,34,,1773,-797,0.037,,,79.0,,,,52.0,,87.0,,96.0,,,38.0,,117.0,,,74.0,,,,,,,,,,,,,,,,,,,,,,,135.0,,4.0,,,,,,,,,,,1.0,,,,,,2024-06-30
85,86,-12,Nickelback - How You Remind Me,5,74,,1771,-67,0.301,48.0,140.0,,46.0,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
86,87,-28,AYLIVA & Apache 207 - Wunder,66,35,,1769,-338,0.16,,,6.0,,,,,,163.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
87,88,NEW,Coldplay - Paradise,826,2,(x8),1742,1487,7.796,,16.0,,,,,,,,,154.0,67.0,,,,,,,,,,,,,,,,,,10.0,,,,,,,104.0,,,,,,,,,,,,,,,,110.0,,,,,,,,2024-06-30
88,89,NEW,Fun. - We Are Young,1009,1,(x22),1719,943,8.43,,,,,,175.0,,59.0,,143.0,,,,,150.0,,,,,,,79.0,24.0,,,109.0,33.0,108.0,,,100.0,72.0,94.0,71.0,,28.0,36.0,15.0,,19.0,27.0,,113.0,,12.0,39.0,,,,,27.0,,25.0,28.0,20.0,,19.0,,,,2024-06-30
89,90,-13,Luke Combs - Remember Him That Way,17,33,,1700,-111,0.045,64.0,,,25.0,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
90,91,+60,CÃ©line Dion - Love Again,11,12,,1667,481,0.04,115.0,98.0,,157.0,,38.0,,37.0,,,131.0,,,,119.0,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
91,92,+60,The Kolors - Italodisco,348,16,,1644,465,1.005,,,100.0,,,13.0,,,40.0,,,,,45.0,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
92,93,-42,The Kid LAROI - GIRLS,3,31,,1642,-674,0.008,80.0,,,42.0,,,,50.0,,,,,,,,142.0,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
93,94,NEW,"Daft Punk, Pharrell Williams & Nile Rodgers - Get Lucky",329,46,,1641,832,0.512,,,,,,,,,108.0,,,,,,149.0,,,,,,46.0,70.0,13.0,,,,,135.0,,102.0,73.0,58.0,,,,3.0,7.0,4.0,46.0,11.0,34.0,52.0,,,6.0,,43.0,49.0,77.0,7.0,32.0,,9.0,38.0,45.0,,26.0,35.0,,,2024-06-30
94,95,+28,Luke Combs - Fast Car,461,10,,1632,282,1.61,76.0,,,30.0,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
95,96,-36,Eddie Vedder - Save It For Later,4,43,,1629,-476,0.009,26.0,,,118.0,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
96,97,-26,"Balkonultra, Marc Eggers & Ikke HÃ¼ftgold - Pyrotechnik",12,71,,1622,-219,0.024,,,15.0,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
97,98,-45,mgk - Sun To Me,3,48,,1612,-664,0.006,37.0,,115.0,64.0,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
98,99,-37,TOGENASHITOGEARI - Iâm here,3,62,,1612,-451,0.005,,,,,9.0,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
99,100,-14,Laback & Alexis Carlier - Titanic x My Heart Will Go On,5,84,,1611,-57,0.008,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,2024-06-30
100,101,-8,Keith Urban - WILDSIDE,3,93,,1604,6,0.005,134.0,,,23.0,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
101,102,+10,Jung Kook - Standing Next to You,119,1,(x7),1603,190,0.544,,,,2.0,,,,,,,,,,,,,,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
102,103,-14,"SDP, Sido & Esther Graf - Mama hat gesagt",59,40,,1595,-52,0.106,,,24.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
103,104,-2,Eclipse - Sudden Shower,68,29,,1590,89,0.162,,,,,,,,,,,,7.0,,,,,,52.0,,,,,,,,,,9.0,,,21.0,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
104,105,-5,Koe Wetzel & Jessie Murph - High Road,24,36,,1585,50,0.055,30.0,,,73.0,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
105,106,-60,Camila Cabello - HOT UPTOWN,3,44,,1583,-1138,0.007,57.0,,,,,,,42.0,,,,,,136.0,41.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
106,107,+11,Udo Lindenberg & Apache 207 - Komet,524,26,,1579,194,1.402,,,44.0,,,12.0,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
107,108,+2,OneRepublic - Nobody,54,34,,1577,140,0.093,,,,,24.0,,,,,,,,,,,,,163.0,,,,,,,,,,7.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
108,109,+8,Natasha Bedingfield - Unwritten,183,14,,1575,183,0.549,191.0,151.0,121.0,39.0,,62.0,,198.0,,,,104.0,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
