,Video,Views,Yesterday,Publication year
0,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,5584013857,821691,2014
1,Katy Perry - Dark Horse ft. Juicy J,3993456350,615693,2014
2,Ed Sheeran - Thinking Out Loud (Official Music Video),3892971441,341311,2014
3,"Enrique Iglesias - Bailando ft. Descemer Bueno, Gente De Zona",3693323765,456911,2014
4,Taylor Swift - Blank Space,3647331701,448882,2014
5,Taylor Swift - Shake It Off,3573259215,326305,2014
6,FROZEN | Let It Go Sing-along | Official Disney UK,3535212339,435956,2014
7,Sia - Chandelier (Official Video),2834261387,280203,2014
8,Meghan Trainor - All About That Bass (Official Video),2671291031,123692,2014
9,J. Balvin - Ay Vamos (Official Video),2118671734,331227,2014
10,"Jessie J - Bang Bang ft. Ariana Grande, Nicki Minaj",2073023745,208746,2014
11,Sam Smith - I'm Not The Only One (Official Music Video),1759017152,44530,2014
12,Calvin Harris - Summer (Official Video),1718384269,177790,2014
13,Rahat Fateh Ali Khan - Zaroori Tha,1685054188,189603,2014
14,"AronChupa, Little Sis Nora - I'm an Albatraoz | OFFICIAL VIDEO",1524822536,125927,2014
15,"Chris Brown - Loyal (Official Video) ft. Lil Wayne, Tyga",1466057080,284559,2014
16,Ariana Grande - Problem ft. Iggy Azalea,1448941777,92888,2014
17,Pharrell Williams - Happy (Video),1437047351,344833,2014
18,Enrique Iglesias - El Perdedor (Pop) ft. Marco Antonio Solís,1429950656,305328,2014
19,Shakira - Can't Remember to Forget You (Official Video) ft. Rihanna,1377915048,113694,2014
20,Shakira - La La La (Brazil 2014) ft. Carlinhos Brown,1341119269,86530,2014
21,Los Ángeles Azules - Mis Sentimientos ft. Ximena Sariñana,1326716227,184158,2014
22,Romeo Santos - Eres Mía (Official Video),1282018554,132014,2014
23,J Balvin - 6 AM ft. Farruko,1273540966,129097,2014
24,Sam Smith - Stay With Me (Official Music Video),1240725162,136087,2014
25,"DJ Snake, Lil Jon - Turn Down for What",1231225856,87642,2014
26,Ariana Grande - Break Free (Official Video) ft. Zedd,1220055634,61827,2014
27,Tove Lo - Habits (Stay High) - Hippie Sabotage Remix,1211962007,180922,2014
28,Iggy Azalea - Fancy ft. Charli XCX,1194074684,85640,2014
29,Travesuras - Nicky Jam | Video Oficial,1175330144,135097,2014
30,Nicki Minaj - Anaconda,1163773883,63349,2014
31,David Guetta & Showtek - Bad ft.Vassy (Lyrics Video),1143519919,116470,2014
32,'Abhi Toh Party Shuru Hui Hai' FULL VIDEO Song | Khoobsurat | Badshah | Aastha,1084781405,730651,2014
33,"HA-ASH - Perdón, Perdón (Primera Fila - Hecho Realidad [En Vivo])",1077985348,133637,2014
34,Marc Anthony - Flor Pálida (Official Video),1071677896,248264,2014
35,Jason Derulo - Wiggle feat. Snoop Dogg [Official Music Video],1011856471,59609,2014
36,One Direction - Night Changes,1008230019,479599,2014
37,Coldplay - A Sky Full Of Stars (Official Video),995164661,279865,2014
38,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (Olodum Mix),984273518,114950,2014
39,Maroon 5 - Animals,969536864,115088,2014
40,"Wisin - Adrenalina (Official Video) ft. Jennifer Lopez, Ricky Martin",963214855,52321,2014
41,Avicii - The Nights,955668036,56327,2014
42,Bobby Shmurda - Hot N*gga (Official Music Video),952416636,115724,2014
43,"Bole Chudiyan Full Video - K3G | Amitabh, Shah Rukh, Kajol, Kareena, Hrithik | Udit Narayan",938967645,321760,2014
44,Hozier - Take Me To Church,937762273,140033,2014
45,Selena Gomez - The Heart Wants What It Wants (Official Video),918244841,99595,2014
46,Rae Sremmurd - No Type (Official Video),916036266,48032,2014
47,Fetty Wap - Trap Queen (Official Video) Prod. By Tony Fadd,913226030,137859,2014
48,Calvin Harris - Blame ft. John Newman,885626362,131064,2014
49,Lilly Wood & The Prick and Robin Schulz - Prayer In C (Robin Schulz Remix) (Official),869174022,128205,2014
50,"Ariana Grande, The Weeknd - Love Me Harder",840758998,63187,2014
51,Katy Perry - This Is How We Do (Official),802431848,18352,2014
52,"OSMANI GARCIA Ft. PITBULL, SENSATO, DAYAMI LA MUSA - El Taxi (Official Video) Reggaeton Cubaton",796096696,50676,2014
53,Calvin Harris - Outside (Official Video) ft. Ellie Goulding,781416000,147052,2014
54,G-Eazy - I Mean It (Official Music Video) ft. Remo,768634348,72474,2014
55,Plan B - Fanatica Sensual Lyric Video,766243179,151275,2014
56,"Dillon Francis, DJ Snake - Get Low (Official Music Video)",765892339,19076,2014
57,Remmy Valenzuela - Mi Princesa,763011082,411860,2014
58,"Ty Dolla $ign - Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) [Official Music Video]",754028573,66572,2014
59,حسين الجسمي - بشرة خير (فيديو كليب) | Hussain Al Jassmi - Boshret Kheir | 2014,722460299,129295,2014
60,Otilia - Bilionera (official video),699352893,64361,2014
61,Aerosmith - I Don't Want to Miss a Thing (Official HD Video),695712247,180965,2014
62,Iggy Azalea - Black Widow ft. Rita Ora,688168380,43606,2014
63,"Rich Gang - Lifestyle (Official Music Video) ft. Young Thug, Rich Homie Quan",686956134,162629,2014
64,BANDA MS - NO ME PIDAS PERDÓN (VIDEO OFICIAL),677777604,21396,2014
65,"Dimitri Vegas, Martin Garrix, Like Mike - Tremor (Official Music Video)",676021972,35561,2014
66,"Enrique Iglesias - Bailando ft. Sean Paul, Descemer Bueno, Gente De Zona",670511735,160392,2014
67,Farruko - Passion Whine ft. Sean Paul (Official Video),668699436,185007,2014
68,Mario - Let Me Love You (Official Video),662447028,214146,2014
69,Mr. Probz - Waves (Robin Schulz Remix Radio Edit),660870999,156273,2014
70,Plan B - Mi Vecinita,652924976,78742,2014
71,One Direction - You & I,642937794,70912,2014
72,#SELFIE (Official Music Video) - The Chainsmokers,634078250,22704,2014
73,Bapu Zimidar | Jassie Gill | Replay ( Return Of Melody ) | Latest Punjabi Songs | New Punjabi Songs,622988171,74618,2014
74,David Guetta - Shot Me Down ft. Skylar Grey (Lyric Video),616310719,43707,2014
75,Beyoncé - 7/11,614262574,28134,2014
76,Meghan Trainor - Lips Are Movin (Official Music Video),599824242,12019,2014
77,Romeo Santos - Cancioncitas de Amor (Audio),597941403,73510,2014
78,"Kamli Song | Dhoom:3 | Katrina Kaif, Aamir Khan | Sunidhi Chauhan | Pritam | Amitabh Bhattacharya",589836988,219517,2014
79,ARIEL CAMACHO - HABLEMOS,567210011,54199,2014
80,"Nicki Minaj - Only ft. Drake, Lil Wayne, Chris Brown",559836932,33926,2014
81,Starship - Nothing's Gonna Stop Us Now (Official Music Video) [HD],559587161,672256,2014
82,"Carmen Twillie, Lebo M. - Circle of Life (From ""The Lion King"")",556984064,126243,2014
83,Tyga - Hookah ft. Young Thug,556794977,51628,2014
84,The Weeknd - Often (NSFW) (Official Video),555781484,50957,2014
85,Route 94 - My Love (Official Video) ft. Jess Glynne,548858520,171033,2014
