,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,JP,DE,AU,CA,FR,IT,KR,MX,RU,TH,BE,BR,CH,CN,CO,ES,HK,ID,IE,IN,NL,NZ,TR,TW,ZA,AE,AR,AT,CL,CZ,DK,EC,EE,EG,FI,GR,HU,IL,KE,KZ,LB,LT,LU,MY,NG,NO,PE,PH,PL,PT,RO,SA,SE,SI,SG,SK,UA,VN,DATE
13,14,-1,Billie Eilish - LUNCH,45,1,(x11),8538,-251,0.624,69.0,31.0,,41.0,19.0,39.0,62.0,103.0,,,,172.0,11.0,12.0,20.0,,,111.0,191.0,72.0,54.0,,10.0,16.0,160.0,,79.0,15.0,31.0,28.0,133.0,26.0,12.0,,29.0,35.0,18.0,,66.0,60.0,,58.0,19.0,17.0,11.0,25.0,,12.0,133.0,42.0,18.0,14.0,49.0,13.0,10.0,48.0,17.0,35.0,47.0,93.0,2024-06-30
14,15,=,Billie Eilish - CHIHIRO,45,2,(x8),8386,-146,0.595,57.0,59.0,,46.0,31.0,50.0,85.0,150.0,,92.0,,,13.0,2.0,22.0,,93.0,133.0,,94.0,69.0,,13.0,18.0,105.0,,42.0,10.0,19.0,45.0,57.0,32.0,24.0,90.0,26.0,5.0,39.0,63.0,59.0,84.0,,19.0,6.0,10.0,10.0,23.0,,25.0,51.0,73.0,13.0,6.0,36.0,5.0,16.0,35.0,18.0,41.0,18.0,78.0,2024-06-30
15,16,=,Post Malone - I Had Some Help,52,10,,7800,-258,0.44,3.0,8.0,,67.0,4.0,2.0,,,,,,,185.0,,29.0,,,,,,11.0,,23.0,10.0,,,22.0,27.0,,43.0,,78.0,29.0,,84.0,,66.0,,,,,,97.0,68.0,,144.0,,19.0,,176.0,76.0,65.0,,57.0,12.0,67.0,75.0,85.0,,,2024-06-30
16,17,=,Artemas - i like the way you kiss me,102,3,(x8),7688,-10,0.93,,33.0,,5.0,25.0,85.0,47.0,47.0,,,,,8.0,,11.0,,,85.0,,,59.0,,17.0,29.0,,,60.0,35.0,,4.0,,10.0,48.0,,6.0,146.0,22.0,,24.0,,,68.0,,12.0,5.0,75.0,,20.0,,,3.0,98.0,43.0,93.0,13.0,45.0,53.0,13.0,16.0,,2024-06-30
17,18,+1,"Chappell Roan - Good Luck, Babe",57,18,,7217,-16,0.171,20.0,12.0,,61.0,15.0,22.0,,,,,,,111.0,35.0,35.0,,,194.0,,,12.0,,31.0,11.0,,,136.0,19.0,116.0,46.0,162.0,,101.0,,86.0,153.0,25.0,,,,,,8.0,53.0,63.0,104.0,,40.0,176.0,15.0,53.0,27.0,104.0,11.0,31.0,63.0,15.0,,,171.0,2024-06-30
18,19,-1,Central Cee & Lil Baby - BAND4BAND,38,10,,6966,-323,0.352,36.0,17.0,,44.0,29.0,30.0,,,,,,114.0,26.0,,14.0,,,,,,62.0,,28.0,31.0,,,48.0,11.0,,34.0,,68.0,66.0,,69.0,58.0,48.0,56.0,56.0,,18.0,,17.0,63.0,6.0,133.0,47.0,42.0,,,75.0,26.0,51.0,30.0,54.0,43.0,,39.0,,131.0,2024-06-30
19,20,=,Myles Smith - Stargazing,51,19,,6713,-26,0.281,191.0,6.0,,19.0,16.0,34.0,92.0,137.0,,,,,31.0,,8.0,,,,,,21.0,,44.0,24.0,,,18.0,34.0,,11.0,,75.0,56.0,,,,152.0,,95.0,,,,79.0,,25.0,191.0,,39.0,,130.0,124.0,,,85.0,87.0,92.0,57.0,57.0,,,2024-06-30
20,21,=,Dasha - Austin,116,18,,5724,150,0.565,157.0,9.0,,15.0,14.0,35.0,,,,,,,90.0,,21.0,,,,,,24.0,,43.0,19.0,,,110.0,,,13.0,,91.0,69.0,,81.0,,61.0,,,,,,,84.0,57.0,,,31.0,,,110.0,,,,59.0,,,100.0,,,2024-06-30
21,22,=,Ariana Grande - we can't be friends,115,1,(x28),5458,-48,1.312,141.0,52.0,,97.0,27.0,106.0,192.0,,,,,24.0,84.0,58.0,65.0,,,,,4.0,71.0,,56.0,20.0,,99.0,82.0,20.0,115.0,96.0,146.0,,51.0,,,139.0,45.0,,,,,96.0,22.0,69.0,78.0,4.0,,26.0,158.0,9.0,61.0,66.0,,15.0,26.0,,9.0,,,21.0,2024-06-30
22,23,+3,Coldplay - Viva La Vida,648,17,,5030,672,2.424,,18.0,,49.0,45.0,152.0,145.0,131.0,,,,,34.0,86.0,25.0,,,102.0,,,36.0,,37.0,27.0,,,,41.0,92.0,38.0,,47.0,115.0,,,178.0,54.0,99.0,45.0,,,,15.0,,19.0,95.0,,32.0,,190.0,188.0,60.0,67.0,86.0,40.0,27.0,32.0,64.0,,,2024-06-30
23,24,-1,aespa - Supernova,48,23,,4883,0,0.26,,,21.0,,,,,,4.0,,,23.0,,,,10.0,,,6.0,19.0,,,,,45.0,3.0,,,,,,,,,,,,,,,,,,,,16.0,,,,86.0,,,,,,,14.0,,,23.0,2024-06-30
24,25,+3,Dua Lipa - Training Season,136,4,,4532,233,0.939,,40.0,,68.0,28.0,,36.0,62.0,,,,,72.0,93.0,42.0,,,181.0,,,73.0,,34.0,30.0,141.0,,,75.0,128.0,42.0,,87.0,79.0,,,,65.0,,61.0,,,,67.0,73.0,45.0,193.0,,47.0,,,48.0,51.0,,82.0,48.0,,77.0,40.0,92.0,,2024-06-30
25,26,-1,Noah Kahan - Stick Season,263,9,,4405,-2,1.537,71.0,11.0,,,18.0,16.0,,,,,,,94.0,,83.0,,,,,,35.0,,32.0,23.0,,,45.0,,,,,,192.0,,,,,,,,,,,,,,,88.0,,,,,,,112.0,,,,,,2024-06-30
26,27,-3,NewJeans - How Sweet,38,24,,4358,-83,0.183,,,12.0,,,,,,2.0,,,56.0,,,,23.0,,,4.0,64.0,,,,,92.0,1.0,,,,,,,,,,,,,,,,,,,,28.0,,,,129.0,,,,,,,11.0,,,48.0,2024-06-30
27,28,+1,aespa - Armageddon,35,28,,4290,12,0.157,,,83.0,,,,,,5.0,,,17.0,,,,8.0,,,10.0,11.0,,,,,46.0,5.0,,,,,,,,,,,,,,,,,,,,10.0,,,,69.0,,,,,,,13.0,,,24.0,2024-06-30
28,29,-2,Tate McRae - greedy,290,1,(x22),4289,-34,3.025,,75.0,,40.0,30.0,58.0,,,,,,198.0,59.0,71.0,47.0,,,,,92.0,101.0,,35.0,33.0,,,,26.0,,35.0,,37.0,73.0,,,,90.0,,70.0,,,,,42.0,47.0,37.0,,52.0,,90.0,33.0,77.0,108.0,45.0,39.0,,31.0,58.0,73.0,178.0,2024-06-30
29,30,+5,Jordan Adetunji - Kehlani,11,30,,4173,120,0.041,19.0,25.0,,66.0,134.0,62.0,,,,,,,91.0,,26.0,,,,,,114.0,,95.0,81.0,,,38.0,38.0,,77.0,,,,,,,,,,,46.0,,,,16.0,,146.0,,,,,53.0,44.0,71.0,,,,,,,2024-06-30
30,31,+2,CYRIL - Stumblin' In,145,25,,4169,50,0.517,,,,11.0,20.0,,26.0,,,,,,18.0,,57.0,,,,,,,,19.0,17.0,,,,,,6.0,,,,,75.0,,,,,,,,,,28.0,,,,,,79.0,,156.0,,,83.0,,59.0,,,2024-06-30
31,32,=,ILLIT - Magnetic,97,14,,4159,9,0.534,,,5.0,,,,,,9.0,,,42.0,,,,77.0,,,12.0,71.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,21.0,,,,108.0,,,,,,,8.0,,,39.0,2024-06-30
32,33,+6,Mark Ambor - Belong Together,98,29,,4037,100,0.358,,19.0,,16.0,178.0,184.0,86.0,,,,,,55.0,,10.0,,,,,,60.0,,42.0,,,,67.0,64.0,,15.0,,66.0,,,,,,,,,,,83.0,,51.0,,,34.0,,,111.0,,,50.0,,,,,,,2024-06-30
33,34,-3,Taylor Swift - Down Bad,73,2,(x12),3970,-192,0.702,84.0,56.0,,165.0,22.0,54.0,,,,,,147.0,,52.0,,,,,,101.0,17.0,,60.0,21.0,,,,43.0,56.0,153.0,,,60.0,,,,59.0,,,,,,43.0,,,49.0,,63.0,,17.0,,75.0,,61.0,27.0,,16.0,,,71.0,2024-06-30
34,35,-1,NewJeans - Supernatural,10,32,,3945,-154,0.039,,,16.0,,,,,,1.0,,,86.0,,,,25.0,,,14.0,102.0,,,,,62.0,7.0,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,19.0,,,30.0,2024-06-30
35,36,-6,Camila Cabello - HOT UPTOWN,3,30,,3945,-223,0.01,44.0,55.0,,,74.0,29.0,,129.0,,,,,133.0,53.0,46.0,,,94.0,,,147.0,,46.0,66.0,,,106.0,12.0,184.0,175.0,,,160.0,,,44.0,156.0,,,,,,11.0,54.0,79.0,,,95.0,,,44.0,25.0,59.0,14.0,35.0,,,,,,2024-06-30
36,37,+1,Coldplay - feelslikeimfallinginlove,10,22,,3881,-81,0.044,,14.0,,55.0,131.0,,,83.0,,,,,106.0,,13.0,,,182.0,,,48.0,,38.0,92.0,,,,94.0,106.0,29.0,,,107.0,,,160.0,43.0,,75.0,,,,31.0,98.0,61.0,148.0,,24.0,,,,69.0,100.0,,36.0,42.0,21.0,96.0,,,2024-06-30
37,38,-1,Beyonc̩ - TEXAS HOLD 'EM,140,2,(x7),3862,-127,1.243,,53.0,,38.0,38.0,74.0,72.0,,,,,,38.0,112.0,45.0,,,,,,72.0,,26.0,41.0,,,140.0,,,22.0,,,47.0,,,,,,,,,,,,30.0,,,44.0,,,,,,,57.0,,,,,,2024-06-30
38,39,+1,Billie Eilish - WILDFLOWER,45,6,,3820,-37,0.385,78.0,88.0,,118.0,58.0,90.0,,,,,,,68.0,25.0,70.0,,,,,150.0,112.0,,45.0,35.0,,,93.0,23.0,83.0,110.0,175.0,,49.0,,,9.0,81.0,,,,,,10.0,58.0,29.0,18.0,,29.0,195.0,123.0,77.0,21.0,90.0,8.0,52.0,,60.0,,,,2024-06-30
39,40,-4,"Future, Metro Boomin & Kendrick Lamar - Like That",90,3,(x5),3786,-217,0.626,7.0,181.0,,188.0,71.0,32.0,,,,,,,,,172.0,,,,,,149.0,149.0,92.0,28.0,,,43.0,14.0,,190.0,,,,,98.0,29.0,75.0,,,,20.0,,45.0,85.0,,174.0,176.0,91.0,,196.0,92.0,84.0,38.0,16.0,62.0,,,,,,2024-06-30
40,41,=,Zach Bryan - Pink Skies,38,32,,3670,-13,0.156,9.0,101.0,,,17.0,5.0,,,,,,,,,,,,,,,53.0,,,38.0,,,150.0,,,,,,,,,,,,,,,,,,,,,143.0,,,,,,,88.0,,,,,,2024-06-30
41,42,+1,"Adam Port, Stryv, Keinemusik, Orso & Malachiii - Move",23,42,,3606,53,0.054,,176.0,,47.0,,,91.0,127.0,,,,,29.0,,15.0,,,,,,,,51.0,,150.0,,166.0,5.0,,37.0,,,,,77.0,1.0,,3.0,23.0,9.0,,44.0,1.0,72.0,17.0,,,,,,,7.0,3.0,7.0,,72.0,,47.0,41.0,,2024-06-30
42,43,+1,LISA - Rockstar,3,43,,3525,64,0.01,,,,,,,,,46.0,,,1.0,,19.0,,,,,27.0,27.0,,,,,79.0,13.0,,68.0,,,,,,,,,,,,,,,,,,9.0,,,,25.0,,,,19.0,,,7.0,,,4.0,2024-06-30
43,44,+2,Taylor Swift - Lover,675,3,(x13),3499,243,3.266,,35.0,,192.0,36.0,104.0,,,,,,69.0,126.0,120.0,130.0,,,,178.0,57.0,6.0,,58.0,34.0,,,,57.0,123.0,128.0,,,118.0,,,,141.0,,,,,,,,,45.0,,82.0,,24.0,199.0,,,68.0,82.0,,22.0,,,89.0,2024-06-30
44,45,-3,Taylor Swift - I Can Do It With a Broken Heart,73,3,(x5),3481,-124,0.607,129.0,23.0,,150.0,26.0,65.0,,,,,,,,107.0,,,,,,,9.0,,68.0,37.0,,,,,67.0,146.0,,,157.0,,,,99.0,,,,,,38.0,,,,,120.0,,47.0,,90.0,,54.0,71.0,,24.0,,,144.0,2024-06-30
45,46,+1,Miley Cyrus - Flowers,535,1,(x168),3280,110,5.482,,81.0,,69.0,47.0,97.0,167.0,,,,,,65.0,49.0,43.0,,,107.0,,,74.0,,65.0,39.0,,,194.0,47.0,98.0,47.0,,34.0,94.0,,,,97.0,,96.0,,,,82.0,60.0,43.0,90.0,,41.0,,162.0,49.0,,,,55.0,,48.0,,94.0,,2024-06-30
