,Video,Views,Yesterday,Publication year
0,Luis Fonsi - Despacito ft. Daddy Yankee,8737922313,777946,2017
1,Ed Sheeran - Shape of You (Official Music Video),6486296131,809360,2017
2,Ed Sheeran - Perfect (Official Music Video),3957503900,844904,2017
3,"J Balvin, Willy William - Mi Gente (Official Video)",3500950430,528946,2017
4,Dua Lipa - New Rules (Official Music Video),3151776823,450026,2017
5,Imagine Dragons - Believer (Official Music Video),2835606635,469120,2017
6,Natti Natasha ❌ Ozuna - Criminal [Official Video],2722237835,338186,2017
7,"Becky G, Bad Bunny - Mayores (Official Video)",2553930785,329223,2017
8,"Luis Fonsi, Demi Lovato - Échame La Culpa",2436950543,211148,2017
9,Bruno Mars - That’s What I Like [Official Music Video],2413338844,259531,2017
10,The Chainsmokers & Coldplay - Something Just Like This (Lyric),2407407952,339471,2017
11,ZAYN - Dusk Till Dawn (Official Video) ft. Sia,2285927064,348974,2017
12,Imagine Dragons - Thunder,2275663372,420528,2017
13,Piso 21 - Déjala Que Vuelva (feat. Manuel Turizo) [Video Oficial],2158408428,369558,2017
14,Camila Cabello - Havana (Audio) ft. Young Thug,2028003217,101025,2017
15,Una Lady Como Tú - MTZ Manuel Turizo | Video Oficial,1974450253,298114,2017
16,Maluma - Felices los 4 (Official Video),1943523359,107060,2017
17,MC Fioti - Bum Bum Tam Tam (KondZilla) | Official Music Video,1893374604,211322,2017
18,"Carlos Vives, Sebastián Yatra - Robarte un Beso (Official Video)",1872873079,312437,2017
19,"DJ Khaled - I'm The One ft. Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",1856435993,165365,2017
20,Ozuna - Se Preparó (Video Oficial) | Odisea,1838359115,236434,2017
21,Jason Derulo - Swalla (feat. Nicki Minaj & Ty Dolla $ign) [Official Music Video],1836902903,97715,2017
22,French Montana - Unforgettable ft. Swae Lee,1824582000,303685,2017
23,Coolio - Gangsta's Paradise (feat. L.V.) [Official Music Video],1781580117,701094,2017
24,Maluma - Corazón (Official Video) ft. Nego do Borel,1722157340,180254,2017
25,Wisin - Escápate Conmigo (Official Video) ft. Ozuna,1705616941,296429,2017
26,Charlie Puth - Attention [Official Video],1669837316,392638,2017
27,Post Malone - Congratulations (Official Music Video) ft. Quavo,1664506663,162607,2017
28,BTS (방탄소년단) 'DNA' Official MV,1623943235,111693,2017
29,Christian Nodal - Adiós Amor (Video Oficial),1593002284,272729,2017
30,"Enrique Iglesias - SUBEME LA RADIO (Official Video) ft. Descemer Bueno, Zion & Lennox",1565601077,143813,2017
31,Sam Smith - Too Good At Goodbyes,1542608322,109797,2017
32,Taylor Swift - Look What You Made Me Do,1536380999,123028,2017
33,BTS (방탄소년단) 'MIC Drop (Steve Aoki Remix)' Official MV,1503391844,196875,2017
34,El Amante - Nicky Jam | Video Oficial,1479431935,72560,2017
35,"Chris Jedi - Ahora Dice (Official Video) ft. J. Balvin, Ozuna, Arcángel",1458657309,106865,2017
36,Melendi - Destino o Casualidad ft. Ha*Ash,1457369277,608708,2017
37,BLACKPINK - '마지막처럼 (AS IF IT'S YOUR LAST)' M/V,1451950321,218779,2017
38,Harry Styles - Sign of the Times (Official Video),1410248430,368825,2017
39,Clean Bandit - Symphony (feat. Zara Larsson) [Official Video],1390373893,200863,2017
40,Sean Paul - No Lie ft. Dua Lipa,1386278966,246850,2017
41,Katy Perry - Bon Appétit (Official) ft. Migos,1373186999,102167,2017
42,Shawn Mendes - There's Nothing Holdin' Me Back (Official Music Video),1340403696,275257,2017
43,The Weeknd - I Feel It Coming ft. Daft Punk (Official Video),1332250368,313048,2017
44,"DJ Khaled - Wild Thoughts (Official Video) ft. Rihanna, Bryson Tiller",1272323200,189345,2017
45,Guru Randhawa: High Rated Gabru Official Song | DirectorGifty | Bhushan Kumar | T-Series,1264847341,137956,2017
46,Post Malone ft. 21 Savage - rockstar (Official Music Video),1259126624,185511,2017
47,Alan Walker - The Spectre,1239823246,139129,2017
48,Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video],1217791850,173315,2017
49,Lil Pump - Gucci Gang [Official Music Video],1192225396,41503,2017
50,"Bella, Wolfine - Video Oficial",1178477638,325814,2017
51,Cardi B - Bodak Yellow [OFFICIAL MUSIC VIDEO],1164200611,98242,2017
52,Guru Randhawa: Lahore (Official Video) Bhushan Kumar | Vee | DirectorGifty | T-Series,1130787207,111143,2017
53,"Phir Bhi Tumko Chaahunga - Full Song | Arijit Singh | Arjun K & Shraddha K | Mithoon, Manoj M",1123241862,463762,2017
54,Camila Cabello - Havana ft. Young Thug,1118457616,60372,2017
55,"Nacho, Yandel, Bad Bunny - Báilame (Remix)",1115931693,159650,2017
56,Shakira - Perro Fiel (Official Video) ft. Nicky Jam,1112667408,129844,2017
57,Travis Scott - goosebumps ft. Kendrick Lamar,1072783198,216477,2017
58,"Karol G, Bad Bunny - Ahora Me Llama (Official Video)",1070043371,54550,2017
59,Miyagi & Эндшпиль feat. Рем Дигга - I Got Love (Official Video),1065154927,392189,2017
60,Kendrick Lamar - HUMBLE.,1058961882,160176,2017
61,"Jagga Jasoos: Galti Se Mistake Video Song | Ranbir, Katrina | Pritam, Arijit, Amit | Amitabh B",1058036417,296482,2017
62,J Balvin - Si Tu Novio Te Deja Sola ft. Bad Bunny (Official Video),1057945500,77671,2017
63,"Any Gabrielly - Saber Quem Sou (De ""Moana"")",1042406581,128896,2017
64,Jaha Tum Rahoge | Maheruh | Amit Dolawat & Drisha More | Altamash Faridi | Kalyan Bhardhan,1041719111,358818,2017
65,Ozuna - Síguelo Bailando (Video Oficial),1036204545,31204,2017
66,Ayo & Teo - Rolex (Official Video),1031103969,36814,2017
67,Khalid - Young Dumb & Broke (Official Video),1029922021,134963,2017
68,Imagine Dragons - Whatever It Takes (Official Music Video),1026222854,167901,2017
69,Ozuna - El Farsante (Audio Oficial) | Odisea,1017916621,56788,2017
70,Esperándote - MTZ Manuel Turizo | Video Oficial,984080236,229680,2017
71,"Swag Se Swagat Song | Tiger Zinda Hai | Salman Khan, Katrina Kaif | Vishal - Shekhar, Neha B, Irshad",983333896,24334,2017
72,"Badri Ki Dulhania (Title Track) Varun, Alia, Tanishk, Neha, Monali, Ikka | ""Badrinath Ki Dulhania""",970135567,90961,2017
73,Shakira - Me Enamoré (Official Video),952993327,70934,2017
74,Sensualidad - Bad Bunny X Prince Royce X J Balvin X Dj Luian X Mambo Kingz,946033044,51586,2017
75,BANDA MS - EL COLOR DE TUS OJOS (VIDEO OFICIAL),943617164,57136,2017
76,Carla Morrison - Disfruto (letra),941179142,263013,2017
77,Ed Sheeran - Shape Of You [Official Lyric Video],931843833,3686,2017
78,"Arcángel, Bad Bunny - Me Acostumbré (Video Oficial)",921736973,184474,2017
79,Abu Ft. Yousra - 3 Daqat | Official Music Video | أبو و يسرا - ثلاث دقات,904942575,200043,2017
80,Ozuna - Tu Foto (Video Oficial) | Odisea,896308927,11431,2017
81,Anitta & J Balvin - Downtown [Official Music Video],880776467,228920,2017
82,So High | Official Music Video | Sidhu Moose Wala ft. BYG BYRD | Humble Music,870278873,209086,2017
83,Jonas Blue - Mama ft. William Singe,864407617,159679,2017
84,Poesia Acústica #2 - Sobre Nós - Delacruz I Maria I Ducon I Luiz Lins I Diomedes I Bk' I Kayuá,833100845,283029,2017
85,"Farruko, Bad Bunny, Rvssian - Krippy Kush (Official Video)",828423235,48587,2017
86,Daddy Yankee & Bad Bunny - Vuelve (Video Oficial),824542745,99585,2017
87,Greeicy ft Mike Bahía - Amantes (Video Oficial),821157389,91186,2017
88,Karol G - A Ella (Official Video),820909981,147701,2017
89,"Dil Diyan Gallan Song | Tiger Zinda Hai | Salman Khan, Katrina Kaif | Atif Aslam | Vishal & Shekhar",816952620,78787,2017
90,Khea - Loca ft. Duki & Cazzu (Prod. Omar Varela & Mykka),806844395,129545,2017
91,G-Eazy & Halsey - Him & I (Official Video),804583468,185545,2017
92,"Romeo Santos, Daddy Yankee, Nicky Jam - Bella y Sensual (Official Video)",802110352,69430,2017
93,"Silvestre Dangond, Nicky Jam - Cásate Conmigo (Official Video)",795360218,41953,2017
94,Yuridia - Amigos No por Favor (Primera Fila) (En Vivo),795152376,188012,2017
95,Balti feat. Hamouda - Ya Lili (Official Music Video),784877484,27616,2017
96,Martin Garrix & Dua Lipa - Scared To Be Lonely (Official Video),782230592,58766,2017
97,Ministério Zoe - Aquieta Minh'alma (Video Oficial),780915508,98481,2017
