,Video,Views,Yesterday,Publication year
0,PSY - GANGNAM STYLE(강남스타일) M/V,5599139478,982809,2012
1,Passenger | Let Her Go (Official Video),3840386546,650699,2012
2,Rihanna - Diamonds,2432824057,471966,2012
3,MACKLEMORE & RYAN LEWIS - THRIFT SHOP FEAT. WANZ (OFFICIAL VIDEO),1924362146,157324,2012
4,CantaJuego - Soy Una Taza (Version Mexico),1818336308,691673,2012
5,Carly Rae Jepsen - Call Me Maybe,1736379819,296373,2012
6,PULCINO PIO - El Pollito Pio (Official video),1658657514,152150,2012
7,AC/DC - Thunderstruck (Official Video),1572889277,466267,2012
8,Imagine Dragons - Radioactive,1521499738,123590,2012
9,Daddy Yankee - Limbo (Video Oficial),1435045975,166812,2012
10,Ricardo Arjona - Fuiste tú feat. Gaby Moreno (Video Oficial),1402498782,263893,2012
11,"Tujh Mein Rab Dikhta Hai Song | Rab Ne Bana Di Jodi | Shah Rukh Khan, Anushka Sharma | Roop Kumar",1298241477,527677,2012
12,Justin Bieber - Beauty And A Beat (Official Music Video) ft. Nicki Minaj,1172440350,164458,2012
13,Maroon 5 - One More Night (Official Music Video),1166876928,188025,2012
14,Bruno Mars - Locked Out Of Heaven (Official Music Video),1159019486,252321,2012
15,Romeo Santos - La Diabla/Mi Santa (Official Video) ft. Tomatito,1139099299,502359,2012
16,AC/DC - Back In Black (Official 4K Video),1124824234,250403,2012
17,will.i.am - Scream & Shout ft. Britney Spears,1124022468,163820,2012
18,Tom Odell - Another Love (Official Video),1077496896,231055,2012
19,Swedish House Mafia ft. John Martin - Don't You Worry Child (Official Video),1064819438,215646,2012
20,Katy Perry - Wide Awake (Official Video),1054233829,47817,2012
21,Katy Perry - Part Of Me (Official),988076285,52032,2012
22,SKRILLEX - Bangarang feat. Sirah [Official Music Video],966738144,50710,2012
23,Maroon 5 - Payphone ft. Wiz Khalifa (Explicit) (Official Music Video),940907379,137338,2012
24,Lil Wayne - Mirror ft. Bruno Mars (Official Music Video),909098437,164232,2012
25,Justin Bieber - Boyfriend,908009946,44080,2012
26,PSY (ft. HYUNA) - 오빤 딱 내 스타일 M/V,845508645,23061,2012
27,Algo Me Gusta De Ti (Official Video),839861150,158953,2012
28,One Direction - One Thing,826926707,71893,2012
29,Taylor Swift - We Are Never Ever Getting Back Together,812784754,86182,2012
30,One Direction - Live While We're Young,755482466,44074,2012
31,Rihanna - Where Have You Been,741760690,290267,2012
32,Adele - Skyfall (Official Lyric Video),737215585,213203,2012
33,Metallica: Enter Sandman (Official Music Video),724412931,243761,2012
34,Full Video: Hookah Bar | Khiladi 786 | Akshay Kumar & Asin | Himesh Reshammiya,710175963,634700,2012
35,"Saiyaara Full Song | Ek Tha Tiger | Salman Khan, Katrina Kaif | Mohit Chauhan, Tarannum, Sohail Sen",701682116,407841,2012
36,Don Omar - Dutty Love (Lyric Video) ft. Natti Natasha,682852055,263796,2012
37,Ed Sheeran - Give Me Love (Official Music Video),677119785,36148,2012
38,Arcangel - Me Prefieres a Mi [Official Video],676144716,159169,2012
39,"Wisin & Yandel, Jennifer Lopez - Follow The Leader (Official Video) ft. Jennifer Lopez",674942026,56629,2012
40,Flo Rida - Wild Ones ft. Sia [Official Video],672852661,91053,2012
41,Patati Patatá - Comer Comer (DVD Coletânea de Sucessos),659908602,129499,2012
42,Eu Sou O Gummy Bear - Gummy Bear Song Brazilian Osito Gominola Brazil Som Livre Brasil,658530933,186253,2012
43,"Skrillex & Damian ""Jr. Gong"" Marley - Make It Bun Dem [OFFICIAL VIDEO]",655884995,88094,2012
44,LMFAO - Sorry For Party Rocking,638711825,49949,2012
45,P!nk - Try (Official Video),637476972,123048,2012
46,Jennifer Lopez - Dance Again (Official Video) ft. Pitbull,629821769,73928,2012
47,BIGBANG - FANTASTIC BABY M/V,629209935,141504,2012
48,"Chand Sifarish | Full Song | Fanaa | Aamir Khan, Kajol | Shaan, Kailash Kher | Jatin-Lalit | Prasoon",628732265,379667,2012
49,The Script - Hall of Fame (Official Video) ft. will.i.am,617631073,67548,2012
50,CASTLE OF GLASS (Official Music Video) [4K Upgrade] - Linkin Park,609283144,63573,2012
51,Céline Dion - I'm Alive (Official HD Video),600926577,236609,2012
52,Imagine Dragons - It's Time (Official Music Video),600885994,64483,2012
53,Patati Patatá - Superfantástico (DVD Coletânea de Sucessos),595503020,148670,2012
54,EXTASIS - Millonario Y @WCorona FT CARTEL DE SANTA (Video Oficial),573215767,98042,2012
55,Canserbero - Jeremías 17:5 (Video Oficial),568967619,136577,2012
56,David Guetta - She Wolf (Falling To Pieces) ft. Sia (Official Video),565852472,10837,2012
57,Zion x Ken-Y - More (La Formula) ft. Jory [Official Video],561732852,257548,2012
58,Nicki Minaj - Right By My Side (Official Music Video) ft. Chris Brown,556215520,77158,2012
59,Flo Rida - Whistle [Official Video],539565911,19535,2012
60,Taylor Swift - I Knew You Were Trouble,533379870,25097,2012
61,J Balvin - Tranquila (Official Video),522182056,40327,2012
62,"Miley Cyrus - The Backyard Sessions - ""Jolene""",520970724,150935,2012
63,Justin Bieber - As Long As You Love Me ft. Big Sean,519874252,27394,2012
64,Reik - Te Fuiste de Aquí (Video Oficial),516666519,98465,2012
65,Reik - Creo en Ti,515836352,53348,2012
66,Demi Lovato - Give Your Heart a Break (Official Video),511178277,74793,2012
67,"Tera Hone Laga Hoon Lyrical - Ajab Prem Ki Ghazab Kahani | Atif Aslam | Ranbir, Katrina K | Pritam",504420190,217103,2012
68,Disclosure - Latch ft. Sam Smith,504177578,147453,2012
69,Ricardo Montaner - La Gloria de Dios (Video Oficial) ft. Evaluna Montaner,502368903,86759,2012
70,Nicki Minaj - Starships (Explicit) (Official Video),492389843,51914,2012
71,"Main Yahaan Hoon | Full Song | Veer-Zaara | Shah Rukh Khan, Preity Zinta | Madan Mohan, Udit Narayan",491602749,316690,2012
72,Khaled - C'Est La Vie,484771078,82671,2012
73,Owl City & Carly Rae Jepsen - Good Time (Official Video),483192919,84443,2012
74,Drake - Take Care ft. Rihanna,473832035,72171,2012
75,Alicia Keys - Girl on Fire (Official Video),468731127,49665,2012
76,Río Roma - Me Cambiaste la Vida (Videoclip),466559426,93551,2012
77,JESSE & JOY - La De La Mala Suerte (Video Oficial),463499461,82566,2012
78,Nicky Romero - Toulouse,462431568,5367,2012
79,Lana Del Rey - Summertime Sadness,461444404,37060,2012
80,महामृत्युंजय मंत्र 108 times I Mahamrityunjay Mantra I SHANKAR SAHNEY l Full HD Video Song,453403169,89614,2012
81,Jay-Z & Kanye West - Ni**as In Paris (Explicit),439757907,56564,2012
82,BURN IT DOWN (Official Music Video) [4K Upgrade] - Linkin Park,436859036,112292,2012
83,James Arthur - Impossible (Official Video),432402271,102973,2012
84,Patati Patatá - Piuí Abacaxi (DVD Coletânea de Sucessos),422141743,71405,2012
85,David Guetta - Turn Me On ft. Nicki Minaj (Official Video),418043939,37325,2012
86,One Direction - Little Things,415802003,22558,2012
87,Lana Del Rey - Blue Jeans,408986459,85681,2012
88,Don Omar - Zumba Campaign Video,402134420,81996,2012
89,Farruko - Cositas Que Haciamos [Official Music Video],401486808,210974,2012
90,Calvin Harris - Sweet Nothing (Official Video) ft. Florence Welch,395617266,32873,2012
91,ไกลแค่ไหน คือ ใกล้ - getsunova (Official Audio),395257060,44343,2012
92,Piensas En Mi - Nicky Jam | Video Oficial,393061560,220620,2012
93,Of Monsters and Men - Little Talks,390568220,44021,2012
94,AC/DC - Highway to Hell (Official Video),390027755,226703,2012
95,Labrinth - Beneath Your Beautiful (Official Video) ft. Emeli Sandé,371932659,47655,2012
96,Tom and Angela - You Get Me (from Talking Friends),371357481,7641,2012
97,Avicii vs Nicky Romero - I Could Be The One (Nicktim),364690715,24286,2012
98,The Lumineers - Ho Hey (Official Video),364081876,78586,2012
99,PULCINO PIO - Il Pulcino Pio (Official video),363098223,19905,2012
100,Miguel Bosé & Ximena Sariñana - Aire Soy (Videoclip oficial),357877309,76792,2012
101,Shakira - Addicted to You,355617488,63142,2012
102,Aventura - Dile Al Amor,354252413,81041,2012
103,"AC/DC - Thunderstruck (Live At River Plate, December 2009)",351708597,55077,2012
104,"A$AP ROCKY - F**kin' Problems ft. Drake, 2 Chainz, Kendrick Lamar",350361434,35141,2012
105,Ana Carolina - Quem De Nós Dois (La Mia Storia Tra Le Dita),341353295,103346,2012
106,Gusttavo Lima & Neymar - BALADA (TCHÊ TCHERERE TCHÊ TCHÊ),339765254,47701,2012
107,Soda Stereo - De Musica Ligera (El Último Concierto),337036767,79565,2012
108,Piccolo Coro dell'Antoniano - Volevo un gatto nero (cartoon) - 11° Zecchino d'Oro,332972915,34024,2012
109,Turma do Pagode - Lancinho ((O Som das Multidões Ao Vivo) [Clipe Oficial]),332003540,74983,2012
110,will.i.am - This Is Love ft. Eva Simons,330713710,13698,2012
111,Arctic Monkeys - R U Mine? (Official Video),329670410,33651,2012
112,Romeo Santos - Rival (Official Video) ft. Mario Domm,324503070,74607,2012
113,Calle 13 - La Vuelta al Mundo,323971161,61505,2012
114,Gayatri Mantra 108 times Anuradha Paudwal I Full Audio Song I T-Series Bhakti Sagar,322812092,82573,2012
115,"Tu Jaane Na Lyrical - Ajab Prem Ki Ghazab Kahani | Atif Aslam | Ranbir Kapoor, Katrina Kaif | Pritam",322773379,131366,2012
116,P!NK - Try (The Truth About Love - Live From Los Angeles),321641726,117341,2012
117,TARKAN - Dudu (Official Music Video),316476666,171821,2012
118,Chris Brown - Turn Up the Music,314013960,19125,2012
119,Dead Or Alive - You Spin Me Round (Like a Record) (Official Video),311387924,83095,2012
120,Gummibär - Bubble Up - Song and Dance - The Gummy Bear,308652735,51753,2012
121,Cher Lloyd - Want U Back (US Version),306226592,14442,2012
122,Fat Joe - What's Luv? ft. Ashanti,305052244,135182,2012
123,"Kanye West - Mercy (Explicit) ft. Big Sean, Pusha T, 2 Chainz",300688886,52921,2012
124,Solitaria - Alkilados Ft. Dalmata (Video Oficial),298437980,35688,2012
125,"Yeh Jism Hai Toh Kya Full Video Song (Film Version) | Randeep Hooda, Sunny Leone",298050178,182776,2012
126,Nicki Minaj - Pound The Alarm (Explicit),297599988,17360,2012
127,"Balma Song Khiladi 786 Ft. Akshay Kumar, Asin",297231203,195110,2012
128,Don Omar - Angelito,295511250,118613,2012
129,"Chanda Chamke | Full Song | Fanaa | Aamir Khan, Kajol, Rishi Kapoor, Ali Haji | Jatin-Lalit, Prasoon",295162776,132274,2012
130,Bob Sinclar - World Hold On (Official HD Video),291889315,165181,2012
131,alt-J (∆) Breezeblocks,290143475,44166,2012
132,Lindsey Stirling - Crystallize (Dubstep Violin Original Song),288514629,24453,2012
133,Camila - De Que Me Sirve la Vida,287630952,26016,2012
134,Kaise Kahein Alvida Full Video Song | Yeh Saali Zindagi | Javed Ali,285893955,298791,2012
135,Coldplay - Princess Of China ft. Rihanna (Official Video),285007381,19382,2012
136,DIE ANTWOORD - BABY'S ON FIRE (OFFICIAL),280156262,17121,2012
137,The Weeknd - Wicked Games (Official Video - Explicit),277102295,42120,2012
