,Video,Views,Yesterday,Publication year
0,"KAROL G, Shakira - TQG (Official Video)",1357239201,504361,2023
1,Yng Lvcas & Peso Pluma - La Bebe (Remix) [Video Oficial],1167136819,727474,2023
2,Miley Cyrus - Flowers (Official Video),1062441305,542444,2023
3,Grupo Frontera x Grupo Firme - EL AMOR DE SU VIDA (Video Oficial),993829896,858791,2023
4,Grupo Frontera x Bad Bunny - UN X100TO (Video Oficial),967118284,426472,2023
5,SHAKIRA || BZRP Music Sessions #53,809410198,174860,2023
6,"Maluma, Carin Leon - Según Quién (Official Video)",737120764,414678,2023
7,KAROL G - MI EX TENÍA RAZÓN (Official Video),716162580,480178,2023
8,Ella Baila Sola - (Video Oficial) - Eslabon Armado y Peso Pluma - DEL Records 2023,695690444,294047,2023
9,"BELLAKEO (Video Oficial) - Peso Pluma, Anitta",631544360,534892,2023
10,Xavi - La Diabla (Official Video),628197142,438102,2023
11,YOASOBI「アイドル」 Official Music Video,603618190,244161,2023
12,JISOO - ‘꽃(FLOWER)’ M/V,600269799,174203,2023
13,Myke Towers - Lala (Video Oficial),576047892,553673,2023
14,"Feid, Young Miko - Classy 101 (Official Video)",572132568,244966,2023
15,"Grupo Firme - Gerardo Coronel ""El Jerry"" - Qué Onda Perdida (Video Oficial)",563789361,328276,2023
16,"JAWAN: Chaleya (Hindi) | Shah Rukh Khan | Nayanthara | Atlee | Anirudh | Arijit S, Shilpa R | Kumaar",559526337,343369,2023
17,Ke Personajes Ft Onda Sabanera | Pobre Corazón,553935387,256271,2023
18,Carin Leon - Primera Cita [Official Video],544290793,314480,2023
19,Becky G - POR EL CONTRARIO with Leonardo Aguilar & Ángela Aguilar (Performance Video),530051074,666378,2023
20,정국 (Jung Kook) 'Seven (feat. Latto)' Official MV,524087141,285005,2023
21,"Zihaal e Miskin (Video) Javed-Mohsin | Vishal Mishra, Shreya Ghoshal | Rohit Z, Nimrit A | Kunaal V",499140635,392483,2023
22,"Manu Bahtidão, Simone Mendes - Daqui Pra Sempre (Vídeo Oficial)",479437277,201176,2023
23,"Cartel de Santa, La Kelly - Shorty Party (Video Oficial)",478864475,316331,2023
24,Guli Mata - Saad Lamjarred | Shreya Ghoshal | Jennifer Winget | Anshul Garg,470650684,249699,2023
25,"The Weeknd, Ariana Grande - Die For You (Remix / Lyric Video)",464175882,517706,2023
26,David Kushner - Daylight (Official Music Video),457467979,437501,2023
27,"Emilia, Callejero Fino, Big One - En La Intimidad | CROSSOVER #1",457195281,118880,2023
28,Chayanne - Bailando Bachata (Official Video),447374274,495712,2023
29,JERE KLEIN - ANDO (Video Oficial) | ENFASIS,436392242,248333,2023
30,"Ram Siya Ram (Lyrical) Adipurush | Prabhas | Sachet-Parampara,Manoj Muntashir S |Om Raut | Bhushan K",435027838,315603,2023
31,Shakira - Acróstico (Official Video),431102907,138761,2023
32,Heeriye (Official Video) Jasleen Royal ft Arijit Singh| Dulquer Salmaan| Aditya Sharma |Taani Tanvir,425728202,227623,2023
33,Kya Loge Tum | Akshay Kumar | Amyra Dastur | BPraak | Jaani | Arvindr Khaira | Zohrajabeen,421862352,175405,2023
34,NUEVA VIDA (Lyric Video) - Peso Pluma,421174152,670395,2023
35,Junior H - Y LLORO [Official Video],418950810,533950,2023
36,AgroPlay Verão - Nosso Quadro @anacastelaoficial,413485618,95156,2023
37,"Tere Vaaste | Zara Hatke Zara Bachke | Vicky Kaushal, Sara Ali Khan, Varun J, Sachin-Jigar,Amitabh B",409365516,93635,2023
38,Myke Towers - LALA (Lyric Video),408877249,48615,2023
39,Simone Mendes - ERRO GOSTOSO (DVD CINTILANTE),408778076,223054,2023
40,Zé Neto e Cristiano - Oi Balde - #Escolhas,398688390,114686,2023
41,(여자)아이들((G)I-DLE) - '퀸카 (Queencard)' Official Music Video,398294723,147626,2023
42,KAROL G - Amargura (Visualizer),398207507,140899,2023
43,Bad Bunny ft. Bomba Estéreo - Ojitos Lindos (Video Oficial) | Un Verano Sin Ti,392609410,368889,2023
44,4K Video - Pawan Singh - धनी हो सब धन | Shivani Singh | Dhani Ho Sab Dhan | Bhojpuri Song 2023,391254390,181553,2023
45,Libianca - People (Official Video),390187419,232391,2023
46,"Por Mi Mexico Remix 🇲🇽 - Lefty SM, Santa Fe Klan, Dharius, C-Kan, MC Davo & Neto Peña",387552628,365412,2023
47,"Los Del Espacio - LIT killah, Duki, Emilia, Tiago PZK, FMK, Rusherking, Maria Becerra, Big One",385564809,120487,2023
48,"Ke Personajes, FMK, Big One - Un Finde | CROSSOVER #2",384815973,147536,2023
49,iñigo quintero - Si No Estás (Letra Oficial),379773801,293549,2023
50,"LET'S GO 4 - DJ GBR, IG, Ryan SP, PH, Davi, Luki, Don Juan, Kadu ,GH do 7, GP, TrapLaudo",375250841,153757,2023
51,"Guilherme e Benuto, Simone Mendes - Manda um Oi | DVD Deu Rolo de Novo",370388960,113396,2023
52,"Peso Pluma, Natanael Cano - PRC (Video Oficial)",368847371,248549,2023
53,SOFTLY (Official Music Video) KARAN AUJLA | IKKY | LATEST PUNJABI SONGS 2023,364054626,335590,2023
54,"Kany García, Carin Leon - Te Lo Agradezco (Official Video)",360684194,385810,2023
55,KAROL G - AMARGURA (En Vivo),359788446,299256,2023
56,Gusttavo Lima - DESEJO IMORTAL (Ao vivo no Mineirão),357141856,174096,2023
57,"Los Ángeles Azules, Maria Becerra - El Amor de Mi Vida",353539640,228189,2023
58,Darell - Lollipop (Official Video),353379617,342002,2023
59,Grupo Frontera x Ke Personajes - OJITOS ROJOS (Video Oficial),350438026,155509,2023
60,#Video | पगली देखावे अगरबत्ती | #Neelkamal Singh | Pagli Dekhave Agarbatti | #Bhojpuri Song,348641474,133220,2023
