,Video,Views,Yesterday,Publication year
0,The Weeknd - Save Your Tears (Official Music Video),1971878791,1082156,2021
1,"Lut Gaye (Full Song) Emraan Hashmi, Yukti | Jubin N, Tanishk B, Manoj M | Bhushan K | Radhika-Vinay",1482613563,247996,2021
2,"KAROL G, Mariah Angeliq - EL MAKINON (Official Video)",1139970332,187454,2021
3,LISA - 'MONEY' EXCLUSIVE PERFORMANCE VIDEO,1124639548,292096,2021
4,BTS (방탄소년단) 'Butter' Official MV,1030949904,158407,2021
5,"The Kid LAROI, Justin Bieber - STAY (Official Video)",1014505459,223119,2021
6,Bad Bunny - Yonaguni (Video Oficial),972977813,163499,2021
7,Raataan Lambiyan – Official Video | Shershaah | Sidharth – Kiara | Tanishk B| Jubin Nautiyal |Asees,902715769,144827,2021
8,"Bruno Mars, Anderson .Paak, Silk Sonic - Leave the Door Open [Official Video]",881053951,181609,2021
9,BADSHAH - Paani Paani | Jacqueline Fernandez | Official Music Video | Aastha Gill | Trending Song,840625429,52697,2021
10,Tayrone - Cê Tá Preparada (Ao Vivo Em Goiânia / 2021) ft. Marília Mendonça,830337152,281475,2021
11,Anitta - Envolver [Official Music Video],821646446,224679,2021
12,Natti Natasha x Becky G - Ram Pam Pam [Official Video],818771187,151353,2021
13,Rauw Alejandro - Todo de Ti (Video Oficial),812612081,178085,2021
14,"Justin Bieber - Peaches ft. Daniel Caesar, Giveon",795921980,218941,2021
15,"TINI, Maria Becerra - Miénteme (Video Oficial)",791709131,307681,2021
16,Calibre 50 - Si Te Pudiera Mentir (LETRA),772877030,549873,2021
17,"Gera MX, Christian Nodal - Botella Tras Botella (Video Oficial)",768227102,154824,2021
18,Farruko - Pepas (Official Video),765167166,226043,2021
19,"HD VIDEO | कुँवारे में गंगा नहईले बानी | Ankush Raja , Shilpi Raj | Bhojpuri Song 2021",756214128,80677,2021
20,"Baarish Ban Jaana (Official Video) Payal Dev, Stebin Ben | Hina Khan, Shaheer Sheikh | Kunaal Vermaa",754861243,178623,2021
21,LISA - 'LALISA' M/V,748870744,89479,2021
22,"J Balvin, Maria Becerra - Qué Más Pues? (Official Video)",742092919,117203,2021
23,KAROL G - EL BARCO,740527729,415388,2021
24,295 (Official Audio) | Sidhu Moose Wala | The Kidd | Moosetape,718218896,549504,2021
