,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,UK,DE,FR,IT,RU,AT,BE,CH,ES,NL,DK,IE,LU,NO,SE,PL,PT,TR,CZ,FI,GR,HU,RO,SI,SK,UA,BG,BY,CY,EE,LT,LV,MD,MT,DATE
22,23,-2,Dua Lipa - Training Season,136,1,(x1),5327,-477,1.087,44.0,88.0,27.0,74.0,,,63.0,18.0,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
23,24,+3,Billie Eilish - BIRDS OF A FEATHER,45,13,,5200,384,0.256,17.0,40.0,51.0,,,,,,,42.0,64.0,24.0,,,,,,,,,9.0,,,,,,,,,,,,,,2024-06-30
24,25,+66,Coldplay - Viva la Vida,570,6,,5130,3038,3.051,8.0,99.0,54.0,109.0,,53.0,,42.0,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
25,26,-6,Snollebollekes - Links Rechts,19,17,,4978,-907,0.515,,4.0,,,,28.0,72.0,47.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
26,27,+1,floyymenor & Cris Mj - Gata Only,81,17,,4869,60,0.309,,95.0,17.0,39.0,149.0,77.0,133.0,179.0,31.0,155.0,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
27,28,+5,Taylor Swift - Fortnight,73,6,,4477,616,0.552,89.0,26.0,50.0,,,,127.0,51.0,78.0,,,14.0,,,42.0,,,,,,,,,,,,,,,,,,,,2024-06-30
28,29,+1,DJ Tons - Always Remember Us This Way,162,7,,4437,277,0.753,105.0,38.0,72.0,98.0,107.0,83.0,,55.0,29.0,,,,,,,,,,,,,,91.0,,,,,,,,,,,,2024-06-30
29,30,-8,"Meduza, OneRepublic & Leony - Fire",52,16,,4404,-1042,0.212,,14.0,,,,19.0,70.0,17.0,,75.0,,,,,,,,,,,,,,,,,,,,,56.0,,,,2024-06-30
30,31,-6,Sabrina Carpenter - Please Please Please,24,17,,4380,-576,0.115,15.0,65.0,,,,,71.0,,76.0,85.0,31.0,22.0,,,35.0,,,,,,,,,,,,,,,,,,,,2024-06-30
31,32,+75,Adele - Hello,2720,1,(x116),4191,2257,11.433,,,,,44.0,188.0,,,137.0,,126.0,117.0,22.0,85.0,95.0,55.0,37.0,,31.0,70.0,31.0,16.0,14.0,3.0,9.0,35.0,5.0,,4.0,8.0,8.0,11.0,27.0,12.0,2024-06-30
32,33,+9,Miley Cyrus - Flowers,535,1,(x137),4042,709,6.701,90.0,57.0,38.0,,,,66.0,44.0,47.0,,,,,,,,,176.0,,,,,,,,,,,,,,,19.0,,2024-06-30
33,34,+23,Peter Schilling - Major Tom,39,29,,3992,1326,0.199,,1.0,,,,27.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
34,35,+19,Ricchi & Poveri - SarÃ perchÃ© ti amo,415,10,,3845,1015,1.474,,53.0,,114.0,,14.0,18.0,38.0,,116.0,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
35,36,+19,Taylor Swift - Cruel Summer,369,1,(x2),3741,1036,1.483,34.0,160.0,40.0,,,31.0,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
36,37,-8,"Adam Port, Stryv, Keinemusik, Orso & Malachiii - Move",21,21,,3666,-949,0.062,,79.0,96.0,38.0,,,52.0,87.0,,117.0,,,,,,,,74.0,,,4.0,,1.0,,,,,,,,,,,,2024-06-30
37,38,+199,Jax - too young to be old,1,38,,3664,2548,0.005,61.0,50.0,60.0,,,,95.0,99.0,,,74.0,,,,,,13.0,,,19.0,,,,,,,,,,,,,,,2024-06-30
38,39,=,Tananai & Annalisa - STORIE BREVI,26,29,,3609,140,0.088,,,,1.0,,,,10.0,,177.0,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
39,40,+40,Lady Gaga - Always Remember Us This Way,1578,2,(x6),3597,1368,8.267,,,80.0,108.0,121.0,,100.0,62.0,40.0,,100.0,,,,22.0,10.0,,,40.0,,,,62.0,,16.0,,32.0,,,,,,,,2024-06-30
40,41,-10,KAROL G - Si Antes Te Hubiera Conocido,10,31,,3553,-391,0.032,,175.0,,42.0,,,152.0,23.0,1.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
41,42,-10,Wyn Starks - Who I Am,5,28,,3427,-515,0.019,60.0,74.0,20.0,,,,161.0,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
42,43,-17,Elton John & Dua Lipa - Cold Heart,1035,1,(x164),3410,-1422,8.823,45.0,191.0,158.0,,33.0,,104.0,120.0,,,,,,,,76.0,,,,,,,,,38.0,,,19.0,,,9.0,,73.0,,2024-06-30
43,44,NEW,Coldplay - Adventure of a Lifetime,323,2,(x32),3391,2488,4.592,25.0,,151.0,,,41.0,,,36.0,,,,,,,115.0,,,,,,,40.0,34.0,,,,,,,37.0,42.0,,47.0,2024-06-30
44,45,+29,Ed Sheeran - Perfect,2514,1,(x52),3374,1022,13.141,,130.0,149.0,141.0,,,98.0,,23.0,,,,,,19.0,64.0,,,33.0,,,14.0,13.0,20.0,14.0,,35.0,58.0,21.0,36.0,,52.0,49.0,16.0,2024-06-30
45,46,+3,Dua Lipa - Houdini,232,1,(x21),3361,305,2.237,40.0,119.0,48.0,,,,62.0,149.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
46,47,-4,"$OHO BANI, Herbert Groenemeyer & Ericson - ZEIT, DASS SICH WAS DREHT",91,43,,3356,34,0.194,,7.0,,,,32.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
47,48,-7,GIMS & DYSTINCT - SPIDER,49,41,,3322,-84,0.112,,,4.0,,,,17.0,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
48,49,+1,BENNETT - Vois sur ton chemin,330,1,(x1),3297,257,1.836,,37.0,109.0,,,60.0,41.0,46.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,2024-06-30
49,50,NEW,Coldplay - Fix You,97,25,,3192,3065,1.411,5.0,195.0,107.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
50,51,NEW,Coldplay - Yellow,38,51,,3143,2480,0.476,10.0,,66.0,,,,,144.0,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
51,52,-17,The Kolors - KARMA,59,29,,3122,-692,0.152,,,,2.0,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
52,53,-8,Kabin Crew - The Spark,18,20,,3121,-70,0.065,100.0,68.0,,,,76.0,7.0,,,130.0,,32.0,,,,,,,,,,,,,3.0,,,,,,,,,,2024-06-30
53,54,+153,ADELE - Rolling In the Deep,2564,9,,3107,1860,8.528,,,,,77.0,,,,129.0,,119.0,,,70.0,78.0,65.0,27.0,,34.0,38.0,25.0,11.0,24.0,6.0,32.0,71.0,6.0,,6.0,31.0,19.0,18.0,,22.0,2024-06-30
54,55,+17,The Kolors - Italodisco,407,3,(x1),3107,720,1.99,,100.0,,45.0,,13.0,,40.0,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,2024-06-30
55,56,-8,Zaho de Sagazan - La symphonie des Ã©clairs,210,21,,3101,45,0.668,,,3.0,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
56,57,+45,Lady Gaga & Bradley Cooper - Shallow,2096,1,(x170),2981,1005,15.97,,,146.0,68.0,177.0,,99.0,,161.0,,,,,,,60.0,51.0,,29.0,,42.0,15.0,,12.0,8.0,58.0,11.0,,10.0,29.0,17.0,34.0,,29.0,2024-06-30
57,58,NEW,BABYMONSTER - FOREVER,1,58,,2963,2963,0.003,,,43.0,,32.0,,,,96.0,183.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,2024-06-30
58,59,-22,"Chappell Roan - Good Luck, Babe",21,33,,2891,-616,0.09,41.0,112.0,,,,,,92.0,,,,4.0,,3.0,37.0,,,,,,,,,,,,,,,,,,,,2024-06-30
59,60,-22,Taylor Swift - Shake It Off,528,2,(x3),2844,-648,5.689,57.0,120.0,89.0,122.0,,,60.0,150.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
60,61,-14,Alessandra Amoroso - Mezzo Rotto,31,32,,2815,-264,0.093,,,,5.0,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
61,62,-18,AYLIVA & Apache 207 - Wunder,66,23,,2793,-499,0.25,,6.0,,,,,,163.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,2024-06-30
62,63,-17,Slimane - Mon amour,235,1,(x1),2768,-379,0.798,,,21.0,,,,44.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
63,64,-13,Mahmood - RA TA TA,17,44,,2733,-185,0.044,,,,6.0,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
64,65,+88,ADELE - Someone Like You,2586,12,,2731,1119,8.353,,,,,,,,,128.0,,108.0,,19.0,66.0,82.0,61.0,26.0,,41.0,45.0,27.0,18.0,16.0,5.0,,,9.0,63.0,5.0,22.0,14.0,15.0,,14.0,2024-06-30
65,66,+70,The Weeknd - Blinding Lights,1242,1,(x106),2644,925,10.267,99.0,,61.0,,,,37.0,27.0,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,2024-06-30
66,67,+182,Coldplay - Hymn for the Weekend,435,2,(x10),2626,1549,5.213,27.0,,101.0,,,,,,,,,36.0,,,,,,,56.0,,,,44.0,,24.0,,,64.0,32.0,,,,,42.0,2024-06-30
67,68,-16,"Balkonultra, Marc Eggers & Ikke HÃ¼ftgold - Pyrotechnik",19,52,,2534,-342,0.038,,15.0,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
68,69,-10,Laback & Alexis Carlier - Titanic x My Heart Will Go On,5,50,,2512,-86,0.013,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,2024-06-30
69,70,-8,"SDP, Sido & Esther Graf - Mama hat gesagt",59,23,,2493,-81,0.165,,24.0,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
70,71,+162,P!nk - Just Give Me a Reason,1135,1,(x6),2490,1345,8.727,,,,,,181.0,,,156.0,,114.0,35.0,30.0,74.0,92.0,74.0,47.0,,35.0,90.0,,17.0,27.0,13.0,26.0,,,,20.0,44.0,24.0,16.0,78.0,18.0,2024-06-30
71,72,-32,Kendrick Lamar - Not Like Us,43,10,,2471,-951,0.169,85.0,,91.0,,,,78.0,,,71.0,,,,,13.0,,1.0,,,,,,,,,,,,,,,,,,2024-06-30
72,73,+14,Udo Lindenberg & Apache 207 - Komet,527,10,,2467,303,2.195,,44.0,,,,12.0,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
73,74,+120,Ed Sheeran - Shape of You,2502,1,(x102),2461,1152,12.347,,,,,,,,,147.0,,,,35.0,,,59.0,40.0,,30.0,,32.0,13.0,18.0,16.0,10.0,41.0,8.0,18.0,7.0,23.0,23.0,32.0,29.0,31.0,2024-06-30
74,75,-9,Agust D - Give It to Me,4,66,,2451,0,0.014,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
75,76,-20,Tony Effe & GAIA - SESSO E SAMBA,39,41,,2403,-301,0.095,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
76,77,+2,Jazzdauren - ÐÐ°ÑÐ¸ÑÐµ Ð¶ÐµÐ½ÑÐ¸Ð½Ð°Ð¼ ÑÐ²ÐµÑÑ,91,50,,2403,137,0.231,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
77,78,NEW,Coldplay - The Scientist,6,78,,2359,2359,0.349,9.0,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
78,79,+45,Minelli - Rampampam,1012,20,,2358,587,2.417,,,,,13.0,,,,,,,,,,,,,,8.0,,,,,,,34.0,,60.0,,,,,,,2024-06-30
79,80,-7,Ð¢Ð°ÑÑÑÐ½Ð° ÐÑÑÑÑÐºÐ¾Ð²Ð° - ÐÐ°ÑÑÑÐºÐ°,166,59,,2357,0,0.372,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
80,81,+31,Ultimo - ALTROVE,49,42,,2327,426,0.103,,,,10.0,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
81,82,+12,Kontra K - Erfolg ist kein GlÃ¼ck,14,51,,2323,268,0.146,,17.0,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
82,83,+13,Dima Bilan & Mari Kraymbreri - Itâs My Life,52,65,,2321,266,0.107,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2024-06-30
83,84,-7,ÐÐ¸Ð¾ ÐÐ¸ÐÐ° & MIRAVI - ÐÐ¸Ñ,72,58,,2311,0,0.166,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
84,85,-14,Carbonne - Imagine,59,41,,2301,-94,0.124,,,8.0,,,,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
85,86,+43,Imagine Dragons - Wake Up,3,86,,2296,540,0.006,,61.0,79.0,105.0,,,,57.0,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,2024-06-30
86,87,-27,Loreen - Tattoo,481,1,(x5),2277,-318,3.339,,,82.0,,,,38.0,65.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
87,88,NEW,ADELE - Set Fire to the Rain,1097,15,,2274,1265,5.98,,,,,,,,,141.0,,109.0,,24.0,68.0,79.0,70.0,42.0,,38.0,41.0,29.0,41.0,23.0,17.0,,,13.0,,11.0,,29.0,48.0,,15.0,2024-06-30
88,89,-19,Lost Frequencies & Calum Scott - Where Are You Now,989,4,,2266,-137,4.45,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
89,90,+78,ANNA ASTI - Ð¦Ð°ÑÐ¸ÑÐ°,330,44,,2240,763,0.705,,,,,17.0,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,2024-06-30
90,91,NEW,Daft Punk - Get Lucky,2076,1,(x61),2239,1362,11.576,,,,,,,,,136.0,,110.0,128.0,32.0,83.0,98.0,,32.0,,,56.0,34.0,25.0,37.0,11.0,12.0,,,,14.0,15.0,15.0,9.0,,24.0,2024-06-30
91,92,-14,Rose Villain - COME UN TUONO,109,56,,2222,-44,0.238,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
92,93,NEW,Coldplay - Clocks,5,93,,2203,1940,0.322,18.0,,175.0,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
93,94,-5,Bellini - Samba Do Brasil,17,88,,2179,83,0.044,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
94,95,-9,Jakone & Kiliana - ÐÑÑÐ°Ð»ÑÑ,10,68,,2179,0,0.022,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
95,96,+19,"Disclosure - Sheâs Gone, Dance On",26,31,,2161,271,0.059,48.0,,,55.0,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
96,97,-14,BLIZKEY - ÐÐ¾ÑÑ,14,73,,2137,-85,0.029,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
97,98,-45,Fedez & Emis Killa - SEXY SHOP,31,38,,2104,-758,0.077,,,,11.0,,,,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
98,99,+40,Gianna Nannini - Silenzio,20,18,,2096,404,0.065,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
99,100,-12,Jazzdauren - ÐÐµÑÐ½Ð¸ Ð½Ð° ÐºÐ°ÑÑÐµÑÐµ,18,79,,2096,-41,0.039,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
100,101,NEW,Coldplay - Paradise,163,32,,2077,1304,2.579,16.0,,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,2024-06-30
101,102,-39,ZERB & Sofiya Nzau - Mwaki,214,6,,2067,-434,1.179,,69.0,,119.0,,,43.0,180.0,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
102,103,-22,Dua Lipa - Be the One,280,10,,2055,-167,2.539,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
103,104,+24,"Jungeli, Imen Es & Alonzo - Petit gÃ©nie",307,34,,2055,296,0.742,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
104,105,+8,ChaÃ«l - Don't Speak,991,68,,2055,154,2.143,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
105,106,-38,Indochine - Le chant des cygnes,17,20,,2046,-375,0.056,,,14.0,,,,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
106,107,+37,"Don Omar, Lucenzo & TiÃ«sto - Danza Kuduro",51,63,,2016,357,0.113,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
107,108,-13,Coma_Cose - MALAVITA,65,55,,2016,-39,0.132,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
108,109,-8,Merab Amzoevi - ÐÑÐ»Ð¸ Ð±Ñ ÐºÑÑÐ»ÑÑ,68,63,,2016,39,0.15,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
109,110,-74,"David Guetta, Girl On Couch & Billen Ted - Man In Finance",10,36,,1979,-1574,0.028,71.0,83.0,,103.0,,,82.0,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
110,111,-50,Joost - Europapa,122,13,,1965,-618,0.37,,,,,,,9.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
111,112,+42,Roxy Dekker - Sugardaddy,88,64,,1960,353,0.172,,,,,,,16.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
112,113,+36,Roland Kaiser - Mein Geheimnis,10,30,,1948,321,0.028,,23.0,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
113,114,-9,Emma - FEMME FATALE,53,35,,1939,0,0.106,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
114,115,+2,Bankzitters - Huisfeestje,23,74,,1916,47,0.047,,,,,,,25.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
115,116,-34,ANNA - 30ÂºC,31,53,,1901,-321,0.066,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
116,117,+2,Emma Louise - Jungle,778,58,,1901,72,1.992,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
117,118,-34,Sophie and the Giants - Shut Up And Dance,41,27,,1884,-326,0.097,,71.0,,60.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,2024-06-30
118,119,+3,Karna.val & SOLDATOV - ÐÐ´Ð¾Ñ-Ð²ÑÐ´Ð¾Ñ,2,119,,1865,72,0.004,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
119,120,+128,Lilly Wood & the Prick & Robin Schulz - Prayer In C,1503,1,(x71),1857,780,9.356,,,,,,,,,152.0,,,,23.0,,,63.0,52.0,,,,,12.0,36.0,9.0,18.0,60.0,,13.0,,,18.0,8.0,,20.0,2024-06-30
120,121,-56,SANTA - Recommence-moi,65,44,,1851,-608,0.17,,,26.0,,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
121,122,-47,Ofenbach - Overdrive,265,2,(x2),1838,-477,1.933,,52.0,,,,56.0,,68.0,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
122,123,-47,"Majestic, The Jammin Kid & CÃ©line Dion - Set My Heart On Fire",55,14,,1836,-478,0.12,24.0,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
123,124,+54,Imagine Dragons - Believer,1558,10,,1835,436,7.08,150.0,,104.0,,,58.0,,39.0,,102.0,,,,,,,,,,,,,,,,50.0,,,,,,,,,2024-06-30
124,125,NEW,Fun. - We Are Young,482,25,,1834,1143,4.563,,,,,,175.0,,,143.0,,,109.0,33.0,,94.0,72.0,28.0,,,113.0,,39.0,20.0,19.0,,,,,27.0,27.0,27.0,22.0,,10.0,2024-06-30
125,126,NEW,James Arthur - Impossible,1417,14,,1834,850,8.14,,,,,,179.0,,,,,,,20.0,,,67.0,33.0,,,,37.0,,21.0,15.0,15.0,,7.0,,3.0,,,35.0,75.0,9.0,2024-06-30
126,127,-11,Annalisa - Sinceramente,142,7,,1829,-44,0.452,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
127,128,NEW,The Chainsmokers & Coldplay - Something Just Like This,463,2,(x16),1821,1488,5.934,32.0,,,,,,,,,,,,,,,99.0,,,,,,,,28.0,19.0,,,,,,,,,36.0,2024-06-30
128,129,-32,Joost - Luchtballon,26,38,,1801,-239,0.06,,,,,,,11.0,,,28.0,,,,,,,,,,,,,,,,,,56.0,,,,,,,2024-06-30
129,130,+28,La Fuente - Ratata,79,71,,1796,215,0.163,,,,,,,21.0,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
130,131,+1,Zaho de Sagazan - Modern Love,38,15,,1793,68,0.113,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30
