,0 period(s) ago,1 period(s) ago,2 period(s) ago,3 period(s) ago,4 period(s) ago,5 period(s) ago,6 period(s) ago,7 period(s) ago,8 period(s) ago,9 period(s) ago,10 period(s) ago,11 period(s) ago,12 period(s) ago,13 period(s) ago,14 period(s) ago,15 period(s) ago,16 period(s) ago,17 period(s) ago,18 period(s) ago
328,75,Zach Bryan - Something in the Orange (Z&E's Version),,0.0876,0.0957,0.0955,0.0876,0.0833,0.0881,0.0878,0.0858,0.0831,0.0872,0.1014,0.1067,0.0955,0.0957,0.0955,2024-07-02
329,76,Technotronic - Pump Up the Jam,,0.0867,0.0,0.0,0.0867,0.0864,0.0773,0.0776,0.0735,0.0696,0.067,0.0806,0.0834,0.0669,0.0,0.0,2024-07-02
330,77,Bad Bunny & Chencho Corleone - Me Porto Bonito,,0.0857,0.1019,0.0979,0.0857,0.0864,0.0895,0.0885,0.0845,0.0815,0.0807,0.0951,0.0978,0.104,0.1019,0.0979,2024-07-02
331,78,Steve Lacy - Bad Habit,,0.0847,0.0793,0.0778,0.0847,0.0864,0.0895,0.0898,0.089,0.082,0.0813,0.0914,0.0856,0.0812,0.0793,0.0778,2024-07-02
332,79,Katy Nichole - In Jesus Name (God Of Possible),,0.0847,0.0856,0.084,0.0847,0.0864,0.0813,0.0835,0.0848,0.0804,0.083,0.0933,0.0956,0.0854,0.0856,0.084,2024-07-02
333,80,Lizzo - About Damn Time,,0.0828,0.0939,0.094,0.0828,0.0812,0.0813,0.0828,0.0848,0.0867,0.0896,0.1033,0.0967,0.0927,0.0939,0.094,2024-07-02
334,81,Jack Harlow - First Class,,0.0798,0.1055,0.1017,0.0798,0.079,0.084,0.0848,0.0826,0.0815,0.0789,0.0988,0.1056,0.1068,0.1055,0.1017,2024-07-02
335,82,Kenny Loggins - Danger Zone,,0.0798,0.0992,0.1002,0.0798,0.079,0.0773,0.0785,0.0763,0.0774,0.0782,0.0914,0.0934,0.0997,0.0992,0.1002,2024-07-02
336,83,BeyoncÃ© - ALIEN SUPERSTAR,,0.0798,0.093,0.0868,0.0798,0.0833,0.0853,0.0856,0.084,0.0846,0.0878,0.1006,0.1034,0.0955,0.093,0.0868,2024-07-02
337,84,Glass Animals - Heat Waves,,0.0779,0.0944,0.0959,0.0779,0.078,0.084,0.0848,0.084,0.0831,0.0836,0.0942,0.0978,0.0955,0.0944,0.0959,2024-07-02
338,85,Elvis Presley - Suspicious Minds,,0.0769,0.0771,0.0748,0.0769,0.0801,0.084,0.084,0.0876,0.0795,0.0819,0.0924,0.0889,0.0754,0.0771,0.0748,2024-07-02
339,86,Scotty McCreery - Damn Strait,,0.0769,0.0917,0.0892,0.0769,0.0748,0.0746,0.0756,0.0753,0.0758,0.0747,0.0861,0.0823,0.0897,0.0917,0.0892,2024-07-02
340,87,Shinedown - Daylight,,0.075,0.0,0.0,0.075,0.078,0.0691,0.0,0.0,0.0649,0.0658,0.067,0.0,0.0,0.0,0.0,2024-07-02
341,88,Latto - Big Energy,,0.075,0.0895,0.0858,0.075,0.0717,0.0718,0.0735,0.0758,0.0742,0.0741,0.0824,0.0889,0.0869,0.0895,0.0858,2024-07-02
342,89,Andrew McMahon In the Wilderness - Stars,,0.074,0.0,0.0,0.074,0.0737,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
343,90,Thomas Rhett - Half Of Me (feat. Riley Green),,0.074,0.0829,0.083,0.074,0.0737,0.08,0.0811,0.084,0.0841,0.0782,0.0806,0.0823,0.0812,0.0829,0.083,2024-07-02
344,91,Jelly Roll - Save Me,,0.074,0.0,0.0,0.074,0.0728,0.0555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
345,92,ROSALÃA - DESPECHÃ,,0.074,0.0851,0.0835,0.074,0.0748,0.0773,0.0773,0.0731,0.0742,0.0771,0.0924,0.0911,0.0841,0.0851,0.0835,2024-07-02
346,93,Parmalee - Take My Name,,0.071,0.078,0.0786,0.071,0.0706,0.0691,0.0669,0.0695,0.0659,0.0635,0.0,0.0,0.0754,0.078,0.0786,2024-07-02
347,94,CeCe Winans - Goodness of God (Live),,0.0691,0.0762,0.0719,0.0691,0.0696,0.0718,0.0726,0.069,0.0659,0.0688,0.0815,0.0823,0.0754,0.0762,0.0719,2024-07-02
348,95,"Zedd, Maren Morris & Grey - The Middle",,0.0691,0.0811,0.0781,0.0691,0.0717,0.0718,0.0697,0.0695,0.0685,0.0693,0.0869,0.0867,0.0841,0.0811,0.0781,2024-07-02
349,96,Ingrid Andress & Sam Hunt - Wishful Drinking,,0.0681,0.0,0.0,0.0681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
350,97,Evanescence - Bring Me to Life,,0.0671,0.0797,0.0791,0.0671,0.0696,0.0731,0.0726,0.0703,0.0737,0.0759,0.0887,0.0922,0.0812,0.0797,0.0791,2024-07-02
351,98,Chris Brown - Under the Influence,,0.0652,0.0,0.0,0.0652,0.0674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
352,99,The Weeknd - Blinding Lights,,0.0642,0.0,0.0,0.0642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
353,100,"David Guetta, Becky Hill & Ella Henderson - Crazy What Love Can Do",,0.0,0.0886,0.0868,0.0,0.0706,0.0773,0.0769,0.0731,0.0726,0.0771,0.0906,0.0956,0.0897,0.0886,0.0868,2024-07-02
354,---,Olivia Newton-John - Physical,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
355,---,Morgan Wallen - Sand In My Boots,,0.0,0.0775,0.0796,0.0,0.0,0.0,0.0697,0.074,0.0696,0.067,0.0752,0.0745,0.0,0.0775,0.0796,2024-07-02
356,---,Mandisa - Good Morning (feat. TobyMac),,0.0,0.0922,0.0974,0.0,0.0,0.0,0.0,0.0,0.0,0.0724,0.076,0.0845,0.0897,0.0922,0.0974,2024-07-02
357,---,Olivia Newton-John - I Honestly Love You,,0.0,0.0789,0.0811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0789,0.0811,2024-07-02
358,---,Ed Sheeran - Perfect,,0.0,0.0,0.0,0.0,0.0,0.0,0.0685,0.0636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
359,---,Olivia Newton-John - Xanadu (feat. Electric Light Orchestra),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
360,---,"Ronald Isley & The Isley Brothers - Make Me Say It Again, Girl (feat. BeyoncÃ©)",,0.0,0.0807,0.0801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0811,0.0797,0.0807,0.0801,2024-07-02
361,---,Dylan Scott - New Truck,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
362,---,Jordan Davis - Next Thing You Know,,0.0,0.0,0.0,0.0,0.0,0.0,0.0681,0.0718,0.0701,0.0724,0.076,0.0712,0.0626,0.0,0.0,2024-07-02
363,---,John Travolta & Olivia Newton-John - Summer Nights,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
364,---,Disclosure & RAYE - Waterfall,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
365,---,Olivia Newton-John - Magic,,0.0,0.0952,0.0959,0.0,0.0706,0.0759,0.076,0.075,0.0768,0.0765,0.0852,0.09,0.0983,0.0952,0.0959,2024-07-02
366,---,Giuseppe Ottaviani & Mila Josef - Fade Away,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
367,---,Journey - Don't Stop Believin',,0.0,0.0784,0.0753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784,0.0784,0.0753,2024-07-02
368,---,PSY - That That (prod. & feat. SUGA of BTS),,0.0,0.0927,0.0945,0.0,0.0,0.0,0.0,0.0,0.0,0.0647,0.0806,0.0845,0.0912,0.0927,0.0945,2024-07-02
369,---,Keala Settle - Feels So Good,,0.0,0.0851,0.0878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0797,0.0811,0.0841,0.0851,0.0878,2024-07-02
370,---,"Tyga, JhenÃ© Aiko & Pop Smoke - Sunshine",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
371,---,Rayelle - Be You (Latin Remix),,0.0,0.0829,0.0873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779,0.0778,0.0812,0.0829,0.0873,2024-07-02
372,---,Sofia Carson - I Hate the Way,,0.0,0.0886,0.0863,0.0,0.0,0.0,0.0735,0.0695,0.0712,0.0741,0.0906,0.0856,0.0927,0.0886,0.0863,2024-07-02
373,---,Olivia Newton-John - Let Me Be There,,0.0,0.0745,0.0781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0745,0.0781,2024-07-02
374,---,Nate Smith - Whiskey On You,,0.0,0.0,0.0,0.0,0.0,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
375,---,"Dimitri Vegas & Like Mike, Azteck & Hayley May - Heaven",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
376,---,Jordan Davis - Buy Dirt (feat. Luke Bryan),,0.0,0.0,0.0,0.0,0.0653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
377,---,Metallica - Enter Sandman,,0.0,0.0,0.0,0.0,0.0,0.0677,0.0685,0.0668,0.0696,0.0676,0.0697,0.0688,0.0,0.0,0.0,2024-07-02
378,---,Guns N' Roses - Sweet Child O' Mine,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
379,---,Adele - Easy On Me,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0723,0.0583,0.0,0.0,2024-07-02
380,---,Bryson Gray & Tyson James - Fbi Raid,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
