,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,DE,AU,JP,AT,BE,CA,CH,ES,FR,ID,IN,IT,MX,NL,RU,TH,TR,ZA,AE,BR,CO,DK,HK,IE,LU,MY,NO,NZ,PH,PL,SE,SG,TW,AR,CL,CR,CZ,EC,EE,EG,FI,GR,GT,HU,IL,KE,KZ,LB,LT,NG,PE,PT,RO,SA,SI,SK,UA,VN,DATE
296,97,+14,ç¨²èæµ©å¿ - åªè,17,97,,1538,0,0.026,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
297,98,-34,Bob Marley & The Wailers - Legend â The Best Of Bob Marley & The Wailers,428,3,(x3),1535,-704,1.324,37.0,185.0,62.0,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
298,99,-45,Coldplay - A Rush of Blood to the Head,323,8,,1527,-1017,2.85,,7.0,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
299,100,NEW,Nockis - gefÃ¼hlsecht,11,71,,1525,741,0.022,,,,,,1.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
300,101,+125,Marsha Ambrosius - CASABLANCO,3,74,,1525,484,0.006,31.0,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
301,102,-35,Various Artists - The Dome Summer 2024,25,45,,1508,-615,0.044,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
302,103,+5,Sakurazaka46 - Jigoujitoku special edition,6,40,,1508,-60,0.015,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
303,104,-2,Bruno Mars - Doo-Wops & Hooligans,3163,2,(x4),1497,-131,11.02,,,,,188.0,,,,,,,63.0,,,120.0,,,,,,27.0,,83.0,,23.0,,,68.0,,44.0,59.0,,,41.0,37.0,,40.0,,,,,89.0,,,,,,,,,,,90.0,,,,,,,,2024-07-01
304,105,+26,Skrillex - Bangarang,858,4,,1483,77,4.62,,,,121.0,,48.0,,,77.0,,,,,,,,48.0,,171.0,,,,,,,,31.0,,,23.0,,,,,,,70.0,,,,,,,,50.0,,,,,,,,,,51.0,,,,,,2024-07-01
305,106,+22,Various Artists - Now That's What I Call a Summer Party,4,104,,1479,57,0.39,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
306,107,+39,Various Artists - Fetenhits 80's Maxi Classics,23,107,,1479,138,0.075,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
307,108,+11,TOGENASHITOGEARI - Togeari,67,67,,1479,0,0.092,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
308,109,-22,Coldplay - Live 2012,295,2,(x7),1472,-414,3.745,,10.0,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,104.0,,,,,,,,,,,,,,,,,59.0,,,,,,,,2024-07-01
309,110,+80,Hozier - Unheard - EP,101,6,,1472,336,0.334,56.0,156.0,,72.0,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
310,111,+1,Jung Kook - GOLDEN,222,1,(x14),1465,-71,1.115,,,,,197.0,,,,,,,,,,,,,3.0,,,,,,,,,,58.0,,,27.0,,,,7.0,,,,,,,33.0,,,,,,,,,,,,,,,,,,20.0,2024-07-01
311,112,-41,Pierre Garnier - Chaque seconde,17,58,,1455,-626,0.038,,,,,,,,,10.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
312,113,+5,Various Artists - Fussball Sommerparty 2024,29,108,,1450,-29,0.042,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
313,114,+104,Various Artists - Just the Hits: 80s,68,103,,1450,388,0.32,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
314,115,+32,Mrs. Green Apple - Antenna,277,62,,1450,109,0.444,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
315,116,+5,Various Artists - Christmas Album,664,6,,1445,-25,2.237,,,,156.0,,,88.0,,,,,111.0,,127.0,,,,,,92.0,,,,,,,15.0,,,51.0,102.0,54.0,,53.0,,,,,32.0,,,,,37.0,,12.0,,,,,,,,40.0,56.0,,51.0,23.0,,,2024-07-01
316,117,+17,Muse - The 2nd Law,675,1,(x6),1443,46,4.105,,,,,,,66.0,,45.0,,125.0,,,80.0,,,87.0,,,,,,,,,,26.0,,53.0,,,121.0,,,,,,,,,46.0,,39.0,,,,,,,,,,,25.0,57.0,,,,,,2024-07-01
317,118,NEW,"Billie Eilish - WHEN WE ALL FALL ASLEEP, WHERE DO WE GO",1020,1,(x56),1440,741,7.457,,,,41.0,,88.0,,,,,86.0,,,,,,97.0,,,,,,,,77.0,,,,,,,64.0,,,,,,,,,,,,,,,,,35.0,,,,,,89.0,,,,33.0,86.0,2024-07-01
318,119,+32,Various Artists - 2014 GRAMMYÂ® Nominees,1022,3,(x3),1436,127,4.143,,,,,,,,,,,,31.0,25.0,,,,,,,,43.0,,59.0,,52.0,,,59.0,,,,,,,,,,,,,,84.0,,,,,,,,,,119.0,53.0,,,,,,,,2024-07-01
319,120,-7,Zach Bryan - Zach Bryan,204,11,,1431,-102,0.486,35.0,,,64.0,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
320,121,+14,Bernhard Brink - StÃ¤rker als die Ewigkeit,11,118,,1422,27,0.015,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
321,122,-25,George Michael - Ladies & Gentlemen: The Best of George Michael,948,13,,1415,-368,1.958,,173.0,,,,,78.0,,,,,,,106.0,,64.0,,,,,,,,94.0,,81.0,,,,,,17.0,,,,,87.0,,31.0,,36.0,108.0,,25.0,,11.0,,,17.0,,31.0,,,42.0,18.0,,31.0,16.0,,,2024-07-01
322,123,-16,Jason Mraz - Yes,1047,2,(x9),1412,-187,4.144,,,,,,,,,,,,41.0,,,,,,42.0,,,,90.0,,,15.0,,,56.0,,,37.0,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
323,124,-52,SANTA - RECOMMENCE-MOI,28,51,,1412,-653,0.06,,,,,,,,,11.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
324,125,NEW,The Beatles - 1,3332,1,(x7),1409,525,16.52,59.0,137.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
325,126,+14,K.I.Z - GÃ¶rlitzer Park,11,51,,1395,27,0.02,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
326,127,+109,Sheppard - Zora,9,78,,1395,393,0.017,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
327,128,+1,NewJeans - Supernatural - EP,11,101,,1395,-27,0.016,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
328,129,+54,NewJeans - NewJeans 1st EP 'New Jeans',336,2,(x1),1383,215,0.846,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,2024-07-01
329,130,+8,BLACKPINK - KILL THIS LOVE - EP,813,1,(x2),1379,1,2.432,,,,,,,,,,,,64.0,,,,,,10.0,,,,,,,76.0,,,18.0,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,2024-07-01
330,131,-46,NewJeans - NewJeans 2nd EP 'Get Up',95,3,(x3),1378,-529,0.424,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,2024-07-01
331,132,+20,Eminem - Curtain Call: The Hits,1105,15,,1372,80,2.913,,139.0,,21.0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
332,133,+16,Dua Lipa - Future Nostalgia,478,1,(x9),1368,53,2.115,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
333,134,+28,Bon Jovi - Greatest Hits: The Ultimate Collection,315,16,,1359,108,1.238,,194.0,84.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
334,135,+9,One Direction - Best Song Ever,549,8,,1353,4,2.977,,,,,,,,,,,,129.0,,,48.0,,,,,,42.0,,56.0,66.0,,84.0,,104.0,74.0,,70.0,,58.0,,,98.0,,,,33.0,,13.0,,,53.0,,,,,10.0,,,82.0,,,4.0,,,,,2024-07-01
335,136,-21,CeCe Winans - More Than This,28,37,,1351,-162,0.066,48.0,,,76.0,,,,161.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
336,137,+56,K.I.Z - Und der Anschlag auf die U8,11,68,,1341,216,0.017,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
337,138,-75,Gracie Abrams - The Secret of Us,12,4,,1339,-907,0.057,29.0,95.0,,,,,,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,2024-07-01
338,139,-53,Pink Floyd - The Dark Side of the Moon,1833,2,(x1),1333,-566,6.226,80.0,101.0,,,,,,45.0,,,,,,83.0,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
339,140,+18,"Various Artists - Fetenhits 80s Maxi Classics, Vol. 2",10,110,,1315,50,0.016,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
340,141,=,Spitz - Yasashii Spitz A Secret Session In Obihiro,14,113,,1315,-53,0.019,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
341,142,+43,Lainey Wilson - Bell Bottom Country,357,22,,1298,149,0.794,30.0,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
342,143,-87,Eagles - The Complete Greatest Hits,1299,8,,1295,-1120,4.185,,58.0,,138.0,,,,,,,,,49.0,,,,,,,,,,,,,72.0,,,,22.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
343,144,NEW,Red Hot Chili Peppers - Greatest Hits,1561,1,(x2),1293,763,4.717,154.0,,,38.0,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,117.0,,,,,114.0,,,,,,,,,,,,,,,,,,104.0,,,,,,2024-07-01
344,145,-53,Mark Knopfler & Dire Straits - The Best of Dire Straits & Mark Knopfler: Private Investigations,386,25,,1290,-526,1.353,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
345,146,-10,kessoku band - çµæãã³ã,153,98,,1290,-105,0.36,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
346,147,NEW,The Blues Brothers - The Blues Brothers,165,28,,1288,612,1.208,,,,17.0,,,,,,,,,,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
347,148,+15,BLACKPINK - SQUARE UP - EP,585,1,(x3),1270,20,2.39,,,,,,,,,,,,74.0,,,,,,9.0,,,,,,,74.0,,,27.0,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,2024-07-01
348,149,-10,Keane - Hopes and Fears,9,79,,1265,-103,0.722,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
349,150,-50,Die drei ??? - Folge 227: Melodie der Rache,41,45,,1265,-436,0.086,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
350,151,NEW,NewJeans - How Sweet - EP,18,8,,1265,317,0.076,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
351,152,-30,Zach Bryan - American Heartbreak,393,32,,1261,-191,0.909,19.0,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
352,153,-59,BABYMONSTER - BABYMONS7ER - EP,69,5,,1261,-549,0.175,,,,,67.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,2024-07-01
353,154,-30,Various Artists - Ballermann Hits 2024,43,54,,1241,-209,0.069,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
354,155,-5,haruka nakamura - Gekijyo anime look back original soundtrack,3,150,,1241,-74,0.005,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
355,156,-26,Adele - 19,1059,7,,1233,-182,6.027,,,,,,,100.0,,78.0,89.0,151.0,,,,,41.0,,,,,,,,,50.0,,,,78.0,63.0,,,87.0,,,,,,,,,,102.0,,,,,,,,,,,,,,,,,149.0,2024-07-01
356,157,NEW,The Beach Boys - The Very Best of the Beach Boys: Sounds of Summer,118,23,,1227,1165,0.337,117.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
357,158,+12,Taylor Swift - Red,2496,1,(x10),1224,-1,8.903,44.0,199.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,117.0,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,2024-07-01
358,159,-33,Lupe Fiasco - Samurai,4,56,,1217,-229,0.008,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
359,160,-7,Coldplay - Music of the Spheres,310,1,(x11),1217,-73,1.31,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
360,161,NEW,Herbert Groenemeyer - 4630 Bochum,22,65,,1217,359,0.038,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
361,162,+17,LINKIN PARK - The Hunting Party,374,2,(x4),1216,41,2.756,,,,,,82.0,,,93.0,,,,90.0,,,,47.0,153.0,,77.0,,,,,,,,70.0,,,,100.0,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,34.0,,2024-07-01
362,163,-18,Marc Anthony - 3.0,600,23,,1212,-137,3.861,,,,,,,,,,48.0,,,,,64.0,,,,,,,,6.0,,,,,,,,,,,,,19.0,9.0,1.0,,2.0,,,,,3.0,,,,,,,,5.0,,,,,,,,2024-07-01
363,164,+18,Various Artists - NOW That's What I Call Country Vol. 17,10,143,,1193,23,0.023,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
364,165,+8,Various Artists - Fetenhits - Neue Deutsche Welle - Best Of,24,144,,1193,-24,0.378,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
365,166,NEW,æ¤åææª - Carnival,19,76,,1193,1193,0.032,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
366,167,-2,One Direction - Up All Night,1078,7,,1186,-62,5.223,,,,125.0,,,,,,,,,,,55.0,,,,,,,106.0,95.0,86.0,,34.0,,,62.0,29.0,60.0,,,,,55.0,88.0,46.0,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
367,168,NEW,Eurythmics - Eurythmics: Greatest Hits,49,30,,1176,570,0.498,,,65.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
368,169,+12,G-DRAGON - Kwon Ji Yong - EP,225,1,(x1),1169,-2,1.977,,,,,,,,,,,,102.0,,,,,,63.0,,,,,,,18.0,,,19.0,,,122.0,,,59.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2024-07-01
369,170,+74,aespa - Armageddon - The 1st Album,21,1,(x1),1149,183,0.112,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,2024-07-01
370,171,-3,Meghan Trainor - Title,732,1,(x3),1148,-91,3.921,,,,134.0,,,,,,,,49.0,,,,,,,,58.0,,,,,,,,49.0,,33.0,98.0,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
371,172,NEW,Cold Chisel - The Best Of Cold Chisel: All For You,142,105,,1148,625,0.815,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
372,173,-18,Southern All Stars - Umi No Yeah,57,115,,1148,-142,0.781,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
373,174,-17,Morgan Wallen - One Thing At A Time,394,13,,1141,-139,1.057,27.0,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
374,175,+46,Slash - Orgy of the Damned,40,2,(x4),1137,87,0.224,169.0,,26.0,,,,,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
375,176,-28,Nickelback - Dark Horse,25,73,,1129,-193,1.596,64.0,,,,,,,147.0,91.0,,,,,,,,,,,,,,,,,,29.0,,41.0,,,,51.0,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,2024-07-01
376,177,-8,Madonna - The Immaculate Collection,487,22,,1126,-105,1.847,,73.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
377,178,+21,Various Artists - Just the Hits 90s,265,96,,1125,21,1.05,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
378,179,+62,"HOYO-MiX, Chevy & ã­ãã³ - INSIDE - EP",44,20,,1125,142,0.091,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
379,180,NEW,Luke Bryan - Mind Of A Country Boy,13,43,,1124,287,0.029,104.0,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
380,181,+62,Chris Stapleton - Higher,219,5,,1120,152,0.587,36.0,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
381,182,+9,Various Artists - #Love,274,52,,1116,-19,2.406,,,,,,,,,,,,55.0,,,,,,34.0,,,,,,,121.0,,,26.0,,,93.0,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,139.0,2024-07-01
382,183,-41,Journey - Greatest Hits,546,34,,1106,-255,2.395,43.0,,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,18.0,,,,,,,40.0,,,,,,,,70.0,,,,,,,,2024-07-01
383,184,+20,BLACKPINK - BORN PINK,360,1,(x7),1106,11,1.067,,,,,,,,,,,,93.0,,,,,,14.0,,,,,,,107.0,,,44.0,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2024-07-01
384,185,-71,Jelly Roll - Whitsitt Chapel,333,26,,1105,-415,0.67,26.0,,,,,,,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
385,186,+11,Various Artists - NOW That's What I Call Music 117,88,78,,1104,0,0.133,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
386,187,+43,Yves Murasca & Rosario Galati - DÃ©epalma Ibiza 2024,11,54,,1104,83,0.025,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
387,188,+15,Charlie Puth - Nine Track Mind,603,3,(x1),1094,-3,3.894,,,,,192.0,,,,,,,48.0,,,,,,60.0,,,,,,,78.0,,,60.0,,,39.0,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,2024-07-01
388,189,+31,Dua Lipa - Dua Lipa,412,3,(x1),1090,35,1.797,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,2024-07-01
389,190,-18,The Last Dinner Party - Prelude to Ecstasy,40,1,(x1),1083,-134,0.147,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
390,191,NEW,Anastacia - Our Songs,60,7,,1083,1083,0.17,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
391,192,+3,Various Artists - Running Hits,424,17,,1080,-33,3.842,,,,,,,,,,,,,,,,,,,,,,79.0,,,,,,,14.0,,131.0,22.0,63.0,,,107.0,27.0,,22.0,,21.0,,63.0,31.0,,9.0,,,,,36.0,,,,21.0,,7.0,17.0,,,2024-07-01
392,193,-128,Nirvana - Nevermind,2159,1,(x1),1064,-1131,7.531,135.0,,,49.0,117.0,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
393,194,NEW,Various Artists - 80s - 50 Hits by uDiscover,102,75,,1062,170,0.401,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
394,195,NEW,Mrs. Green Apple - Attitude,38,54,,1062,170,0.568,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
395,196,+9,George Ezra - Wanted On Voyage,551,15,,1061,-33,3.0,,,,153.0,,,,,81.0,,,,,,,,,,,22.0,,,,,,67.0,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
396,197,+17,Various Artists - Suicide Squad: The Album,389,1,(x16),1051,-14,2.919,,,,,,,,,,,,115.0,,,93.0,,49.0,,191.0,68.0,33.0,,,,103.0,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,63.0,,,,,,2024-07-01
397,198,NEW,John Farnham - John Farnham: Greatest Hits,279,95,,1047,893,1.113,,,,37.0,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
398,199,+10,Armin van Buuren - Intense,676,2,(x1),1043,-36,3.568,,,,,,,,,,,,110.0,69.0,,81.0,,74.0,,,,,,32.0,,,,,,,,,,,,,18.0,103.0,,,40.0,,,,,11.0,,,,,,,,80.0,,70.0,,,,,,2024-07-01
399,200,NEW,Dolly Parton - Ultimate Dolly Parton,17,76,,1041,591,0.183,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
400,1,+1,Coldplay - Ghost Stories,3775,1,(x133),12999,832,28.39,,20.0,171.0,24.0,,25.0,21.0,113.0,43.0,40.0,123.0,,6.0,37.0,23.0,33.0,6.0,57.0,57.0,17.0,9.0,6.0,8.0,15.0,15.0,24.0,9.0,9.0,25.0,17.0,14.0,8.0,31.0,7.0,17.0,6.0,7.0,3.0,6.0,9.0,11.0,3.0,38.0,24.0,4.0,21.0,8.0,9.0,14.0,2.0,7.0,26.0,9.0,10.0,10.0,15.0,9.0,7.0,6.0,,2024-07-02
401,2,-1,Imagine Dragons - LOOM,6,1,(x4),12878,-1018,0.087,1.0,2.0,4.0,2.0,,1.0,,1.0,1.0,1.0,1.0,,,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,37.0,,53.0,103.0,,4.0,,,,,,,20.0,,,,40.0,,48.0,21.0,,,2024-07-02
402,3,=,Adele - 25,3176,1,(x296),11328,423,33.118,,,163.0,95.0,,16.0,18.0,106.0,40.0,38.0,121.0,9.0,4.0,36.0,,31.0,30.0,16.0,49.0,15.0,8.0,,,7.0,10.0,11.0,7.0,7.0,18.0,4.0,2.0,3.0,15.0,5.0,13.0,,,,3.0,,6.0,2.0,12.0,15.0,,6.0,3.0,1.0,6.0,1.0,6.0,1.0,,,2.0,1.0,2.0,4.0,4.0,7.0,2024-07-02
403,4,=,Coldplay - A Head Full of Dreams,3162,1,(x6),10978,757,23.266,,22.0,177.0,121.0,,30.0,24.0,127.0,45.0,42.0,138.0,10.0,9.0,35.0,27.0,37.0,72.0,83.0,69.0,22.0,12.0,26.0,26.0,26.0,30.0,42.0,10.0,20.0,43.0,30.0,21.0,19.0,51.0,10.0,18.0,7.0,13.0,9.0,11.0,29.0,17.0,4.0,62.0,,15.0,24.0,7.0,16.0,15.0,9.0,11.0,57.0,8.0,13.0,7.0,25.0,11.0,8.0,10.0,,2024-07-02
404,5,=,Daft Punk - Random Access Memories,4118,1,(x122),10729,569,29.807,,,168.0,100.0,,21.0,19.0,111.0,41.0,46.0,106.0,29.0,20.0,,10.0,35.0,31.0,39.0,51.0,44.0,14.0,10.0,3.0,13.0,14.0,19.0,8.0,17.0,30.0,14.0,28.0,6.0,23.0,14.0,37.0,3.0,3.0,4.0,7.0,1.0,10.0,13.0,28.0,14.0,2.0,7.0,9.0,23.0,2.0,4.0,8.0,,3.0,12.0,5.0,6.0,5.0,6.0,3.0,185.0,2024-07-02
