,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,DE,AU,JP,AT,BE,CA,CH,ES,FR,ID,IN,IT,MX,NL,RU,TH,TR,ZA,AE,BR,CO,DK,HK,IE,LU,MY,NO,NZ,PH,PL,SE,SG,TW,AR,CL,CR,CZ,EC,EE,EG,FI,GR,GT,HU,IL,KE,KZ,LB,LT,NG,PE,PT,RO,SA,SI,SK,UA,VN,DATE
228,29,+1,Teddy Swims - I've Tried Everything But Therapy,287,2,(x3),4386,43,1.627,25.0,17.0,108.0,7.0,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
229,30,-2,Chappell Roan - The Rise and Fall of a Midwest Princess,62,28,,4371,-221,0.171,3.0,41.0,,10.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
230,31,+22,Benson Boone - Fireworks & Rollerblades,89,2,(x1),4277,1657,0.493,33.0,19.0,128.0,27.0,,,,14.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
231,32,-5,Michael Bubl̩ - To Be Loved,3320,1,(x16),4226,-480,11.577,,,,,,71.0,,,,77.0,,18.0,,,39.0,67.0,,75.0,,26.0,24.0,28.0,50.0,,97.0,57.0,,8.0,,62.0,32.0,45.0,,35.0,,11.0,7.0,,,,35.0,47.0,132.0,,30.0,26.0,,,,18.0,41.0,,28.0,20.0,45.0,,20.0,,,,2024-07-01
232,33,-2,David Guetta - Listen,2969,1,(x8),4130,-168,10.466,,,,,,47.0,65.0,,,67.0,158.0,65.0,29.0,128.0,77.0,,39.0,,126.0,39.0,16.0,24.0,33.0,,,,21.0,114.0,,,,78.0,,,,14.0,42.0,,45.0,31.0,,17.0,,,,30.0,21.0,,24.0,12.0,,,32.0,,52.0,12.0,,38.0,19.0,,2024-07-01
233,34,+3,Fleetwood Mac - Greatest Hits,2683,4,,4095,110,8.001,38.0,123.0,,11.0,,,54.0,25.0,,,,,,,,61.0,,,,40.0,,,,,,46.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,2024-07-01
234,35,-11,"Shaboozey - Where I've Been, Isn't Where I'm Going",33,5,,4020,-892,0.176,6.0,16.0,123.0,59.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
235,36,+11,Dua Lipa - Radical Optimism,58,1,(x4),3922,1106,0.405,109.0,6.0,46.0,30.0,124.0,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0,2024-07-01
236,37,-2,Whitney Houston - The Ultimate Collection,2703,2,(x4),3865,-163,9.541,,170.0,197.0,,,30.0,75.0,,52.0,84.0,,78.0,,84.0,,73.0,,150.0,,,44.0,76.0,,31.0,75.0,37.0,,25.0,21.0,36.0,50.0,39.0,55.0,,55.0,32.0,28.0,31.0,,,,58.0,79.0,,,33.0,,4.0,,,,4.0,85.0,,72.0,,,42.0,,,2024-07-01
237,38,+11,ABBA - ABBA Gold: Greatest Hits,1096,1,(x9),3673,944,7.134,57.0,47.0,,22.0,,3.0,,44.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
238,39,-6,"Jax - Dear Joe,",4,33,,3619,-533,0.015,11.0,,56.0,33.0,,,,16.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
239,40,-4,Various Artists - Bridgerton Season Three,47,1,(x1),3607,-400,0.327,22.0,55.0,113.0,9.0,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
240,41,-1,C̩line Dion - My Love - Essential Collection,1615,28,,3494,167,5.097,61.0,31.0,66.0,,,,,100.0,,,,,,,,,,107.0,,,28.0,,,,66.0,,,4.0,,,35.0,,,33.0,17.0,,,,,,,23.0,,,,,,20.0,51.0,14.0,,11.0,,,,14.0,,,,36.0,2024-07-01
241,42,+2,C̩line Dion - I AM: CELINE DION,12,14,,3492,501,0.055,98.0,52.0,12.0,,,2.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
242,43,-5,"Benj Pasek & Justin Paul, Hugh Jackman, Keala Settle, Zac Efron, Zendaya - The Greatest Showman",1196,13,,3468,-85,3.939,101.0,119.0,,117.0,,68.0,,,,,,20.0,,,110.0,,,,,38.0,29.0,,,,21.0,25.0,,15.0,,39.0,25.0,,,16.0,27.0,,,,,,,38.0,,,,,,,,,,,,,,,,,,50.0,2024-07-01
243,44,-5,P!nk - Greatest Hits...So Far,3625,4,,3251,-233,12.043,,57.0,,126.0,,60.0,,,,,,,,,,44.0,,,,81.0,,,,24.0,,26.0,9.0,,8.0,14.0,,47.0,37.0,,,,,,21.0,,45.0,,34.0,,,14.0,,,,,37.0,,96.0,,13.0,,12.0,26.0,,,2024-07-01
244,45,+98,Taylor Swift - Fearless,522,1,(x6),3042,1691,2.459,39.0,89.0,,,,,,17.0,,,92.0,,,,6.0,,,,,,,,,,,5.0,,89.0,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,2024-07-01
245,46,=,Various Artists - Furious 7,2546,1,(x37),2935,94,7.371,,,,,,65.0,,,98.0,,,25.0,40.0,,100.0,,,40.0,177.0,,31.0,,,,49.0,,,12.0,,,65.0,98.0,,57.0,21.0,,,,,,,62.0,,,,,,,19.0,27.0,,75.0,76.0,,36.0,,,,,128.0,2024-07-01
246,47,+44,Coldplay - X&Y,181,46,,2915,1099,0.581,121.0,12.0,92.0,24.0,,,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
247,48,=,AC/DC - Rock or Bust,1379,1,(x13),2822,84,5.537,,,200.0,,,36.0,105.0,,37.0,93.0,,,,118.0,,,45.0,,,,,83.0,,67.0,,,14.0,,31.0,,,33.0,24.0,,,46.0,,,33.0,,23.0,,48.0,,,28.0,,,,,,,66.0,,35.0,,33.0,36.0,9.0,,2024-07-01
248,49,+41,Avril Lavigne - Greatest Hits,12,1,(x1),2760,935,0.056,,8.0,131.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
249,50,-5,Muse - Drones,1208,1,(x32),2754,-144,5.499,,,,,,77.0,50.0,,40.0,123.0,144.0,101.0,,101.0,67.0,72.0,31.0,,,,,,92.0,,95.0,,22.0,91.0,,,,79.0,,,,80.0,,,,,,,104.0,,,,38.0,,,,,,,35.0,44.0,,,,7.0,,2024-07-01
250,51,-8,Wilco - Hot Sun Cool Shroud - EP,4,9,,2720,-327,0.02,24.0,,54.0,,,,6.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
251,52,-10,Lady Gaga & Bradley Cooper - A Star Is Born Soundtrack,1818,1,(x79),2679,-382,9.039,,,,146.0,,39.0,106.0,,46.0,,159.0,,,100.0,,,,,,53.0,,,,,26.0,49.0,23.0,103.0,,52.0,99.0,25.0,,,,,,,23.0,,38.0,,,33.0,,42.0,,,,,,,,23.0,31.0,,18.0,15.0,,32.0,2024-07-01
