,Artist,Streams,Daily,As lead,Solo,As feature
2508,Grupo Arriesgado,1296.9,1.104,1038.9,948.5,258.0
2509,CJ,1296.5,0.409,932.4,880.2,364.1
2510,Bill Evans,1295.6,0.422,970.0,846.7,325.6
2511,Murda Beatz,1294.7,0.228,77.1,,1217.6
2512,Hilltop Hoods,1294.6,0.44,1293.1,782.3,1.5
2513,Silent Sanctuary,1294.1,0.971,1290.6,1216.6,3.4
2514,Cochise,1293.7,0.414,1281.5,705.6,12.2
2515,Kizo,1292.7,0.634,1026.8,114.0,265.9
2516,S. Janaki,1292.6,1.342,292.3,159.9,1000.3
2517,Liberación,1291.8,1.024,1283.4,1207.0,8.3
2518,DIVINE,1291.7,0.765,955.4,348.8,336.3
2519,J-AX,1291.5,0.289,998.6,299.7,292.9
2520,Grupo Codiciado,1291.4,0.427,748.3,707.4,543.0
2521,Mozzy,1290.4,0.331,762.5,214.3,527.9
2522,Gus Dapperton,1289.6,0.199,457.6,443.9,832.0
2523,Dakota,1289.6,0.332,8.5,7.1,1281.1
2524,Chandler Moore,1289.6,1.256,47.7,43.4,1241.9
2525,Kid Yugi,1289.4,1.567,814.1,365.7,475.2
2526,Ilaiyaraaja,1289.0,1.279,1154.3,88.4,134.7
2527,Ennio Morricone,1288.6,0.476,1252.8,887.8,35.8
2528,Janis Joplin,1288.5,0.404,818.3,814.1,470.2
2529,Böhse Onkelz,1287.6,0.799,1287.6,1286.6,
2530,Giggs,1287.5,0.322,606.4,249.3,681.2
2531,Alabama,1287.3,0.708,1253.2,1243.6,34.1
2532,Dom Dolla,1287.1,1.325,948.8,514.4,338.3
2533,Night Skinny,1286.8,0.801,849.2,0.4,437.6
2534,Shirin David,1285.5,0.568,1019.1,817.6,266.4
2535,Mr.Kitty,1285.4,0.503,1281.6,1279.5,3.8
2536,Parkway Drive,1285.1,0.506,1285.1,1249.6,
2537,ItaloBrothers,1284.5,0.307,1259.0,1081.9,25.5
2538,Swizz Beatz,1284.3,0.538,89.5,44.2,1194.7
2539,Coyote Beatz,1282.9,0.796,10.8,,1272.1
2540,Edward Maya,1282.1,1.199,1213.6,100.4,68.6
2541,George Benson,1281.7,0.851,1099.6,1048.6,182.1
2542,Lou Reed,1281.6,0.345,1226.1,1201.0,55.5
2543,K/DA,1278.5,0.323,1278.5,,
2544,JoJo,1276.7,0.424,1173.1,997.9,103.6
2545,Hades66,1276.1,2.51,540.0,363.2,736.1
2546,Preme,1276.1,0.237,248.0,28.8,1028.2
2547,Pol Granch,1276.0,0.649,266.8,234.3,1009.2
2548,Wings,1276.0,0.503,750.9,750.3,525.1
2549,Andy Rivera,1275.8,0.693,525.6,134.7,750.2
2550,KeBlack,1275.3,1.876,977.5,751.9,297.8
2551,Porter Robinson,1274.6,0.358,1246.8,676.8,27.9
2552,Yalın,1274.6,1.27,1233.4,1191.4,41.2
2553,Trivium,1273.9,0.347,1273.5,1272.5,0.4
2554,TJ Monterde,1272.4,1.456,1262.3,1135.8,10.1
2555,Cream,1271.8,0.422,1271.8,1271.8,
2556,Sadhana Sargam,1271.5,1.095,443.8,117.1,827.7
2557,Leony,1270.6,0.679,389.4,299.5,881.2
2558,Sofiane,1270.3,0.32,591.6,421.7,678.7
2559,ERNEST,1270.0,1.66,600.8,192.6,669.2
2560,Rondodasosa,1269.9,0.454,531.1,123.5,738.8
2561,Perry Como,1269.3,0.167,1267.2,660.5,2.1
2562,Yellowcard,1269.1,0.526,1266.5,1256.3,2.5
2563,Passion Pit,1266.7,0.243,1159.7,1130.1,106.9
2564,DYSTINCT,1266.3,1.715,662.3,109.6,604.0
2565,Faith Hill,1266.3,0.46,816.6,792.3,449.7
2566,Nina Chuba,1265.7,1.311,1029.8,804.3,235.9
2567,Marco Mengoni,1265.6,0.382,1131.5,857.9,134.1
2568,Don McLean,1265.6,0.605,1265.6,1264.1,
2569,Forrest Frank,1265.5,3.883,1130.5,513.5,134.9
2570,Ken-Y,1264.7,0.928,188.9,53.5,1075.7
2571,Two Steps from Hell,1263.9,0.382,737.1,,526.8
2572,Yot Club,1262.8,0.51,1238.3,1228.9,24.5
2573,Armandinho,1262.7,0.638,1178.3,1131.8,84.4
2574,Broederliefde,1262.3,0.442,1098.8,573.6,163.5
2575,Haftbefehl,1261.6,0.547,868.2,203.8,393.4
2576,Exaltasamba,1261.1,0.617,1258.7,1220.5,2.4
2577,Vitão,1261.0,0.179,704.3,302.4,556.7
2578,A-Trak,1260.6,0.546,175.7,27.7,1085.0
2579,Eric Chou,1260.4,0.559,1232.9,1169.8,27.5
2580,Bugzy Malone,1260.0,0.266,803.4,513.5,456.6
2581,Haddaway,1259.5,0.855,1238.2,1184.6,21.4
2582,Whiskey Myers,1259.4,1.09,1259.4,1256.4,
2583,salvia palth,1258.9,0.866,1258.9,1258.9,
2584,The Lonely Island,1258.6,0.236,1142.1,332.5,116.5
2585,R. D. Burman,1257.9,1.378,108.3,38.9,1149.6
2586,Jeet Gannguli,1257.5,1.74,1009.7,25.0,247.8
2587,Raekwon,1257.4,0.401,307.4,45.8,950.0
2588,Kidd Voodoo,1256.8,2.152,750.8,86.6,506.0
2589,Muni Long,1255.9,0.789,781.8,722.5,474.2
2590,Cuisillos De Arturo Macias,1255.8,1.012,1240.0,1220.2,15.8
2591,Rico Nasty,1255.2,0.447,549.2,434.9,706.0
2592,Action Bronson,1254.8,0.361,873.5,412.5,381.3
2593,Andrew Lloyd Webber,1254.5,0.518,1178.7,129.3,75.8
2594,Sertab Erener,1252.5,1.158,1158.6,1109.3,93.8
2595,Kip Moore,1251.8,0.388,1251.8,1237.9,
2596,Parcels,1251.5,1.184,1183.1,1126.4,68.3
2597,Einár,1251.4,0.311,892.2,545.1,359.2
2598,Andmesh,1250.7,0.995,1242.8,1241.3,7.9
2599,Cup of Joe,1250.7,4.058,1250.7,982.1,
2600,TrapLaudo,1250.6,1.344,245.1,,1005.5
2601,Hoodie Allen,1250.5,0.214,989.8,435.6,260.7
2602,Curren$y,1249.7,0.347,832.6,212.0,417.0
2603,Adam Lambert,1249.4,0.27,1129.3,1091.2,120.1
2604,Noyz Narcos,1249.4,0.461,658.2,281.2,591.2
2605,Sturgill Simpson,1248.9,0.644,1178.2,1167.5,70.7
2606,Birdman,1248.8,0.579,465.4,6.4,783.5
2607,Kailash Kher,1248.4,1.577,834.0,203.0,414.4
2608,Simge,1248.3,1.661,1047.8,970.7,200.6
2609,Ramon Ayala Y Sus Bravos Del Norte,1247.8,0.85,1245.2,1245.0,2.6
2610,Héctor Lavoe,1247.1,0.745,702.1,482.3,545.0
2611,Foxes,1247.1,0.485,290.0,262.1,957.0
2612,Fourtwnty,1246.1,4.129,1246.1,1063.0,
2613,Chris Isaak,1245.7,0.958,1229.1,1224.0,16.6
2614,Ele A El Dominio,1245.3,1.063,553.8,418.4,691.5
2615,Loredana,1245.3,0.188,865.2,325.3,380.1
2616,Tai Verdes,1244.3,0.367,1244.3,1221.1,
2617,Banda Machos,1243.3,0.886,1237.2,1226.6,6.1
2618,Del The Funky Homosapien,1242.8,0.583,132.0,121.3,1110.8
2619,Tom Jones,1242.7,0.62,1228.5,978.8,14.2
2620,Mindless Self Indulgence,1242.1,1.088,1240.6,1238.9,1.6
2621,HRVY,1242.0,0.217,671.0,558.6,571.1
2622,La Factoria,1242.0,0.961,1235.6,184.2,6.4
2623,Izi,1242.0,0.337,698.8,424.1,543.2
2624,Laylow,1241.9,0.393,976.1,662.1,265.8
2625,Ginuwine,1241.8,0.532,809.5,787.2,432.4
2626,Yung Bleu,1241.5,0.427,980.8,294.6,260.7
2627,Andrés Cepeda,1241.4,0.612,1089.2,692.9,152.2
2628,Lulu Santos,1241.3,0.497,979.2,947.4,262.2
2629,Danny Elfman,1241.3,0.33,1190.6,931.3,50.7
2630,Kizzy,1240.8,1.763,3.6,,1237.1
2631,Deepend,1240.5,0.444,326.5,,914.0
2632,Pia Mia,1238.5,0.242,1085.3,319.0,153.2
2633,Bobby Helms,1238.1,0.043,1238.1,1236.7,
2634,Misfits,1238.1,0.486,1238.1,911.1,
2635,Irene Cara,1236.6,0.535,1210.2,1210.0,26.4
2636,El Jordan 23,1235.9,0.643,809.0,74.9,426.9
2637,Blue Öyster Cult,1235.8,0.494,1235.8,1235.4,
2638,Bagua Records,1235.7,0.487,,,1235.7
2639,Gorgon City,1235.0,0.399,964.3,157.0,270.8
2640,SG Lewis,1234.7,0.427,842.7,337.9,392.0
2641,Dizzee Rascal,1234.5,0.427,949.7,305.7,284.8
2642,Aphex Twin,1234.5,0.574,1233.9,1219.7,0.6
2643,Common,1234.4,0.329,700.7,416.0,533.7
2644,BJ The Chicago Kid,1232.7,0.257,337.8,186.5,894.9
2645,Bootsy Collins,1232.5,0.93,96.7,80.6,1135.8
2646,Mark Ambor,1231.2,1.184,1231.2,1231.2,
2647,Jazmine Sullivan,1230.7,0.399,1001.1,756.6,229.6
2648,Engenheiros Do Hawaii,1230.6,0.645,1230.6,1181.7,
2649,A Perfect Circle,1230.3,0.519,1230.3,1206.8,
2650,Payung Teduh,1228.6,0.912,1228.6,1108.7,
2651,ACRAZE,1228.5,0.427,1155.8,53.6,72.7
2652,Justice,1228.4,0.917,1144.6,827.9,83.8
2653,Veysel,1228.3,0.306,820.1,496.3,408.2
2654,Crush,1228.1,0.374,713.0,484.9,515.1
2655,Ari Lennox,1227.9,0.285,723.2,462.7,504.7
2656,Shweta Mohan,1227.9,1.26,79.6,11.3,1148.2
2657,Don Henley,1227.8,0.589,1093.4,1079.9,134.4
2658,Paky,1227.8,0.408,690.8,358.4,537.0
2659,Alabama Shakes,1227.4,0.325,1224.8,1224.8,2.5
2660,Saint Motel,1227.3,0.56,1227.3,1223.3,
2661,Mako,1227.3,0.33,391.9,230.5,835.4
2662,Achille Lauro,1227.1,1.086,980.6,359.4,246.5
2663,The Cinematic Orchestra,1227.0,0.46,1226.1,291.6,0.8
2664,João Bosco & Vinicius,1226.8,0.577,1037.9,578.4,188.9
2665,G-DRAGON,1226.6,1.52,985.7,629.8,240.9
2666,Nathan Evans,1226.2,0.579,1187.1,675.5,39.1
2667,Against The Current,1225.7,0.423,320.5,299.0,905.2
2668,Claptone,1225.4,0.396,853.1,113.7,372.3
2669,Annalisa,1224.4,0.721,774.9,635.8,449.5
2670,Rebelution,1224.0,0.462,1119.9,1022.6,104.0
2671,St. Vincent,1223.2,0.477,566.5,562.5,656.7
2672,Tash Sultana,1222.4,0.415,1110.1,1088.4,112.3
2673,Lucky Daye,1222.1,0.486,798.6,626.9,423.5
2674,Ben Harper,1221.8,0.441,734.8,600.5,487.0
2675,kent,1221.2,0.319,1221.2,1203.7,
2676,Erik Satie,1220.5,0.387,1207.3,1.1,13.3
2677,Timbiriche,1218.9,0.423,1216.6,1215.0,2.3
2678,Wolfine,1218.2,0.52,1217.3,638.3,0.9
2679,Randy Travis,1217.7,1.084,1201.7,1180.0,16.0
2680,FAST BOY,1217.2,0.622,189.2,25.4,1028.0
2681,Marcela Gandara,1217.1,0.746,999.5,739.2,217.6
2682,Teoman,1216.5,0.554,1141.9,1078.9,74.6
2683,Young M.A,1216.5,0.553,901.4,792.2,315.1
2684,Vybz Kartel,1215.4,0.765,882.9,639.5,332.5
2685,Mark Forster,1215.3,0.233,1082.8,789.7,132.6
2686,Architects,1214.7,0.805,1214.7,1168.5,
2687,Hivi!,1213.8,1.045,1148.7,1069.7,65.1
2688,Enigma Norteño,1213.6,0.749,895.2,504.4,318.4
2689,4 Non Blondes,1213.4,0.59,1213.4,1212.1,
2690,Kizz Daniel,1213.3,1.496,997.2,648.1,216.1
2691,Miel San Marcos,1213.3,0.763,1142.7,482.1,70.6
2692,Fatboy Slim,1212.4,0.561,1055.1,869.9,157.3
2693,Sam Fischer,1211.4,0.248,1167.6,813.6,43.8
2694,José Alfredo Jimenez,1211.3,0.507,1192.5,1023.7,18.9
2695,Parov Stelar,1211.1,0.344,1188.3,732.1,22.8
2696,Mohammed Rafi,1210.0,1.328,693.3,411.3,516.6
2697,iKON,1208.0,0.266,1208.0,1208.0,
2698,Clave Especial,1207.6,4.224,1200.4,470.7,7.2
2699,MC Paulin da Capital,1206.8,0.816,521.5,35.4,685.3
2700,The Avett Brothers,1206.7,0.243,1179.8,1179.8,26.9
2701,El-P,1205.4,0.252,107.6,31.9,1097.8
2702,LXNGVX,1204.5,1.199,1195.1,353.4,9.4
2703,Girls' Generation,1204.2,0.497,1204.2,1199.9,
2704,Vanessa Da Mata,1204.1,0.915,1079.1,572.4,125.1
2705,India Martinez,1204.1,0.385,705.0,348.3,499.1
2706,Fast & Furious: The Fast Saga,1204.0,0.406,0.4,0.4,1203.6
2707,Caloncho,1204.0,0.518,1043.3,899.3,160.7
2708,That Mexican OT,1204.0,1.259,1104.2,481.1,99.7
2709,Hunter Hayes,1203.9,0.174,1182.1,1100.2,21.8
2710,Los Cafres,1203.9,0.431,1190.3,1183.4,13.6
2711,Marc Seguí,1203.9,1.011,1169.6,100.4,34.2
2712,Iggy Pop,1203.3,0.398,1086.5,1032.9,116.8
2713,Nate Smith,1203.2,1.318,1082.3,1014.9,120.9
2714,Dubdogz,1202.5,0.471,579.7,99.2,622.8
2715,Huey Lewis & The News,1201.9,0.48,1201.4,1201.4,0.5
2716,Pretenders,1201.8,0.427,1200.8,1199.6,1.0
2717,Tream,1201.5,1.066,1073.4,11.1,128.2
2718,Keinemusik,1201.3,2.854,7.5,7.5,1193.7
2719,Mc Delux,1201.1,0.682,456.5,,744.6
2720,Jazeek,1201.0,2.011,1042.4,827.6,158.6
2721,Eliza Doolittle,1200.5,0.868,143.5,143.0,1057.0
2722,Los Prisioneros,1199.9,0.598,1199.9,1199.9,
2723,3OH!3,1199.9,0.532,1044.9,722.3,155.0
2724,HIRAIDAI,1197.7,0.843,1197.7,1182.2,
2725,The Isley Brothers,1197.7,0.442,1182.7,1120.3,15.0
2726,Academy of St. Martin in the Fields,1197.4,0.618,67.1,37.2,1130.3
2727,Treaty Oak Revival,1196.8,3.107,1182.4,1182.4,14.5
2728,Lil Jon & The East Side Boyz,1196.2,0.583,1080.9,39.5,115.3
2729,Big Thief,1195.3,1.234,1195.3,1195.3,
2730,Matt Maeson,1195.1,0.421,1133.8,1008.2,61.3
2731,Chaka Khan,1195.0,0.575,592.6,569.5,602.4
2732,Jeremy Soule,1194.9,0.546,1194.9,1181.3,
2733,André 3000,1194.8,0.695,44.4,44.4,1150.4
2734,CAKE,1194.2,0.517,1194.2,1194.2,
2735,The Chemical Brothers,1194.1,0.43,1190.2,1138.2,3.9
2736,COIN,1193.9,0.249,1180.0,1153.1,13.9
2737,Culture Club,1192.7,0.515,1179.5,1176.8,13.2
2738,BM,1192.7,0.526,609.5,200.5,583.2
2739,Nicole Scherzinger,1192.1,0.417,272.8,191.5,919.3
2740,Yung Joc,1191.9,0.575,245.9,23.7,945.9
2741,Lartiste,1191.7,0.359,976.6,478.7,215.2
2742,Brian Eno,1191.1,0.304,834.0,638.1,357.1
2743,Joey Montana,1190.7,0.228,1132.6,545.8,58.1
2744,Cherish,1190.2,0.381,186.1,52.6,1004.1
2745,Cher Lloyd,1190.2,0.286,774.5,629.4,415.7
2746,Bonn,1189.7,0.446,1.7,1.7,1188.0
2747,Eddie Vedder,1188.8,0.374,1132.4,1057.3,56.4
2748,Sawano Hiroyuki,1188.4,0.792,1181.6,1148.4,6.9
2749,Peter Gabriel,1188.0,0.522,1163.4,1140.0,24.6
2750,ArrDee,1187.6,0.366,582.8,433.1,604.8
2751,Denny Caknan,1187.4,1.456,1004.2,663.2,183.1
2752,Loyle Carner,1186.6,0.557,934.6,432.3,252.0
2753,Sam Haft,1185.5,0.618,50.8,32.9,1134.7
2754,Guyon Waton,1185.4,0.91,983.0,841.0,202.4
2755,Witt Lowry,1185.3,0.245,1185.3,473.4,
2756,Marcos Witt,1185.0,0.976,1076.4,846.1,108.6
2757,DigDat,1184.9,0.338,224.9,95.0,959.9
2758,Eraserheads,1184.4,0.609,1184.4,1184.2,
2759,Paul Kalkbrenner,1183.8,0.51,1112.3,854.2,71.5
2760,Emicida,1183.7,0.31,842.1,203.7,341.7
2761,Monica,1183.3,0.448,717.8,633.6,465.5
2762,Charlie Wilson,1183.2,0.557,231.3,196.1,951.9
2763,Matthew Koma,1183.2,0.053,41.8,32.7,1141.4
2764,Landon Cube,1183.1,0.153,136.3,52.1,1046.8
2765,Gloria Gaynor,1182.9,0.603,1178.9,1167.7,4.0
2766,Ol' Dirty Bastard,1182.7,0.451,533.5,320.6,649.2
2767,Konshens,1182.2,0.523,311.8,183.9,870.4
2768,Poison,1182.1,0.464,1182.1,1174.6,
2769,Aldo Trujillo,1181.3,0.254,971.4,768.7,209.9
2770,Kaash Paige,1181.3,0.757,873.6,787.4,307.7
2771,Hollow Coves,1181.2,0.699,1134.6,1111.5,46.6
2772,Atitude 67,1180.9,0.282,1045.8,907.6,135.1
2773,Neoni,1180.7,0.927,551.1,492.9,629.6
2774,DallasK,1180.3,0.593,73.0,29.4,1107.3
2775,Gojira,1178.9,0.588,1177.3,1162.4,1.7
2776,Massimo Pericolo,1178.4,0.317,768.7,55.5,409.7
2777,Glenn Fredly,1178.3,0.93,735.7,623.6,442.7
2778,WWE,1178.3,0.672,1178.3,3.6,
2779,Madame,1178.2,0.296,593.8,380.6,584.4
2780,Adie,1178.2,0.78,1159.6,766.3,18.6
2781,Vaali,1178.0,1.01,19.8,,1158.2
2782,iZaak,1178.0,1.548,450.4,25.0,727.5
2783,Ryan Riback,1177.7,0.239,19.6,15.3,1158.1
2784,YFN Lucci,1177.1,0.214,932.4,331.2,244.6
2785,Digga D,1177.1,0.319,892.4,593.1,284.7
2786,311,1176.4,0.597,1167.7,1164.0,8.7
2787,Los Pericos,1176.2,0.488,1165.0,779.0,11.2
2788,Paula Fernandes,1176.0,0.603,840.4,356.1,335.6
2789,Kubi Producent,1175.6,0.634,191.4,0.1,984.2
2790,The Band,1175.5,0.371,1083.4,955.6,92.1
2791,Solange,1174.9,0.337,1127.0,945.3,47.9
2792,Vengaboys,1174.5,0.662,1120.7,1116.2,53.9
2793,Puddle Of Mudd,1174.1,0.599,1174.1,1174.1,
2794,Young Igi,1173.8,0.596,548.7,205.5,625.1
2795,Christopher Cross,1173.1,0.896,1173.1,1173.1,
2796,Ronan Keating,1173.1,0.406,1149.3,1066.4,23.7
2797,Charly Black,1173.0,0.546,957.1,466.8,215.9
2798,TAEYANG,1172.2,0.696,1054.3,529.2,117.9
2799,VINAI,1171.6,0.526,682.4,47.4,489.2
2800,Soft Cell,1171.5,0.47,1171.5,1139.5,
2801,Reykon,1171.1,0.339,947.1,371.5,224.0
2802,Gurlez Akhtar,1170.0,1.069,4.2,,1165.8
2803,Julien Baker,1169.9,0.586,233.5,225.5,936.4
2804,TATOOL,1169.9,0.404,,,1169.9
2805,Mayday Parade,1169.5,0.314,1169.5,1083.2,
2806,dvsn,1169.5,0.151,1028.2,827.8,141.2
2807,Passion,1169.3,0.414,1143.4,10.2,25.9
2808,KEVVO,1168.8,0.416,436.6,58.2,732.2
2809,Yura Yunita,1168.7,0.89,1100.6,839.9,68.1
2810,Toosii,1168.5,0.503,1058.8,834.7,109.7
2811,Henrique & Diego,1168.4,0.349,1035.4,481.5,133.0
2812,sped up nightcore,1167.4,0.419,338.9,142.0,828.6
2813,Pendulum,1166.6,0.479,1068.0,779.2,98.6
2814,Ramirez,1166.5,0.645,802.7,386.1,363.8
2815,Frankie Valli & The Four Seasons,1166.1,0.472,1166.1,1166.1,
2816,Damien Rice,1165.9,0.183,1159.4,1155.0,6.5
2817,Sam Barber,1165.7,2.761,1160.7,913.6,5.0
2818,Luciano Pavarotti,1165.7,0.481,123.0,1.5,1042.6
2819,Stevie Ray Vaughan,1164.6,0.386,1122.8,1113.2,41.8
2820,Diego Verdaguer,1164.3,0.669,1062.7,976.7,101.6
2821,Echosmith,1164.1,0.215,1099.6,1077.6,64.5
2822,Starley,1164.1,0.236,1148.8,141.2,15.3
2823,Fenix Flexin,1163.2,1.036,63.1,46.1,1100.2
2824,Emilee,1162.6,0.253,82.0,82.0,1080.5
2825,Cassie,1162.4,1.077,1072.5,1009.6,89.9
2826,The Red Jumpsuit Apparatus,1161.6,0.496,1161.6,1161.6,
2827,Leiva,1161.6,0.836,1032.2,818.4,129.4
2828,347aidan,1161.2,0.32,831.2,794.1,330.0
2829,ZAAC,1159.6,0.202,435.8,49.3,723.8
2830,Callejeros,1159.2,0.558,1159.2,1159.2,
2831,Metronomy,1158.5,0.399,1141.9,1056.6,16.6
2832,El Malilla,1158.2,2.01,605.2,12.4,553.1
2833,Los Caligaris,1157.9,0.458,1050.2,839.8,107.7
2834,Buena Vista Social Club,1157.8,0.666,1157.8,1009.1,
2835,boy pablo,1157.6,0.204,1157.6,1115.2,
2836,Teyana Taylor,1157.5,0.292,967.0,609.1,190.4
2837,Ingrid Michaelson,1157.1,0.169,1146.3,897.9,10.8
2838,ARASHI,1156.8,0.825,1156.8,1150.3,
2839,Dj GM,1156.5,0.795,325.5,,831.0
2840,Bad Wolves,1156.2,0.562,1129.4,1037.9,26.7
2841,KC & The Sunshine Band,1155.9,0.748,1155.1,1153.8,0.8
2842,Lali,1155.7,1.344,610.9,435.3,544.9
2843,BNXN,1155.3,1.196,403.3,208.0,752.0
2844,El Trono de Mexico,1155.1,1.16,1142.2,1141.2,12.9
2845,Harrdy Sandhu,1155.0,0.765,966.7,262.9,188.3
2846,Elodie,1154.8,0.786,693.1,491.5,461.7
2847,Young Cister,1154.7,0.847,469.4,235.2,685.3
2848,Three 6 Mafia,1154.7,0.586,923.8,570.0,230.9
2849,Mc Lipi,1154.6,0.657,392.3,143.2,762.2
2850,Fred De Palma,1154.2,0.392,1109.4,311.9,44.8
2851,Rizky Febian,1154.0,0.481,1029.0,723.0,124.9
2852,Strawberry Guy,1153.8,1.01,1153.5,1153.5,0.3
2853,Black Veil Brides,1153.4,0.354,1153.4,1146.4,
2854,6arelyhuman,1153.3,0.816,645.3,162.4,508.0
2855,Norma Jean Martine,1152.9,0.608,5.6,4.9,1147.3
2856,Jamby El Favo,1151.7,0.766,557.8,360.0,593.9
2857,AronChupa,1151.1,0.282,1040.4,31.1,110.8
2858,Kotim,1150.5,0.302,54.7,0.1,1095.8
2859,Nancy Sinatra,1150.4,0.611,1127.4,1039.4,23.0
2860,SHINee,1150.3,0.558,1148.4,1147.6,1.9
2861,Rajat Nagpal,1150.1,1.185,422.4,,727.7
2862,Daniel Hope,1149.1,0.547,0.7,,1148.3
2863,Jota Quest,1148.7,0.526,1143.1,994.1,5.6
2864,Travis Tritt,1148.5,0.777,972.0,944.1,176.5
2865,Jessie Ware,1148.0,0.2,1044.2,971.9,103.7
2866,GoonRock,1147.7,0.523,,,1147.7
2867,Fidel Rueda,1147.4,0.738,1138.2,1130.5,9.2
2868,Tommee Profitt,1147.2,0.45,1139.8,16.3,7.4
2869,Ivy Queen,1146.9,0.483,706.0,680.5,440.9
2870,Peggy Gou,1146.9,0.681,1078.6,1015.8,68.2
2871,Paty Cantú,1145.7,0.451,967.6,671.9,178.1
2872,Band of Horses,1145.6,0.321,1140.0,1132.4,5.6
2873,Justine Skye,1145.1,0.43,1090.3,103.7,54.8
2874,Benjamin Ingrosso,1144.9,0.524,826.3,627.1,318.6
2875,Fort Minor,1144.7,0.318,1144.1,89.5,0.6
2876,DDG,1144.5,0.612,1084.6,349.3,59.8
2877,Mitchell Tenpenny,1144.0,0.381,935.2,897.7,208.8
2878,Michael Schulte,1144.0,0.336,1086.4,947.7,57.5
2879,Mufasa & Hypeman,1144.0,0.371,24.1,0.3,1119.9
2880,Danny Brown,1143.6,0.326,570.8,415.5,572.8
2881,Slimane,1143.6,0.415,522.1,451.8,621.5
2882,Ulices Chaidez,1143.2,0.32,1096.4,973.0,46.8
2883,Mumuzinho,1143.0,0.981,664.6,565.3,478.3
2884,Los Panchos,1142.3,0.676,888.0,751.6,254.3
2885,La T y La M,1141.8,1.273,802.7,541.8,339.0
2886,Divya Kumar,1141.7,1.535,186.8,12.9,955.0
2887,Gang Starr,1141.6,0.457,1141.6,845.2,
2888,Kenya Grace,1141.6,0.454,1118.4,1118.4,23.1
2889,Little Dragon,1141.2,0.28,649.7,595.3,491.5
2890,Ludwig Göransson,1141.2,0.742,948.1,827.8,193.1
2891,Die Antwoord,1140.3,0.281,1140.3,1032.5,
2892,Batuflex,1140.0,0.982,541.6,361.6,598.4
2893,RK,1139.8,0.269,904.1,703.1,235.7
2894,Mufasa,1139.7,0.361,0.5,,1139.2
2895,The Used,1139.7,0.432,991.3,975.6,148.4
2896,Kiana Ledé,1138.9,0.23,979.0,626.1,159.9
2897,Niro,1138.1,0.644,1021.8,691.3,116.3
2898,Javier Rosas Y Su Artillería Pesada,1138.0,0.67,756.8,452.2,381.2
2899,Vigiland,1137.8,0.095,1030.4,525.3,107.4
2900,Joan Jett & the Blackhearts,1137.3,0.569,1090.4,1084.7,47.0
2901,Alex & Sierra,1137.3,0.134,1131.3,1131.3,6.0
2902,Natalie Imbruglia,1137.0,0.581,1135.0,1134.2,2.0
2903,Leonardo,1136.6,0.739,808.1,261.5,328.5
2904,Snelle,1136.6,0.512,872.8,499.1,263.8
2905,Jet,1136.4,0.568,1121.0,1111.2,15.5
2906,MC Rick,1136.3,1.134,239.0,19.6,897.3
2907,Tony Boy,1136.3,1.554,668.9,475.9,467.4
2908,Remy Ma,1136.3,0.268,113.4,80.0,1022.9
2909,Nego do Borel,1135.5,0.247,343.3,73.6,792.2
2910,"Sergio Vega ""El Shaka""",1135.1,1.021,1132.1,1132.1,3.1
2911,Migrantes,1135.0,0.291,446.9,31.0,688.1
2912,Meat Loaf,1133.9,0.394,1132.8,1061.2,1.1
2913,Mýa,1133.2,0.439,281.6,207.7,851.6
2914,BAEKHYUN,1133.2,0.59,785.5,753.7,347.7
2915,Noah,1133.0,1.479,1117.6,1052.0,15.4
2916,Malú,1132.9,0.304,792.9,569.6,340.0
2917,Extremoduro,1131.5,0.569,1131.5,1124.0,
2918,Joni Mitchell,1131.3,0.5,999.7,997.4,131.6
2919,Anthony Santos,1131.1,0.55,427.5,383.8,703.6
2920,Bellakath,1129.9,1.097,932.1,299.7,197.8
2921,Pradeep Kumar,1129.6,1.05,125.8,21.1,1003.9
2922,Troy,1129.4,0.502,1124.3,3.5,5.1
2923,Artie 5ive,1129.1,1.703,597.2,212.0,531.9
2924,Zé Ramalho,1129.0,0.603,695.8,663.5,433.2
2925,Vitor Kley,1128.8,0.315,755.6,489.1,373.2
2926,Mario Winans,1127.6,0.575,821.9,240.5,305.7
2927,The Pointer Sisters,1127.4,0.535,1126.4,1126.4,1.1
2928,Thomas Newman,1127.2,0.319,1126.7,1066.9,0.4
2929,Dopamine,1126.0,0.305,4.5,0.6,1121.6
2930,Justin Hurwitz,1126.0,0.354,1126.0,1052.6,
2931,Alexandre Desplat,1125.7,0.274,1125.4,800.2,0.3
2932,Saba,1125.3,0.25,638.3,210.9,487.0
2933,Benjamin Blümchen,1125.3,0.602,1125.3,1124.6,
2934,Gilberto Gil,1124.1,0.569,732.1,617.6,391.9
2935,Reyli Barba,1123.7,0.405,1060.3,862.2,63.3
2936,Within Temptation,1123.5,0.438,1102.8,847.2,20.7
2937,Ñejo & Dalmata,1123.4,0.704,1014.0,557.4,109.4
2938,Andrew Underberg,1123.4,0.612,,,1123.4
2939,Todd Terry,1123.2,0.814,50.9,16.2,1072.3
2940,Nitro,1122.8,0.219,586.8,424.6,536.0
2941,Serdar Ortaç,1122.7,1.397,993.9,972.8,128.8
2942,Mark Morrison,1122.5,0.565,594.2,573.3,528.3
2943,Huncho Jack,1121.6,0.199,1121.6,,
2944,Neo Pistea,1121.6,0.638,271.2,22.1,850.4
