,Video,Views,Yesterday,Publication year
0,Daddy Yankee & Snow - Con Calma (Video Oficial),3015986294,491518,2019
1,"Jhay Cortez, J. Balvin, Bad Bunny - No Me Conoce (Remix)",2429645554,561020,2019
2,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin - China (Video Oficial)",2249496971,253376,2019
3,TONES AND I - DANCE MONKEY (OFFICIAL VIDEO),2236678341,202062,2019
4,"ROSALÍA, J Balvin - Con Altura (Official Video) ft. El Guincho",2232329932,250211,2019
5,BLACKPINK - 'Kill This Love' M/V,2103397255,418657,2019
6,BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv) (feat. Halsey)' Official MV,1856610000,225552,2019
7,"Shawn Mendes, Camila Cabello - Señorita",1804403713,567922,2019
8,Lehanga : Jass Manak (Official Video) Satti Dhillon - India's Most Viewed Song - Hit Punjabi Song,1790493206,221517,2019
9,"Maari 2 - Rowdy Baby (Video Song) | Dhanush, Sai Pallavi | Yuvan Shankar Raja | Balaji Mohan",1677636980,278269,2019
10,"Vaaste Song: Dhvani Bhanushali, Tanishk Bagchi | Nikhil D'Souza | Bhushan Kumar | Radhika R, Vinay S",1668402663,229504,2019
11,"Myke Towers, Farruko, Arcangel, Sech & Zion - Si Se Da Remix (Video Oficial)",1618557252,434032,2019
12,"Anuel AA, KAROL G - Secreto",1600971337,235113,2019
13,"KAROL G, Nicki Minaj - Tusa (Official Video)",1584220671,146405,2019
14,Ariana Grande - 7 rings (Official Video),1500234347,231584,2019
15,Lil Nas X - Old Town Road (Official Video) ft. Billy Ray Cyrus,1382514376,337797,2019
16,Billie Eilish - bad guy,1313652236,101755,2019
17,Paulo Londra - Tal Vez (Official Video),1287854825,301040,2019
18,"Tainy, Anuel AA, Ozuna - Adicto (Official Video)",1239636650,240048,2019
19,"Arcángel, Sech - Sigues Con Él (Video Oficial)",1227309831,422403,2019
20,BAD BUNNY - CALLAÍTA (Video Oficial),1213089179,244357,2019
21,FILHALL | Akshay Kumar Ft Nupur Sanon | BPraak | Jaani | Arvindr Khaira | Ammy Virk | DESI MELODIES,1169226258,113603,2019
22,"Full Song: KHAIRIYAT (BONUS TRACK) | CHHICHHORE | Sushant, Shraddha | Pritam, Amitabh B|Arijit Singh",1168364005,377931,2019
23,Maroon 5 - Memories (Official Video),1145818441,289265,2019
24,"Black Eyed Peas, J Balvin - RITMO (Bad Boys For Life) (Official Music Video)",1121491167,126231,2019
25,"Lyrical: Tum Hi Aana | Marjaavaan | Riteish D, Sidharth M, Tara S |Jubin Nautiyal,Payal Dev,Kunaal V",1096469563,586956,2019
26,8 Parche | Baani Sandhu | Gur Sidhu | Gurneet Dosanjh | Punjabi Song | Ishtar Punjabi #punjabisong,1055348463,484103,2019
27,Lewis Capaldi - Someone You Loved,1053689868,625935,2019
28,Daddy Yankee - Que Tire Pa' 'Lante (Video Oficial),1050923424,116489,2019
29,Soltera Remix - Lunay X Daddy Yankee X Bad Bunny ( Video Oficial ),1040012434,154571,2019
30,"#Video - #Rap Song - हैलो कौन - #Ritesh Pandey,Sneh Upadhya - Hello Koun - New Bhojpuri Song 2023",1016628876,51670,2019
31,"Dalex - Hola Remix ft. Lenny Tavárez, Chencho Corleone, Juhn ""El All Star"" (Video Lírico Oficial)",1016317687,510003,2019
32,"Full Song: O SAKI SAKI | Batla House | Nora Fatehi, Tanishk B,Neha K,Tulsi K, B Praak,Vishal-Shekhar",952041823,521886,2019
33,Maluma - 11 PM (Official Video),944416393,81078,2019
34,"Sam Smith, Normani - Dancing With A Stranger (Official Music Video)",928745412,231459,2019
35,Maluma - HP (Official Video),917509046,58533,2019
36,Dhurata Dora ft. Soolking - Zemër,910088476,176347,2019
37,Rauw Alejandro & Chencho Corleone - El Efecto (Video Oficial),889104746,430184,2019
38,"Los Ángeles Azules, Belinda, Lalo Ebratt - Amor A Primera Vista ft. Horacio Palencia",876433619,166190,2019
39,"Santa Fe Klan, Neto Peña, Yoss Bones - Debo Entender",865750981,232103,2019
40,Christian Nodal - De Los Besos Que Te Di (Video Oficial),864603067,191530,2019
