,Video,Views,Yesterday,Publication year
0,"El Chombo, Dancing Green Alien - Dame Tu Cosita feat. Cutty Ranks (Official Video) [Ultra Records]",5073881066,1054116,2018
1,Maroon 5 - Girls Like You ft. Cardi B (Official Music Video),3841497849,586720,2018
2,"Pedro Capó, Farruko - Calma (Remix - Official Video)",3013211570,467340,2018
3,"DJ Snake - Taki Taki ft. Selena Gomez, Ozuna, Cardi B (Official Music Video)",2694272484,363159,2018
4,"Post Malone, Swae Lee - Sunflower (Spider-Man: Into the Spider-Verse) (Official Video)",2689243185,704502,2018
5,"Casper, Nio García, Darell, Nicky Jam, Bad Bunny, Ozuna - Te Bote Remix (Video Oficial)",2522145994,385851,2018
6,BLACKPINK - ‘뚜두뚜두 (DDU-DU DDU-DU)’ M/V,2307487612,281617,2018
7,X (EQUIS) - Nicky Jam x J. Balvin | Video Oficial (Prod. Afro Bros & Jeon),2297922991,131186,2018
8,"Becky G, NATTI NATASHA - Sin Pijama (Official Video)",2274355540,166174,2018
9,Los Ángeles Azules - Nunca Es Suficiente ft. Natalia Lafourcade (Live),2253528566,454880,2018
10,"Billie Eilish, Khalid - lovely",2218262295,682180,2018
11,Daddy Yankee - Dura (Video Oficial),2037749583,209879,2018
12,Ozuna x Romeo Santos - El Farsante (Remix) (Video Oficial),1993508051,257707,2018
13,"Alex Rose ft. Cazzu, Lenny Tavarez, Lyanno & Rauw Alejandro - Toda (Remix) [Video Oficial]",1856333722,489514,2018
14,"Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video)",1777109009,259275,2018
15,Tyga - Taste (Official Video) ft. Offset,1686950065,333931,2018
16,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",1679731553,161819,2018
17,Drake - God's Plan,1636103425,184465,2018
18,BAD BUNNY x DRAKE - MÍA (Video Oficial),1601855153,224589,2018
19,"Laung Laachi Title Song | Mannat Noor | Ammy Virk, Neeru Bajwa,Amberdeep | Latest Punjabi Song 2018",1598803362,165185,2018
20,"Thalia, NATTI NATASHA - No Me Acuerdo (Official Video)",1582305924,155052,2018
21,6ix9ine - BEBE ft. Anuel AA,1578558570,170079,2018
22,Paulo Londra ft Lenny Tavarez - Nena Maldicion (Official Video),1463787220,356569,2018
23,"DILBAR Lyrical | Satyameva Jayate |John Abraham, Nora Fatehi,Tanishk B, Neha Kakkar,Dhvani, Ikka",1446380716,413673,2018
24,Paulo Londra - Adan y Eva (Official Video),1407654529,416434,2018
25,BTS (방탄소년단) 'IDOL' Official MV,1336955636,165148,2018
26,BTS (방탄소년단) 'FAKE LOVE' Official MV,1328384296,164077,2018
27,Marshmello ft. Bastille - Happier (Official Music Video),1316388763,224405,2018
28,Travis Scott - SICKO MODE ft. Drake,1315133698,263973,2018
29,XXXTENTACION - SAD!,1276163739,138822,2018
30,Bom Diggy Diggy (VIDEO) | Zack Knight | Jasmin Walia | Sonu Ke Titu Ki Sweety,1269427469,692336,2018
31,XXXTENTACION - MOONLIGHT (OFFICIAL MUSIC VIDEO),1267614588,340352,2018
32,"SIMMBA: Aankh Marey Lyrical | Ranveer Singh, Sara Ali Khan | Tanishk Bagchi, Mika Singh,Neha,Kumar S",1261943267,60468,2018
33,Ariana Grande - no tears left to cry (Official Video),1255157825,161901,2018
34,Marshmello & Anne-Marie - FRIENDS (Lyric Video) *OFFICIAL FRIENDZONE ANTHEM*,1242488706,191319,2018
35,"KAROL G, Anuel AA - Culpables (Official Video)",1240223944,130770,2018
36,Calum Scott - You Are The Reason (Official Video),1229803988,429782,2018
37,Dynoro & Gigi D’Agostino - In My Mind,1208691324,115086,2018
38,BAD BUNNY - AMORFODA (Video Oficial),1194057155,145403,2018
39,"David Guetta, Bebe Rexha & J Balvin - Say My Name (Official Video)",1142622388,213491,2018
40,Khalid - Better (Official Video),1135924872,354662,2018
41,Post Malone - Psycho (Official Music Video) ft. Ty Dolla $ign,1125150279,143395,2018
42,Official Video: Humnava Mere Song | Jubin Nautiyal | Manoj Muntashir | Rocky - Shiv | Bhushan Kumar,1113728462,456855,2018
43,Juice WRLD - Lucid Dreams (Official Music Video),1107566651,279112,2018
44,Vaina Loca - Ozuna x Manuel Turizo (Video Oficial),1104324209,36105,2018
45,"6ix9ine - FEFE ft. Nicki Minaj, Murda Beatz",1101352622,75797,2018
46,"Reik - Me Niego ft. Ozuna, Wisin",1100387698,59106,2018
47,Marshmello & Anne-Marie - FRIENDS (Music Video) *OFFICIAL FRIENDZONE ANTHEM*,1095623661,104088,2018
48,"Luis Ángel Gómez Jaramillo, Gael García Bernal - Un Poco Loco (De ""Coco"")",1065163214,249645,2018
49,Maroon 5 - Girls Like You ft. Cardi B (Volume 2) (Official Music Video),1064875861,95690,2018
50,Clean Bandit - Solo (feat. Demi Lovato) [Official Video],1060756077,88959,2018
51,Sebastián Yatra - No Hay Nadie Más (Official Video),1058381136,145625,2018
52,"Mau y Ricky, Manuel Turizo, Camilo - Desconocidos (Official Video)",1057168454,150190,2018
53,JENNIE - 'SOLO' M/V,1055532723,82074,2018
54,Leja Re | Dhvani Bhanushali | Tanishk Bagchi | Rashmi Virag |Radhika Rao| Vinay Sapru | Siddharth,1037507121,110780,2018
55,"SIMMBA: Aankh Marey | Ranveer Singh, Sara Ali Khan | Tanishk Bagchi,Mika Singh,Neha Kakkar, Kumar S",1028060969,144195,2018
56,Halsey - Without Me,1021973436,383762,2018
