,Video,Views,Yesterday,Publication year
0,OneRepublic - Counting Stars,4181405515,678139,2013
1,Katy Perry - Roar,4156684499,552406,2013
2,MAGIC! - Rude (Official Video),2573310081,290307,2013
3,John Legend - All of Me (Official Video),2535974665,483330,2013
4,Avicii - Wake Me Up (Official Video),2448799827,243761,2013
5,Romeo Santos - Propuesta Indecente (Official Video),2286410283,347233,2013
6,P!nk - Just Give Me A Reason ft. Nate Ruess,1928708869,344830,2013
7,Martin Garrix - Animals (Official Video),1802978296,187082,2013
8,Arctic Monkeys - Do I Wanna Know? (Official Video),1765433287,400855,2013
9,PSY - GENTLEMAN M/V,1681366395,158706,2013
10,Ellie Goulding - Burn (Official Video),1616295566,157280,2013
11,Prince Royce - Darte un Beso (Official Video),1549363059,171478,2013
12,"Pitbull, Ke$ha - Timber (featuring Ke$ha - Official Video)",1548171216,118820,2013
13,Eminem - Rap God (Explicit),1506819964,175283,2013
14,Bruno Mars - When I Was Your Man (Official Music Video),1476997299,212067,2013
15,CantaJuego - El Baile del Gorila,1368009485,399067,2013
16,Naughty Boy - La la la ft. Sam Smith (Official Video),1357106059,142822,2013
17,Justin Timberlake - Mirrors (Official Video),1347753086,318688,2013
18,Indila - Dernière Danse (Clip Officiel),1294659693,359384,2013
19,Marc Anthony - Vivir Mi Vida (Official Video),1272124826,110488,2013
20,"David Guetta - Play Hard ft. Ne-Yo, Akon (Official Video)",1236227357,114912,2013
21,Miley Cyrus - Wrecking Ball (Official Video),1221206151,35422,2013
22,Imagine Dragons - Demons (Official Music Video),1217330346,162983,2013
23,Ylvis - The Fox (What Does The Fox Say?) [Official music video HD],1176515653,45549,2013
24,Rihanna - Stay ft. Mikky Ekko,1170311429,142244,2013
25,Toto - Africa (Official HD Video),1140026381,377155,2013
26,Pharrell Williams - Happy (Official Music Video),1139355642,11948,2013
27,MACKLEMORE & RYAN LEWIS - CAN'T HOLD US FEAT. RAY DALTON (OFFICIAL MUSIC VIDEO),1130218950,133608,2013
28,Stromae - papaoutai (Official Video),1106533175,172816,2013
29,John Newman - Love Me Again,1104949848,163448,2013
30,One Direction - Story of My Life,1047837236,77724,2013
31,"Mike WiLL Made-It - 23 (Explicit) ft. Miley Cyrus, Wiz Khalifa, Juicy J",1008123911,46478,2013
32,Milky Chance - Stolen Dance (Official Video) [HD Version],1004191491,181932,2013
33,Miley Cyrus - We Can't Stop (Official Video),997847878,32598,2013
34,Eminem ft. Rihanna - The Monster (Explicit) [Official Video],982985060,151001,2013
35,Lorde - Royals (US Version),981027584,67737,2013
36,Banda Los Recoditos - Mi Último Deseo (Video Oficial),978086471,242492,2013
37,Imran Khan - Satisfya (Official Music Video),966602498,126650,2013
38,"Robin Thicke - Blurred Lines ft. T.I., Pharrell",943255514,128078,2013
39,"Disney's Frozen ""Let It Go"" Sequence Performed by Idina Menzel",900597837,34938,2013
40,The Neighbourhood - Sweater Weather (Official Video),894679455,205199,2013
41,Pablo Alboran - Donde Está El Amor ft. Jesse & Joy (Videoclip oficial),884182310,221694,2013
