,Video,Views,Yesterday,Publication year
0,Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video],3328583667,648565,2016
1,The Chainsmokers - Closer (Lyric) ft. Halsey,3247753467,431142,2016
2,Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie) [Official Video],3078511594,328706,2016
3,Shakira - Chantaje (Official Video) ft. Maluma,3065355800,317473,2016
4,Fifth Harmony - Work from Home (Official Video) ft. Ty Dolla $ign,2974801567,276836,2016
5,"Calvin Harris, Rihanna - This Is What You Came For (Official Video)",2865136949,231320,2016
6,Marshmello - Alone (Official Music Video),2619569977,235616,2016
7,The Weeknd - Starboy ft. Daft Punk (Official Video),2604400280,493376,2016
8,Shawn Mendes - Treat You Better,2535087070,601730,2016
9,Ariana Grande ft. Nicki Minaj - Side To Side (Official Video) ft. Nicki Minaj,2327035889,312248,2016
10,twenty one pilots: Heathens (from Suicide Squad: The Album) [OFFICIAL VIDEO],2259114976,395463,2016
11,The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya,2217027225,367976,2016
12,Coldplay - Hymn For The Weekend (Official Video),2156914476,340658,2016
13,Rag'n'Bone Man - Human (Official Video),2044688227,572207,2016
14,Danny Ocean - Me Rehúso (Official Audio),1965289926,357536,2016
15,Ricky Martin - Vente Pa' Ca (Official Video) ft. Maluma,1948922322,102044,2016
16,Sia - Cheap Thrills (Official Lyric Video) ft. Sean Paul,1938598684,121372,2016
17,Chino y Nacho - Andas En Mi Cabeza ft. Daddy Yankee (Video Oficial),1889357757,204487,2016
18,"Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"") (Official Video)",1872222043,304866,2016
19,CNCO - Reggaetón Lento (Bailemos),1870431254,184334,2016
20,BLACKPINK - '붐바야 (BOOMBAYAH)' M/V,1790366718,265013,2016
21,"Carlos Vives, Shakira - La Bicicleta",1757754629,120728,2016
22,Dwayne Johnson - You're Welcome (from Moana/Official Video),1754671024,266360,2016
23,James Arthur - Say You Won't Let Go,1748010411,329561,2016
24,Daddy Yankee - Shaky Shaky (Video Oficial),1744536771,117437,2016
25,Mike Posner - I Took A Pill In Ibiza (Seeb Remix) (Explicit),1739908836,165694,2016
26,Bruno Mars - 24K Magic (Official Music Video),1729264211,194144,2016
