,Video,Views,Yesterday,Publication year
0,Future - Life Is Good (Official Music Video) ft. Drake,2219401160,121825,2020
1,BTS (방탄소년단) 'Dynamite' Official MV,1963186993,354088,2020
2,BLACKPINK - 'How You Like That' DANCE PERFORMANCE VIDEO,1852776597,511839,2020
3,52 GAJ KA DAMAN | PRANJAL DAHIYA | AMAN JAJI | RENUKA PANWAR | MUKESH JAJI | SAHIL SANDHU,1703840413,209450,2020
4,BAD BUNNY x JHAY CORTEZ - DÁKITI (Video Oficial),1599721274,466510,2020
5,KAROL G - BICHOTA (Official Video),1408109427,199095,2020
6,BLACKPINK - 'How You Like That' M/V,1331214442,140552,2020
7,Maluma - Hawái (Official Video),1154753293,179114,2020
8,Chatak Matak (Official Video) | Sapna Choudhary | Renuka Panwar | New Haryanvi Songs Haryanavi 2023,1128091590,118344,2020
9,"Tainy, J. Balvin - Agua (Music From ""Sponge On The Run"" Movie)",1054157826,140123,2020
10,Badshah – Genda Phool | Jacqueline Fernandez | Payal Dev | Hit Anthem of the Year 2021,1030855052,131365,2020
11,Jay Wheeler - La Curiosidad ft. Myke Towers (Official Video),1010394653,302372,2020
12,Titliaan | Harrdy Sandhu | Sargun Mehta | Afsana Khan | Jaani | Avvy Sra | Arvindr Khaira,981407364,133955,2020
13,Dua Lipa - Levitating Featuring DaBaby (Official Music Video),968330899,451018,2020
14,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,963321964,147835,2020
15,Camilo - Vida de Rico (Official Video),944441434,161582,2020
16,The Weeknd - Blinding Lights (Official Video),939380107,307139,2020
17,"COCO COLA (Full Song) | Ruchika Jangid, Kay D | New Haryanvi Songs Haryanavi 2020 | Nav Haryanvi",935342760,62402,2020
18,Rauw Alejandro & Camilo - Tattoo Remix (Video Oficial),928556501,191943,2020
19,Myke Towers x @JuhnTV - BANDIDO (Video Oficial),925804635,219908,2020
20,ButtaBomma Video Song (4K) (Telugu) | #AlaVaikunthapurramuloo | Allu Arjun | Thaman S | Armaan Malik,915000024,66310,2020
21,6IX9INE- GOOBA (Official Music Video),904462336,67306,2020
22,"Christian Nodal, Ángela Aguilar - Dime Cómo Quieres (Video Oficial)",898138246,180521,2020
23,Namo Namo - Lyrical | Kedarnath | Sushant Rajput | Sara Ali Khan | Amit Trivedi | Amitabh B,857112577,543929,2020
24,"Black Eyed Peas, Shakira - GIRL LIKE ME (Official Music Video)",843528175,211720,2020
25,Justin Bieber - Intentions (Official Video (Short Version)) ft. Quavo,823686684,287632,2020
26,Justin Bieber - Yummy (Official Video),814646254,52147,2020
27,BLACKPINK - 'Lovesick Girls' M/V,810617702,136981,2020
28,Glass Animals - Heat Waves (Official Video),798529975,418818,2020
29,Eminem - Godzilla ft. Juice WRLD (Official Music Video),747922660,141585,2020
30,"Full Song: Muqabla | Street Dancer 3D |A.R. Rahman, Prabhudeva, Varun D, Shraddha K, Tanishk B",742421023,140131,2020
31,Ozuna x Karol G x Myke Towers - Caramelo Remix (Video Oficial),736586521,71768,2020
32,"Ramuloo Ramulaa Full Video | Allu Arjun, Pooja Hegde | Ala Vaikunthapurramuloo | Trivikram | Thaman",735244149,99745,2020
33,Naach Meri Rani: Guru Randhawa Feat. Nora Fatehi | Tanishk Bagchi | Nikhita Gandhi | Bhushan Kumar,728194357,65605,2020
34,Roddy Ricch - The Box [Official Music Video],690594018,275907,2020
35,Wish - Diler Kharkiya Ft. Ginni Kapoor | New Song 2020 | Haryanvi songs | Ha Kar De Meri Moto Gaana,680127542,75591,2020
36,"Taaron Ke Shehar Song: Neha Kakkar, Sunny Kaushal | Jubin Nautiyal,Jaani | Bhushan Kumar | Arvindr K",665185589,84694,2020
37,حسين الجسمي - بالبنط العريض (حصرياً) | 2020,658439499,56275,2020
38,Laundiya London Se Layenge | लवंडिया लंदन से लाएँगे | #Ritesh Pandey | - @WorldwideRecordsBhojpuri,654410779,88737,2020
39,Hungria - Amor e Fé (Official Music Video) #CheiroDoMato,653896842,221235,2020
40,Sumit Goswami - Feelings | KHATRI | Deepesh Goyal | Haryanvi Song 2020,653686463,74513,2020
41,Ariana Grande - positions (official video),647455070,154914,2020
42,"Full Video :Illegal Weapon 2.0|Street Dancer 3D |Varun D,Shraddha K,Nora|Tanishk B,Jasmine S,Garry S",645575610,247127,2020
43,BTS (방탄소년단) 'ON' Kinetic Manifesto Film : Come Prima,644951057,104117,2020
44,Dua Lipa - Break My Heart (Official Video),640523012,119527,2020
45,BAD BUNNY - YO PERREO SOLA | YHLQMDLG (Video Oficial),631857207,42172,2020
46,Grupo Firme - Carin Leon - El Toxico - (Video Oficial),629716187,119903,2020
47,"Trueno, Nicki Nicole, Bizarrap - MAMICHULA",628773120,203930,2020
48,"KAROL G - Ay, DiOs Mío! (Official Video)",607940140,51370,2020
49,EMIWAY - FIRSE MACHAYENGE (OFFICIAL MUSIC VIDEO),607218817,66600,2020
50,Marília Mendonça & Maiara e Maraisa - Coração Bandido (Official Music Video),599887911,181836,2020
51,"Idina Menzel, Evan Rachel Wood - Show Yourself (From ""Frozen 2""/ Sing-Along)",593112086,159548,2020
52,Ozuna x Camilo - Despeinada (Video Oficial),591761243,58076,2020
53,"Where You Are (From ""Moana""/Sing-Along)",591707148,324827,2020
54,King - Tu Aake Dekhle | The Carnival | The Last Ride | Prod. by Shahbeatz | Latest Hit Songs 2020,586117922,177704,2020
55,"Teri Aankhon Mein Song: Divya K | Darshan R, Neha K | Pearl V Manan B | Radhika, Vinay | Bhushan K",583665788,134279,2020
56,Rauw Alejandro x Anuel AA - Reloj (Video Oficial),582667217,107241,2020
57,MOUH MILANO - Machafouhach (Official Music Video) | موح ميلانو - ماشافوهاش,581748262,94058,2020
58,"Camilo, Evaluna Montaner - Por Primera Vez (Official Video)",577296452,88553,2020
59,"Diego & Victor Hugo, Bruno & Marrone - Facas (Ao Vivo)",573036791,99786,2020
60,BTS (방탄소년단) 'Life Goes On' Official MV,569400386,77692,2020
61,Doja Cat - Say So (Official Video),563239266,164368,2020
62,"ITZY ""WANNABE"" M/V @ITZY",560888401,63985,2020
63,"Pop Smoke - For The Night (Audio) ft. Lil Baby, DaBaby",559478214,172171,2020
64,CKay - Love Nwantiti Remix ft. Joeboy & Kuami Eugene [Ah Ah Ah] [Official Music Video],557833395,189364,2020
65,Camilo - Favorito (Official Video),557696885,87925,2020
66,"B Praak: Dil Tod Ke Official Song | Rochak Kohli , Manoj M |Abhishek S, Kaashish V | Bhushan Kumar",557665500,13500,2020
67,BTS (방탄소년단) 'Black Swan' Official MV,557512149,118826,2020
