,Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total,Region
232,Taylor Swift - Cruel Summer,63,,36,,36296,1811422,Slovakia
233,José Feliciano - Feliz Navidad,48,3.0,8,,118211,1811355,Slovakia
234,Gleb - PA PA,79,2.0,8,,56805,1810410,Slovakia
235,Rema - Calm Down,62,,20,,41494,1807752,Slovakia
236,OneRepublic - Counting Stars,175,13.0,3,(x2),28498,1786102,Slovakia
237,Oliver Tree - Miss You,48,7.0,4,,75378,1783273,Slovakia
238,Separ - 7DIGITS,24,2.0,9,,205980,1781161,Slovakia
239,Calin - Vítej mezi náma,26,5.0,4,,114372,1774971,Slovakia
240,Sevdaliza - Alibi,38,7.0,4,,111101,1764904,Slovakia
241,Ed Sheeran - Beautiful People,66,18.0,2,(x7),67011,1760974,Slovakia
242,Saul - Na Očiach Vyryté,20,10.0,2,(x4),165679,1759230,Slovakia
243,Separ - Čo Sa Dá,74,2.0,8,,65626,1744896,Slovakia
244,BL3SS - Kisses,45,,39,,45803,1742813,Slovakia
245,Separ - Zasvoe,56,7.0,1,(x2),126199,1738598,Slovakia
246,French Montana - Unforgettable,113,,11,,28575,1735832,Slovakia
247,Dynoro - In My Mind,87,20.0,1,(x8),55620,1711065,Slovakia
248,Ed Sheeran - I Don't Care,69,16.0,1,(x3),62180,1709156,Slovakia
249,Lil Nas X - THATS WHAT I WANT,61,,12,,54820,1705062,Slovakia
250,Separ - Tras tou,10,6.0,5,,286623,1652648,Slovakia
251,ATB - Your Love (9PM),73,1.0,10,,40681,1651570,Slovakia
252,Eminem - Houdini,30,3.0,6,,143599,1648207,Slovakia
253,The Kid LAROI - NIGHTS LIKE THIS,44,,34,,48626,1648088,Slovakia
254,Horkýže Slíže - Silny refren,85,,81,,26588,1646245,Slovakia
255,MEDUZA - Lose Control,92,,13,,33569,1643658,Slovakia
256,I.M.T. Smile - Najkrajšie Vianoce,37,3.0,7,,153670,1637261,Slovakia
257,Charli xcx - Guess featuring billie eilish,42,1.0,10,,87720,1633285,Slovakia
258,Justin Bieber - Peaches,44,11.0,1,(x1),105091,1632982,Slovakia
259,Yzomandias - až bude hořet,53,1.0,7,,96763,1632902,Slovakia
260,Frayer Flexking - IBA NA JEDEN,49,,27,,46411,1629622,Slovakia
261,Viktor Sheen - Virtuální drogy,87,1.0,9,,58955,1629529,Slovakia
262,Nik Tendo - 13. komnata,65,4.0,5,,83102,1621187,Slovakia
263,Sara Rikas - Talk2me,8,7.0,1,(x3),300271,1620757,Slovakia
264,Ofenbach - Wasted Love,67,,12,,47682,1619431,Slovakia
265,Dua Lipa - Houdini,43,,16,,56045,1613124,Slovakia
266,Lithe - Fall Back,32,5.0,4,,120490,1606895,Slovakia
267,Metro Boomin - Too Many Nights,67,,49,,36772,1602774,Slovakia
268,Tiësto - 10:35,64,,23,,39188,1601682,Slovakia
269,"Beach Weather - Sex, Drugs, Etc.",71,,25,,34173,1601611,Slovakia
270,Adam Port - Move,43,,17,,66075,1600880,Slovakia
271,OneRepublic - Run,73,,18,,36304,1592226,Slovakia
272,Major Lazer - Lean On,162,29.0,1,(x15),30787,1588801,Slovakia
273,Kelly Clarkson - Underneath the Tree,40,1.0,10,,105110,1575301,Slovakia
274,Kontrafakt - J Lo,20,13.0,1,(x8),215831,1573664,Slovakia
275,MEDUZA - Piece Of Your Heart,75,13.0,3,(x2),44522,1571231,Slovakia
276,The Chainsmokers - Something Just Like This,118,14.0,2,(x1),36264,1570125,Slovakia
277,Doja Cat - Woman,57,2.0,10,,51546,1557933,Slovakia
278,Kali - Kým Ťa Mám,73,,25,,32595,1555075,Slovakia
279,Alok - LET'S GET FKD UP,39,,15,,56709,1554208,Slovakia
280,Gleb - feRRa,40,1.0,8,,88923,1552412,Slovakia
281,Rytmus - Cigánsky sen,69,,73,,31829,1552400,Slovakia
282,Ava Max - Sweet but Psycho,99,15.0,5,,30733,1546888,Slovakia
283,Central Cee - Doja,60,,12,,42107,1545748,Slovakia
284,The Weeknd - Die For You,80,,47,,30980,1535690,Slovakia
285,Gleb - Audiokniha,132,1.0,9,,28664,1530446,Slovakia
286,Alan Murin - Domov,39,,35,,46910,1528114,Slovakia
287,Hard Rico - KICKIN’ DOORS,44,,25,,66606,1524881,Slovakia
288,GAYLE - abcdefu,44,11.0,5,,65026,1515230,Slovakia
289,Michael Bublé - Holly Jolly Christmas,47,,14,,88159,1506412,Slovakia
290,Lil Nas X - Old Town Road - Remix,67,21.0,2,(x2),53284,1504852,Slovakia
291,Post Malone - Better Now,99,8.0,1,(x2),40797,1501740,Slovakia
292,V - Love Me Again,39,1.0,10,,77780,1494790,Slovakia
293,Maroon 5 - Memories,63,7.0,4,,47761,1492392,Slovakia
294,Marshmello - Happier,96,7.0,6,,30630,1486661,Slovakia
295,Yzomandias - KSN,27,5.0,6,,83494,1481638,Slovakia
296,Swedish House Mafia - Moth To A Flame,68,,13,,52043,1479276,Slovakia
297,Gleb - Gauč Storytelling,103,5.0,4,,50604,1476755,Slovakia
298,Viktor Sheen - Pátky,30,2.0,7,,161224,1476187,Slovakia
299,Doja Cat - Kiss Me More,54,6.0,6,,53356,1469121,Slovakia
300,Dua Lipa - Dance The Night (From Barbie The Album),44,2.0,8,,59242,1455743,Slovakia
301,Jaymes Young - Infinity,59,,19,,37607,1452565,Slovakia
302,Chase & Status - Baddadan,56,,47,,30308,1450476,Slovakia
303,Myles Smith - Stargazing,36,,29,,66609,1447617,Slovakia
304,The Weeknd - São Paulo,31,2.0,4,,96990,1447595,Slovakia
305,Shaboozey - A Bar Song (Tipsy),39,,29,,50162,1439049,Slovakia
306,DMS - RAMPA,45,4.0,2,(x1),116643,1437934,Slovakia
307,Jason Derulo - Take You Dancing,63,,11,,40794,1435271,Slovakia
308,Separ - Skip skip,10,4.0,4,,308156,1433300,Slovakia
309,Axwell /\ Ingrosso - More Than You Know,115,21.0,1,(x2),29660,1432593,Slovakia
310,Sám Sebou - Pohoda,47,,69,,38682,1425620,Slovakia
311,Sima - Tvoje ruže,35,2.0,4,,117551,1421186,Slovakia
312,Samey - farebna preliezka,52,6.0,2,(x1),135574,1420937,Slovakia
313,Yzomandias - No Sleep Gang,42,,18,,76637,1420433,Slovakia
314,Calin - Benz,32,4.0,4,,146189,1416978,Slovakia
315,Post Malone - Wow.,80,15.0,1,(x3),38669,1405256,Slovakia
316,Gleb - Odzemok,32,1.0,5,,109164,1401530,Slovakia
317,"Chappell Roan - Good Luck, Babe!",45,,57,,41168,1399869,Slovakia
318,5 Seconds of Summer - Youngblood,113,3.0,6,,27515,1396205,Slovakia
319,Yzomandias - Svoboda,28,,15,,84039,1395707,Slovakia
320,Separ - Nočná,33,6.0,7,,192041,1393494,Slovakia
321,Jawsh 685 - Savage Love (Laxed - Sired Beat),54,12.0,1,(x3),67987,1389959,Slovakia
322,Ariana Grande - 7 rings,74,13.0,1,(x5),73578,1379101,Slovakia
323,Frayer Flexking - HOLA,36,,27,,53393,1374951,Slovakia
324,Timbaland - The Way I Are,55,,84,,30890,1374914,Slovakia
325,Imagine Dragons - Sharks,58,,22,,43210,1372865,Slovakia
326,ACRAZE - Do It To It,51,,18,,42993,1372257,Slovakia
327,Rihanna - We Found Love,63,,110,,30048,1372145,Slovakia
328,"Billie Eilish - What Was I Made For? [From The Motion Picture ""Barbie""]",44,1.0,10,,57584,1372046,Slovakia
329,Halsey - Without Me,83,18.0,2,(x1),34897,1368921,Slovakia
330,INTERWORLD - METAMORPHOSIS,57,,33,,33692,1360146,Slovakia
331,Panic! At The Disco - High Hopes,105,5.0,6,,29466,1356311,Slovakia
332,Billie Eilish - when the party's over,87,2.0,6,,30770,1352355,Slovakia
333,J. Cole - No Role Modelz,77,,92,,23261,1349834,Slovakia
334,Viktor Sheen - Roleplay,30,2.0,7,,160035,1348370,Slovakia
335,Imagine Dragons - Bad Liar,87,3.0,2,(x2),42945,1348237,Slovakia
336,Ava Max - Kings & Queens,73,,17,,33197,1346944,Slovakia
337,Alex Warren - Ordinary,17,3.0,7,,120628,1344238,Slovakia
338,Billie Eilish - everything i wanted,59,3.0,3,(x1),75909,1341371,Slovakia
339,Metro Boomin - Trance,53,,32,,39049,1340364,Slovakia
340,Milion Plus - Life Of Diego,42,3.0,5,,82661,1338828,Slovakia
341,VIZE - Never Let Me Down,60,2.0,9,,42283,1336035,Slovakia
342,Separ - Flow Kmeť,36,7.0,1,(x1),117513,1329816,Slovakia
343,Camila Cabello - Havana,95,24.0,1,(x2),34619,1329327,Slovakia
344,Shakin' Stevens - Merry Christmas Everyone,39,,12,,83523,1328183,Slovakia
345,Lojzo - Každý deň budú vraj Vianoce,25,2.0,8,,133678,1324078,Slovakia
346,The Ronettes - Sleigh Ride,40,,13,,84913,1323894,Slovakia
347,Lil Mosey - Blueberry Faygo,67,3.0,8,,41337,1322111,Slovakia
348,Peggy Gou - (It Goes Like) Nanana - Edit,43,1.0,10,,57706,1319794,Slovakia
349,Billie Eilish - CHIHIRO,37,2.0,5,,129444,1316118,Slovakia
350,Alan Murin - Raz Dva Tri,56,,22,,41108,1315817,Slovakia
351,Arizona Zervas - ROXANNE,60,,14,,34575,1314878,Slovakia
352,Camila Cabello - Bam Bam,41,,11,,48834,1306327,Slovakia
353,Lewis Capaldi - Before You Go,77,,35,,23695,1305155,Slovakia
354,Separ - No signal,35,4.0,4,,206080,1300955,Slovakia
355,Momo - Sny,55,,12,,42808,1297945,Slovakia
356,Chris Brown - Under The Influence,39,6.0,7,,53106,1296572,Slovakia
357,Rich Amiri - ONE CALL,30,,11,,66810,1295749,Slovakia
