,Video,Views,Yesterday,Publication year
0,श्री हनुमान चालीसा 🌺🙏| Shree Hanuman Chalisa Original Video |🙏🌺| GULSHAN KUMAR | HARIHARAN |Full HD,4653612076,1946458,2011
1,Bruno Mars - The Lazy Song (Official Music Video),3028240822,684961,2011
2,Christina Perri - A Thousand Years [Official Music Video],2655268995,508968,2011
3,Jennifer Lopez - On The Floor ft. Pitbull,2574885858,723891,2011
4,Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video],2486859616,557579,2011
5,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",2481233516,264529,2011
6,Adele - Someone Like You (Official Music Video),2326693946,537138,2011
7,David Guetta - Titanium ft. Sia (Official Video),2015528151,492338,2011
8,Coldplay - Paradise (Official Video),1962855813,321679,2011
9,4 Non Blondes - What's Up (Official Music Video),1942528351,617492,2011
10,One Direction - What Makes You Beautiful (Official Video),1628287761,241355,2011
11,Dr. Dre - Still D.R.E. ft. Snoop Dogg,1588741921,354273,2011
12,Katy Perry - Last Friday Night (T.G.I.F.) (Official Music Video),1551091728,120831,2011
13,Pitbull - Rain Over Me ft. Marc Anthony,1395833682,188481,2011
14,R.E.M. - Losing My Religion (Official HD Music Video),1345303133,272917,2011
15,"Bum Bum Bole (Full Song) Film - Taare Zameen Par | Shaan, Aamir Khan",1317556819,550354,2011
16,Coldplay - The Scientist (Official 4K Video),1277795102,222634,2011
17,Fun.: We Are Young ft. Janelle Monáe [OFFICIAL VIDEO],1258500708,241270,2011
18,"Pitbull - Give Me Everything ft. Ne-Yo, Afrojack, Nayer",1250437178,295600,2011
19,Michel Teló - Ai Se Eu Te Pego - Video Oficial (Assim você me mata),1223378578,130734,2011
20,Coldplay - Yellow (Official Video),1186286671,398543,2011
21,Michael Jackson - Beat It (Official 4K Video),1184304608,272690,2011
22,Rihanna - We Found Love ft. Calvin Harris,1165043190,75236,2011
23,Foster The People - Pumped Up Kicks (Official Video),1161482310,247377,2011
24,Don Omar - Taboo,1152296219,375505,2011
25,LMFAO - Sexy and I Know It,1110362377,170458,2011
26,Katy Perry - The One That Got Away (Official Music Video),1076582394,112272,2011
27,JESSE & JOY – ¡Corre! (Video Oficial),1076581532,95511,2011
28,Nicki Minaj - Super Bass (Official Video),1068130832,101478,2011
29,Pitbull - International Love (Official Video) ft. Chris Brown,1001157238,181529,2011
30,Rihanna - Man Down,987610447,141924,2011
31,Jessie J - Price Tag ft. B.o.B,980254417,158465,2011
32,Gym Class Heroes: Stereo Hearts ft. Adam Levine [OFFICIAL VIDEO],966673357,317206,2011
33,Full Video: Papa Mere Papa | Main Aisa Hi Hoon | Sushmita Sen | Himesh Reshammiya,933315914,268478,2011
34,Bruno Mars - It Will Rain (Official Music Video),923823772,126236,2011
35,Adele - Set Fire To The Rain (Live at The Royal Albert Hall),879316129,171335,2011
36,"Snoop Dogg & Wiz Khalifa - Young, Wild and Free ft. Bruno Mars [Official Video]",869982238,137910,2011
37,Zoé - Labios Rotos (MTV Unplugged),860564227,277834,2011
38,Red Hot Chili Peppers - Otherside [Official Music Video] [HD UPGRADE],846155161,246377,2011
39,Maroon 5 - Moves Like Jagger ft. Christina Aguilera (Official Music Video),834541453,59075,2011
40,Selena Gomez & The Scene - Love You Like A Love Song,798642255,98241,2011
41,Avicii - Levels,751932331,68589,2011
42,Juan Gabriel - Hasta Que Te Conocí (En Vivo [Desde el Instituto Nacional de Bellas Artes]),728487424,202741,2011
43,Katy Perry - E.T. ft. Kanye West (Official Music Video),722894655,67816,2011
44,Yuridia - Ya Te Olvidé,716585748,183137,2011
45,Fugees - Killing Me Softly With His Song (Official Video),687927068,316860,2011
46,Coldplay - Fix You (Official Video),684069752,130598,2011
47,Lady Antebellum - Need You Now,681921477,126777,2011
48,"Wiz Khalifa - Black And Yellow [G-Mix] ft. Snoop Dogg, Juicy J & T-Pain",681484580,116449,2011
